trialCount,testCommand,testCommandMM,meanForce,stdevForce,meanPos,stdevPos,meanForce1,stdevForce1,meanPos1,stdevPos1,n
1,120.0,15.87,8.755625,0.3041169337195814,13.368749999999999,0.14861338264099924,8.96875,2.9847400954689505,10.13625,2.068963735182422,20
2,117.0,15.22,8.31625,0.10493301434724901,13.08375,0.03966657913155587,8.331875,2.6744770955039043,9.813125,2.0265818474404136,20
3,114.0,14.57,7.526249999999999,0.08929410674842995,12.496875000000001,0.021423920626253135,7.833125,2.011432073020364,9.521875,1.6045841312860476,20
4,111.0,13.91,7.38,0.0,12.330625000000001,0.020145951826607705,7.425625,1.7694101020891113,9.265625,1.4531215053721418,20
5,108.0,13.26,6.753125,0.08549259836383527,11.690000000000001,0.02500000000000018,7.140625,1.3465533258564253,8.97125,0.9799418031189407,20
6,105.0,12.61,6.285,0.07794228634059935,10.693125,0.04282504378281489,6.92375,0.836382650166776,8.765,0.5917664235152243,20
7,102.0,11.96,5.697142857142857,0.07496938150515374,10.14214285714286,0.018585159758939585,7.212142857142857,0.3535569982625265,8.962142857142856,0.22966368490308864,18
8,99.0,11.3,5.592666666666667,0.04959390643572611,9.103333333333333,0.050022217286144484,7.692666666666669,0.03991101212558874,8.664,0.021540659228537914,19
9,96.0,10.65,5.313999999999998,0.10011992808627072,8.780666666666667,0.019821424996424773,6.9046666666666665,0.06810449487531803,8.067333333333332,0.055192592095517835,19
10,101.0,11.74,6.050666666666668,0.08233805654468397,9.635333333333334,0.01627540748764496,7.867999999999999,0.10833282051160656,9.094666666666667,0.02872087897138418,19
11,101.0,11.74,5.7459999999999996,0.07199999999999988,9.437333333333331,0.2190423601853204,7.945999999999999,0.054990908339470006,9.04133333333333,0.013097921802925907,19
12,98.0,11.09,5.3792857142857144,0.0502087479165427,9.107142857142858,0.006998542122237503,7.225714285714288,0.10926470386270243,8.55142857142857,0.005150787536377017,18
13,98.0,11.09,5.313333333333333,0.061931862199965944,9.055999999999996,0.030724582991474774,7.264666666666667,0.08663076179330803,8.577333333333332,0.01526069752301247,19
14,95.0,10.43,4.835999999999999,0.022449944320643612,8.659999999999998,0.039157800414902265,6.516000000000001,0.1429125606795986,7.928000000000001,0.013759844960366871,19
15,100.0,11.52,5.593333333333334,0.03771236166328257,9.467333333333332,0.029089898972362215,7.730000000000002,1.7763568394002505e-15,8.958000000000002,0.009797958971133374,19
16,100.0,11.52,5.444000000000001,0.08357032966310458,9.295333333333334,0.030521395046025822,7.627333333333334,0.13263818789808968,8.90066666666667,0.016918103387266018,19
17,97.0,10.87,5.336666666666665,0.059516570988441854,9.071333333333333,0.026042699979499484,6.916666666666667,0.08013876853447535,8.414666666666667,0.01746106780494506,19
18,97.0,10.87,5.342,0.0360000000000003,9.046666666666663,0.014907119849999019,6.709999999999999,0.09674709297958245,8.26933333333333,0.03586394041683367,19
19,94.0,10.22,4.587999999999999,0.0487442304278157,8.389999999999997,0.021291625896895077,6.251999999999999,0.030594117081556665,7.791333333333333,0.019275776393068024,19
20,99.0,11.3,5.644,0.05161395160225568,9.389333333333335,0.019821424996424954,7.457999999999998,0.11788129622633109,8.778666666666668,0.004988876515698482,19
21,99.0,11.3,5.432,0.06734983296193083,9.254,0.03929376540877702,7.481999999999999,0.11320777358467941,8.802000000000001,0.02993325909419178,19
22,104.0,12.39,6.359333333333333,0.0696148132384352,10.187333333333331,0.022647050335283962,7.400666666666667,0.5350073727425527,8.912666666666668,0.35531144397869047,19
23,104.0,12.39,6.453333333333334,0.08761024800533065,10.314666666666664,0.03138293945583972,7.315333333333333,0.7742856205704853,8.841333333333331,0.5272680111248506,19
24,101.0,11.74,5.638000000000001,0.04874423042781569,9.654,0.032619012860600316,7.648000000000002,0.06305553108173798,9.03533333333333,0.030521395046025617,19
25,101.0,11.74,5.947333333333334,0.0741589883665868,9.81133333333333,0.05631656555184739,7.529999999999999,0.12149074038789974,9.02,0.007302967433402059,19
26,98.0,11.09,5.094,0.0516139516022559,9.035999999999998,0.00799999999999983,6.95,0.09165151389911672,8.477333333333336,0.027194770739161368,19
27,98.0,11.09,5.486000000000001,0.07914543574963738,9.20466666666667,0.025785439474418612,6.644,0.12642784503423277,8.338,0.03429285639896418,19
28,103.0,12.17,6.287999999999999,0.06462197768561394,10.164000000000003,0.014966629547095446,7.4466666666666645,0.4163598870635301,8.976,0.2841314249896806,19
29,103.0,12.17,6.21,0.07099295739719527,10.215333333333332,0.03862066228789402,7.389333333333336,0.3892636924017217,8.998,0.27181366166303456,19
30,100.0,11.52,5.450000000000001,0.08049844718999231,9.546000000000001,0.023607908279501155,7.326000000000003,0.044090815370097146,8.937333333333333,0.018061622912191707,19
31,100.0,11.52,5.559333333333336,0.06506065546003119,9.556000000000001,0.01083205120618162,7.409999999999998,0.07823042886243185,8.893333333333336,0.016996731711975892,19
32,97.0,10.87,4.848666666666667,0.057604012205941135,8.919333333333336,0.061802552985742824,6.739333333333334,0.10604820706745703,8.346,0.017813852287849843,19
33,102.0,11.96,5.674,0.07199999999999988,9.866666666666669,0.012472191289246209,7.585333333333332,0.34395477738925045,9.02866666666667,0.21871950581103236,19
34,102.0,11.96,5.775999999999999,0.06945502141674126,9.881333333333332,0.027535835237418173,7.531333333333336,0.34517370828162575,9.021999999999998,0.23412817002659014,19
35,99.0,11.3,5.411428571428573,0.07385866259834596,9.317857142857141,0.043781694059205574,7.82,0.08999999999999986,8.804285714285715,0.014498416521560607,18
36,99.0,11.3,5.330666666666667,0.05182877793487165,9.212666666666667,0.03991101212558877,7.742000000000002,0.030594117081556665,8.758000000000003,0.019390719429665314,19
37,96.0,10.65,5.0040000000000004,0.02244994432064361,8.819333333333333,0.03991101212558873,6.4846666666666675,0.0448503685108111,7.951333333333332,0.02552558629210212,19
38,101.0,11.74,5.735714285714285,0.07925675146674385,9.79142857142857,0.02133312074724027,7.76214285714286,0.0646063432786342,9.15857142857143,0.005150787536377018,18
39,101.0,11.74,5.674,0.0791454357496374,9.744,0.04127953488110027,7.957999999999998,0.04489988864128723,9.193999999999999,0.01083205120618162,19
40,98.0,11.09,4.8839999999999995,0.07914543574963738,9.034666666666663,0.020286832072937026,7.006666666666667,0.049620784175809014,8.412000000000003,0.021354156504062565,19
41,98.0,11.09,4.968,0.07249827584156733,9.001333333333331,0.004988876515698482,7.114000000000002,0.022449944320643612,8.389999999999997,0.046043457732885554,19
