trialCount,testCommand,testCommandMM,meanForce,stdevForce,meanPos,stdevPos,meanForce1,stdevForce1,meanPos1,stdevPos1,n
1,120.0,15.87,8.790624999999999,0.5022756806525678,13.10125,0.34738082488819116,-1.213125,0.10171766992514135,0.018750000000000003,0.004841229182759271,20
2,117.0,15.22,8.510625000000001,0.17082405970764217,12.838125,0.04245861956069674,-1.145625,0.02178553132241674,0.02125,0.012686114456365274,20
3,114.0,14.57,8.136875,0.10622610025318627,12.52375,0.0217586189819116,-1.05,0.0,0.021875,0.007261843774138908,20
4,111.0,13.91,7.581875,0.05790280109804734,11.94375,0.02420614591379627,-1.013125,0.0739694827276763,0.02,0.0,20
5,108.0,13.26,7.23133333333333,0.03537733109712429,11.478666666666665,0.027776888874666048,-0.9540000000000003,0.10461357464497616,0.018666666666666665,0.0049888765156985895,19
6,105.0,12.61,7.090000000000001,0.09099450532861846,10.369333333333335,0.014817407180595262,-0.6999999999999998,1.1102230246251565e-16,0.018666666666666665,0.004988876515698589,19
7,102.0,11.96,6.336428571428571,0.02317854391369704,9.592142857142859,0.01697837760572105,-0.7199999999999999,0.0486973158544552,0.015714285714285712,0.008206518066482897,18
8,99.0,11.3,5.924666666666667,0.06108645967442838,9.012666666666664,0.02264705033528399,-0.807333333333333,0.06485539470408165,0.02,0.0,19
9,96.0,10.65,5.63125,0.04357106264483337,8.6125,0.029047375096555438,-0.578125,0.09728943609148938,0.020625,0.014347800354061246,20
10,101.0,11.74,6.498666666666667,0.0854686427228658,9.403333333333332,0.035714920629276815,-0.7719999999999999,0.06734983296193096,0.014666666666666665,0.008844332774281064,19
11,101.0,11.74,6.252000000000001,0.08611620056644381,9.288,0.03145366963222815,-0.8313333333333333,0.07770599862444483,0.01733333333333333,0.00679869268479038,19
12,98.0,11.09,5.907333333333333,0.04654269246855222,9.008,0.025871477215909475,-0.7479999999999997,0.04489988864128733,0.018666666666666665,0.0049888765156985895,19
13,98.0,11.09,5.987857142857144,0.07766030162817798,9.009999999999998,0.03683941988065002,-0.8650000000000001,0.10293895555827527,0.017857142857142856,0.012058530725810096,18
14,103.0,12.17,6.8406666666666665,0.073072262559439,9.977333333333336,0.020154955277107874,-0.8906666666666667,0.10109181745104573,0.01533333333333333,0.017461067804945055,19
15,103.0,12.17,6.476,0.07364781055808783,9.752,0.027856776554368034,-0.7959999999999998,0.022449944320643636,0.015999999999999997,0.008,19
16,100.0,11.52,6.103333333333334,0.08339997335464555,9.084,0.01704894913672584,-0.7599999999999998,0.0782304288624318,0.0026666666666666674,0.034149995932975186,19
17,100.0,11.52,6.216,0.07683749084919407,9.186666666666667,0.023570226039551813,-0.6499999999999999,0.0675277720645365,0.015999999999999997,0.008,19
18,105.0,12.61,7.334000000000001,0.10594338110519212,9.981333333333334,0.024184476196289096,-0.6093333333333333,0.10214151403268351,0.015999999999999997,0.008,19
19,105.0,12.61,7.421999999999999,0.09217374897442329,9.982666666666667,0.020805982045769448,-0.5046666666666668,0.09279846742029502,0.018666666666666665,0.004988876515698589,19
20,102.0,11.96,7.125333333333334,0.09999111071601413,9.553333333333335,0.11975901728981517,-0.4760000000000001,0.072,0.015999999999999997,0.008,19
21,102.0,11.96,6.962,0.11989995829857489,9.429333333333334,0.051570878948836156,-0.5113333333333334,0.08670768260207523,0.015999999999999997,0.008,19
22,99.0,11.3,6.402,0.03599999999999994,8.869333333333334,0.0315101394615909,-0.46333333333333354,0.06709860074712604,0.015999999999999997,0.008,19
23,104.0,12.39,7.427333333333332,0.10642472561497286,9.942666666666666,0.020154955277108092,-0.6613333333333332,0.06031767752676009,0.012,0.009797958971132713,19
24,104.0,12.39,6.886666666666667,0.05884065110297672,9.918666666666667,0.03303869784897004,-0.8139999999999998,0.0611882341631134,0.013333333333333332,0.009428090415820633,19
25,101.0,11.74,6.061333333333335,0.06302027892318131,9.732000000000001,0.03544009029333887,-1.038666666666667,0.04240545038343802,0.018,0.011661903789690602,19
26,101.0,11.74,6.102000000000001,0.04489988864128767,9.623999999999999,0.017813852287849985,-0.9120000000000001,0.11737120600896969,0.028666666666666674,0.04364503280888777,19
27,106.0,12.83,7.3560000000000025,0.06945502141674124,10.608666666666664,0.034227993741316104,-0.8313333333333334,0.07770599862444481,0.01933333333333333,0.010624918300339486,19
28,106.0,12.83,7.225999999999998,0.03200000000000003,10.369999999999997,0.04381780460041355,-1.0333333333333337,0.04555826550205305,0.014666666666666663,0.008844332774281064,19
29,103.0,12.17,7.618,0.14204224723651784,9.586,0.06280127387243022,-0.3386666666666666,0.042405450383438,0.018666666666666665,0.0049888765156985895,19
30,103.0,12.17,7.5106666666666655,0.15092897520209833,9.687333333333335,0.03193048003954136,-0.24000000000000005,0.1244186481199663,0.022000000000000002,0.0074833147735478825,19
31,108.0,13.26,7.826666666666665,0.05917957605645901,11.449333333333332,0.021123972690339814,-0.6886666666666665,0.04240545038343797,0.01733333333333333,0.00679869268479038,19
32,108.0,13.26,7.439999999999998,0.09099450532861861,10.760666666666667,0.06233957188032511,-0.7126666666666666,0.06265957406671564,0.02,0.0,19
33,105.0,12.61,7.049285714285714,0.10305783991209454,10.303571428571429,0.012876968840942877,-0.6214285714285713,0.08846768117366302,0.017142857142857137,0.006998542122237652,18
34,105.0,12.61,6.972142857142857,0.0646063432786342,10.2,0.00755928946018472,-0.7771428571428572,0.07496938150515388,0.019999999999999997,3.469446951953614e-18,18
35,102.0,11.96,6.602000000000001,0.07249827584156732,9.714666666666666,0.03180496117833784,-0.6486666666666666,0.09344279295673664,0.01333333333333333,0.009428090415820633,19
36,102.0,11.96,6.431333333333334,0.04240545038343798,9.591333333333333,0.06152145064031649,-0.7726666666666664,0.056975628317924014,0.018666666666666665,0.004988876515698589,19
37,99.0,11.3,5.9540000000000015,0.06621178142898747,8.975333333333333,0.038964371189873295,-0.6479999999999999,0.10399999999999998,0.01733333333333333,0.00679869268479038,19
