,0,1,2,3,4,5,6
0,67.0,785.5956158061725,46.89141748912159,3467.0,271.46264782232475,9.354566093893194,3467.0
1,94.0,646.525,48.190760265843494,40.0,296.3,9.747307320486001,40.0
2,95.0,635.9679611650486,46.70493978903645,1030.0,298.5504854368932,9.512121789033168,1030.0
3,96.0,630.5166666666667,52.98600182018726,60.0,301.28333333333336,11.450024260042229,60.0
4,97.0,624.05,53.410368843512025,100.0,301.53,11.225377499220237,100.0
5,98.0,618.5798319327731,50.81677348276497,119.0,303.34453781512605,10.928674006607007,119.0
6,99.0,610.231884057971,56.48397103078755,138.0,306.536231884058,11.898215321227287,138.0
7,100.0,603.3865546218487,58.88945765230948,119.0,306.61344537815125,12.399586089389958,119.0
8,101.0,594.4285714285714,56.558822124793735,119.0,309.96638655462186,12.440063209537895,119.0
9,102.0,586.5762711864406,64.46157793727784,59.0,308.1694915254237,13.6743636698514,59.0
10,103.0,579.5,70.35978965289763,40.0,313.475,15.342730363269764,40.0
11,104.0,575.55,68.3556691138343,40.0,315.325,15.40517364394183,40.0
12,105.0,561.6,77.17473679903289,20.0,313.1,16.17683529000651,20.0
13,108.0,526.75,91.8536199613276,20.0,317.9,17.76485294056779,20.0
14,111.0,504.1,102.37231070948823,20.0,324.25,19.707549314919905,20.0
15,114.0,492.55,93.82082657917697,20.0,326.3,19.60637651377735,20.0
16,117.0,461.05,88.59428593312325,20.0,336.85,18.50479667545688,20.0
17,120.0,461.25,107.87023454132284,20.0,339.05,23.326969370237535,20.0
