,0,1,2,3,4,5,6
0,67.0,785.5956158061725,46.89141748912159,3467.0,2.0632131525815525,0.8217934346476319,3467.0
1,94.0,646.525,48.190760265843494,40.0,4.244749999999997,0.8560665496910858,40.0
2,95.0,635.9679611650486,46.70493978903645,1030.0,4.4427864077669925,0.8355898463190908,1030.0
3,96.0,630.5166666666667,52.98600182018726,60.0,4.6833333333333345,1.0054645139878826,60.0
4,97.0,624.05,53.410368843512025,100.0,4.703300000000001,0.9854177337555887,100.0
5,98.0,618.5798319327731,50.81677348276497,119.0,4.864033613445383,0.9602899766249102,119.0
6,99.0,610.231884057971,56.48397103078755,138.0,5.143188405797104,1.0448957964183896,138.0
7,100.0,603.3865546218487,58.88945765230948,119.0,5.1510924369747935,1.0892459730358124,119.0
8,101.0,594.4285714285714,56.558822124793735,119.0,5.444117647058818,1.0929863583030124,119.0
9,102.0,586.5762711864406,64.46157793727784,59.0,5.285932203389834,1.2016699096152845,59.0
10,103.0,579.5,70.35978965289763,40.0,5.754750000000003,1.3478872124551076,40.0
11,104.0,575.55,68.3556691138343,40.0,5.9187499999999975,1.3544116573257925,40.0
12,105.0,561.6,77.17473679903289,20.0,5.7219999999999995,1.4224858523022295,20.0
13,108.0,526.75,91.8536199613276,20.0,6.1455,1.5620770627597091,20.0
14,111.0,504.1,102.37231070948823,20.0,6.699999999999998,1.730124272993128,20.0
15,114.0,492.55,93.82082657917697,20.0,6.882,1.7235939196922225,20.0
16,117.0,461.05,88.59428593312325,20.0,7.808499999999998,1.6261896414625199,20.0
17,120.0,461.25,107.87023454132284,20.0,8.002,2.049450170167599,20.0
