trialCount,testCommand,meanForce,stdevForce,meanForce1,stdevForce1
1,120.0,8.755625,0.3041169337195814,8.96875,2.9847400954689505
2,117.0,8.31625,0.10493301434724901,8.331875,2.6744770955039043
3,114.0,7.526249999999999,0.08929410674842995,7.833125,2.011432073020364
4,111.0,7.38,0.0,7.425625,1.7694101020891113
5,108.0,6.753125,0.08549259836383527,7.140625,1.3465533258564253
6,105.0,6.285,0.07794228634059935,6.92375,0.836382650166776
7,102.0,5.381272727272729,1.0799899907708816,7.153818181818185,1.267404636411235
8,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
9,96.0,4.760357142857143,0.8798741068343532,6.261964285714286,1.146193108329322
10,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
11,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
12,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
13,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
14,95.0,4.4433138401559455,0.8320084983162362,6.0632358674463935,1.1872959173848248
15,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
16,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
17,97.0,4.745416666666666,0.9254322375997548,6.434479166666667,1.280339204559729
18,97.0,4.745416666666666,0.9254322375997548,6.434479166666667,1.280339204559729
19,94.0,4.364722222222222,0.6912005904025542,5.990277777777779,0.9046254169885614
20,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
21,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
22,104.0,6.1369444444444445,1.0196944516331143,7.081666666666668,1.3606769148723976
23,104.0,6.1369444444444445,1.0196944516331143,7.081666666666668,1.3606769148723976
24,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
25,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
26,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
27,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
28,103.0,5.964444444444446,1.0596184964527051,7.138888888888889,1.21840464400921
29,103.0,5.964444444444446,1.0596184964527051,7.138888888888889,1.21840464400921
30,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
31,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
32,97.0,4.745416666666666,0.9254322375997548,6.434479166666667,1.280339204559729
33,102.0,5.381272727272729,1.0799899907708816,7.153818181818185,1.267404636411235
34,102.0,5.381272727272729,1.0799899907708816,7.153818181818185,1.267404636411235
35,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
36,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
37,96.0,4.760357142857143,0.8798741068343532,6.261964285714286,1.146193108329322
38,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
39,101.0,5.481478260869566,1.0377209505770522,7.362695652173913,1.416513369073411
40,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
41,98.0,4.885739130434784,0.9273722210066981,6.647565217391306,1.3140641181526331
42,95.0,4.4433138401559455,0.8320084983162362,6.0632358674463935,1.1872959173848248
43,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
44,100.0,5.199652173913044,1.0179868713894895,7.111217391304349,1.387755866154191
45,97.0,4.745416666666666,0.9254322375997548,6.434479166666667,1.280339204559729
46,97.0,4.745416666666666,0.9254322375997548,6.434479166666667,1.280339204559729
47,94.0,4.364722222222222,0.6912005904025542,5.990277777777779,0.9046254169885614
48,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
49,99.0,5.180597014925374,0.9971277865337306,7.094626865671643,1.396382135995014
50,96.0,4.760357142857143,0.8798741068343532,6.261964285714286,1.146193108329322
