trialCount,testCommand,meanForce,stdevForce,meanForce1,stdevForce1
1,120.0,8.790624999999999,0.5022756806525678,-1.213125,0.10171766992514135
2,117.0,8.510625000000001,0.17082405970764217,-1.145625,0.02178553132241674
3,114.0,8.136875,0.10622610025318627,-1.05,0.0
4,111.0,7.581875,0.05790280109804734,-1.013125,0.0739694827276763
5,108.0,7.121607142857144,1.3841226937585955,-0.7342857142857143,0.19778105808892701
6,105.0,6.875744680851065,1.156531396453354,-0.5968085106382979,0.1859948109889173
7,102.0,6.334421052631576,1.2407185658144988,-0.5788421052631579,0.19349344152026796
8,99.0,5.861785714285714,0.9278818181036564,-0.6048214285714286,0.19383342509400558
9,96.0,5.63125,0.04357106264483337,-0.578125,0.09728943609148938
10,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
11,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
12,98.0,5.820571428571427,0.6506565600865586,-0.7894285714285714,0.10881026362153416
13,98.0,5.820571428571427,0.6506565600865586,-0.7894285714285714,0.10881026362153416
14,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
15,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
16,100.0,5.792368421052631,1.1094449399552209,-0.6053947368421052,0.17685439141218082
17,100.0,5.792368421052631,1.1094449399552209,-0.6053947368421052,0.17685439141218082
18,105.0,6.875744680851065,1.156531396453354,-0.5968085106382979,0.1859948109889173
19,105.0,6.875744680851065,1.156531396453354,-0.5968085106382979,0.1859948109889173
20,102.0,6.334421052631576,1.2407185658144988,-0.5788421052631579,0.19349344152026796
21,102.0,6.334421052631576,1.2407185658144988,-0.5788421052631579,0.19349344152026796
22,99.0,5.861785714285714,0.9278818181036564,-0.6048214285714286,0.19383342509400558
23,104.0,6.823599999999999,1.247250458675669,-0.6861333333333335,0.1282486473829473
24,104.0,6.823599999999999,1.247250458675669,-0.6861333333333335,0.1282486473829473
25,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
26,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
27,106.0,6.907236842105262,1.4100565485900225,-0.7372368421052634,0.24702225919417892
28,106.0,6.907236842105262,1.4100565485900225,-0.7372368421052634,0.24702225919417892
29,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
30,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
31,108.0,7.121607142857144,1.3841226937585955,-0.7342857142857143,0.19778105808892701
32,108.0,7.121607142857144,1.3841226937585955,-0.7342857142857143,0.19778105808892701
33,105.0,6.875744680851065,1.156531396453354,-0.5968085106382979,0.1859948109889173
34,105.0,6.875744680851065,1.156531396453354,-0.5968085106382979,0.1859948109889173
35,102.0,6.334421052631576,1.2407185658144988,-0.5788421052631579,0.19349344152026796
36,102.0,6.334421052631576,1.2407185658144988,-0.5788421052631579,0.19349344152026796
37,99.0,5.861785714285714,0.9278818181036564,-0.6048214285714286,0.19383342509400558
38,104.0,6.823599999999999,1.247250458675669,-0.6861333333333335,0.1282486473829473
39,104.0,6.823599999999999,1.247250458675669,-0.6861333333333335,0.1282486473829473
40,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
41,101.0,5.884655172413794,1.180682467046279,-0.7829310344827586,0.19121218238395088
42,106.0,6.907236842105262,1.4100565485900225,-0.7372368421052634,0.24702225919417892
43,106.0,6.907236842105262,1.4100565485900225,-0.7372368421052634,0.24702225919417892
44,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
45,103.0,6.702173913043478,1.1937618891617887,-0.5546956521739129,0.27612637856173416
46,100.0,5.792368421052631,1.1094449399552209,-0.6053947368421052,0.17685439141218082
47,100.0,5.792368421052631,1.1094449399552209,-0.6053947368421052,0.17685439141218082
48,97.0,5.318571428571429,0.573566002464994,-0.49000000000000005,0.12581165060745142
49,97.0,5.318571428571429,0.573566002464994,-0.49000000000000005,0.12581165060745142
50,94.0,4.9319999999999995,0.07959899496852947,-0.49333333333333346,0.0773448267321236
