,time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
3222,1239150.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3223,1239303.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3224,1239455.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3211,1237473.0,180.0,67.0,790.0,270.0,65.0,832.0,268.0,27.0
3225,1239608.0,180.0,67.0,791.0,268.0,65.0,832.0,269.0,27.0
3227,1239912.0,180.0,67.0,790.0,269.0,65.0,832.0,268.0,27.0
3228,1240065.0,180.0,67.0,791.0,269.0,65.0,832.0,268.0,27.0
3229,1240217.0,180.0,67.0,791.0,269.0,65.0,832.0,269.0,27.0
3230,1240370.0,180.0,67.0,791.0,269.0,65.0,832.0,269.0,27.0
3231,1240522.0,180.0,67.0,791.0,269.0,65.0,832.0,271.0,27.0
3232,1240675.0,180.0,67.0,791.0,269.0,65.0,832.0,269.0,28.0
3252,1247724.0,180.0,67.0,625.0,302.0,65.0,652.0,319.0,28.0
3253,1247876.0,180.0,67.0,625.0,302.0,65.0,684.0,311.0,28.0
3254,1248029.0,180.0,67.0,656.0,301.0,65.0,789.0,275.0,28.0
3255,1248181.0,180.0,67.0,754.0,281.0,65.0,837.0,269.0,28.0
3256,1248333.0,180.0,67.0,801.0,270.0,65.0,836.0,269.0,28.0
3257,1248486.0,180.0,67.0,802.0,268.0,65.0,841.0,270.0,28.0
3258,1248638.0,180.0,67.0,793.0,269.0,65.0,837.0,269.0,28.0
3226,1239760.0,180.0,67.0,790.0,269.0,65.0,832.0,267.0,27.0
3210,1237321.0,180.0,67.0,790.0,270.0,65.0,832.0,268.0,27.0
3209,1237168.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3208,1237016.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3159,1225546.0,180.0,67.0,634.0,302.0,65.0,670.0,315.0,27.0
3160,1225699.0,180.0,67.0,743.0,281.0,65.0,783.0,283.0,27.0
3161,1225851.0,180.0,67.0,801.0,270.0,65.0,838.0,269.0,27.0
3162,1226003.0,180.0,67.0,804.0,269.0,65.0,839.0,269.0,27.0
3163,1226156.0,180.0,67.0,796.0,269.0,65.0,837.0,269.0,27.0
3164,1226308.0,180.0,67.0,792.0,269.0,65.0,837.0,267.0,27.0
3165,1226461.0,180.0,67.0,792.0,269.0,65.0,837.0,268.0,27.0
3166,1226613.0,180.0,67.0,793.0,269.0,65.0,836.0,268.0,27.0
3167,1226766.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,27.0
3168,1226918.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,27.0
3169,1227070.0,180.0,67.0,792.0,269.0,65.0,836.0,268.0,27.0
3170,1227223.0,180.0,67.0,792.0,269.0,65.0,836.0,267.0,27.0
3171,1227375.0,180.0,67.0,792.0,270.0,65.0,836.0,266.0,27.0
3172,1227528.0,180.0,67.0,792.0,270.0,65.0,836.0,268.0,27.0
3173,1227680.0,180.0,67.0,792.0,270.0,65.0,836.0,268.0,27.0
3174,1227833.0,180.0,67.0,792.0,270.0,65.0,837.0,268.0,27.0
3175,1227985.0,180.0,67.0,792.0,270.0,65.0,836.0,267.0,27.0
3176,1228138.0,180.0,67.0,791.0,270.0,65.0,836.0,268.0,27.0
3197,1235339.0,180.0,67.0,623.0,302.0,65.0,654.0,317.0,27.0
3198,1235491.0,180.0,67.0,676.0,289.0,65.0,654.0,318.0,27.0
3199,1235644.0,180.0,67.0,752.0,273.0,65.0,707.0,311.0,27.0
3200,1235796.0,180.0,67.0,790.0,270.0,65.0,802.0,278.0,27.0
3201,1235949.0,180.0,67.0,791.0,272.0,65.0,834.0,269.0,27.0
3202,1236101.0,180.0,67.0,790.0,270.0,65.0,832.0,268.0,27.0
3203,1236253.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3204,1236406.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3205,1236558.0,180.0,67.0,792.0,270.0,65.0,832.0,268.0,27.0
3206,1236711.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3207,1236863.0,180.0,67.0,791.0,270.0,65.0,832.0,268.0,27.0
3157,1225241.0,180.0,67.0,596.0,309.0,65.0,632.0,322.0,27.0
3259,1248791.0,180.0,67.0,791.0,269.0,65.0,837.0,269.0,28.0
3052,1201234.0,180.0,67.0,645.0,299.0,65.0,654.0,320.0,26.0
3030,1193881.0,180.0,67.0,790.0,269.0,65.0,836.0,268.0,25.0
2857,1151508.0,180.0,67.0,792.0,269.0,65.0,841.0,268.0,23.0
2858,1151660.0,180.0,67.0,792.0,269.0,65.0,842.0,266.0,23.0
2859,1151813.0,180.0,67.0,792.0,267.0,65.0,842.0,266.0,23.0
2860,1151965.0,180.0,67.0,793.0,267.0,65.0,842.0,266.0,23.0
2881,1159167.0,180.0,67.0,617.0,305.0,65.0,657.0,317.0,24.0
2882,1159319.0,180.0,67.0,650.0,296.0,65.0,657.0,318.0,24.0
2883,1159471.0,180.0,67.0,743.0,276.0,65.0,711.0,308.0,24.0
2884,1159624.0,180.0,67.0,790.0,270.0,65.0,804.0,280.0,24.0
2885,1159776.0,180.0,67.0,794.0,269.0,65.0,832.0,269.0,24.0
2886,1159929.0,180.0,67.0,792.0,269.0,65.0,828.0,269.0,24.0
2887,1160081.0,180.0,67.0,792.0,269.0,65.0,831.0,269.0,24.0
2888,1160234.0,180.0,67.0,791.0,269.0,65.0,833.0,270.0,24.0
2889,1160386.0,180.0,67.0,792.0,269.0,65.0,831.0,269.0,24.0
2856,1151356.0,180.0,67.0,792.0,269.0,65.0,842.0,268.0,23.0
2890,1160539.0,180.0,67.0,792.0,269.0,65.0,830.0,269.0,24.0
2892,1160843.0,180.0,67.0,792.0,269.0,65.0,831.0,269.0,24.0
2893,1160996.0,180.0,67.0,791.0,269.0,65.0,831.0,269.0,24.0
2894,1161148.0,180.0,67.0,792.0,268.0,65.0,831.0,269.0,24.0
2895,1161301.0,180.0,67.0,791.0,269.0,65.0,830.0,269.0,24.0
2896,1161453.0,180.0,67.0,792.0,269.0,65.0,831.0,271.0,24.0
2897,1161606.0,180.0,67.0,792.0,269.0,65.0,831.0,269.0,24.0
2898,1161758.0,180.0,67.0,791.0,269.0,65.0,831.0,269.0,24.0
2899,1161910.0,180.0,67.0,791.0,269.0,65.0,832.0,270.0,24.0
2900,1162063.0,180.0,67.0,791.0,269.0,65.0,831.0,270.0,24.0
2921,1169264.0,180.0,67.0,577.0,312.0,65.0,604.0,334.0,24.0
2922,1169417.0,180.0,67.0,672.0,294.0,65.0,689.0,312.0,24.0
2923,1169569.0,180.0,67.0,781.0,274.0,65.0,804.0,281.0,24.0
2924,1169722.0,180.0,67.0,806.0,270.0,65.0,846.0,269.0,24.0
2891,1160691.0,180.0,67.0,791.0,269.0,65.0,831.0,269.0,24.0
2855,1151203.0,180.0,67.0,792.0,269.0,65.0,842.0,268.0,23.0
2854,1151051.0,180.0,67.0,793.0,269.0,65.0,841.0,267.0,23.0
