trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.85,5.41,0.85,5.41,3,3,0,1,1,0
1,0.85,5.41,0.85,5.41,3,3,0,1,2,0
2,1.35,5.41,5.41,1.35,1,1,0,1,3,0
3,1.35,5.41,5.41,1.35,1,1,0,1,4,0
4,2.14,5.41,2.14,5.41,3,3,0,1,5,0
5,2.14,5.41,5.41,2.14,1,1,0,1,6,0
6,3.39,5.41,5.41,3.39,1,1,0,1,7,0
7,3.39,5.41,3.39,5.41,3,3,0,1,8,0
8,5.37,5.41,5.41,5.37,1,2,0,2,8,1
9,5.37,5.41,5.41,5.37,1,1,0,1,9,1
10,5.37,5.41,5.41,5.37,1,2,0,2,9,2
11,8.51,5.41,5.41,8.51,3,3,1,3,10,2
12,5.37,5.41,5.41,5.37,1,1,1,1,11,2
13,5.37,5.41,5.41,5.37,1,1,1,1,12,2
14,6.76,5.41,6.76,5.41,1,1,2,3,13,2
15,5.37,5.41,5.41,5.37,1,2,2,2,13,3
