time,force
909.776,0.35
909.877,0.09
909.979,0.44
910.082,0.09
910.183,0.35
910.285,0.18
910.387,0.26
910.489,0.18
910.591,0.18
910.693,0.35
910.795,0.09
910.897,0.44
910.999,0.09
911.101,0.35
911.202,0.18
911.305,0.44
911.406,0.18
911.508,0.18
911.61,0.35
911.712,0.0
911.814,0.35
911.916,0.09
912.018,0.62
912.12,0.18
912.222,0.44
912.324,0.18
912.425,1.05
912.528,3.25
912.629,5.01
912.731,6.5
912.834,7.47
912.935,9.14
913.037,9.4
913.14,9.67
913.241,6.86
913.343,1.85
913.446,0.44
913.547,0.88
913.649,3.52
913.752,5.01
913.853,7.21
913.955,8.26
914.057,9.4
914.159,10.02
914.261,10.9
914.363,10.02
914.465,11.07
914.567,8.09
914.669,3.52
914.771,0.7
914.873,0.35
914.975,0.44
915.077,1.85
915.179,5.8
915.281,6.68
915.383,8.09
915.485,8.53
915.587,9.84
915.689,9.84
915.791,11.16
915.893,11.25
915.995,11.51
916.096,11.43
916.199,11.43
916.301,11.43
916.402,6.15
916.505,2.81
916.607,1.49
916.708,2.99
916.811,4.39
916.913,8.0
917.014,9.58
917.117,10.2
917.218,10.81
917.32,10.81
917.423,11.95
917.524,11.87
917.626,13.01
917.728,12.13
917.83,11.16
917.932,6.5
918.034,3.78
918.136,2.64
918.238,4.39
918.34,7.29
918.442,8.26
918.543,10.2
918.646,10.55
918.748,11.6
918.849,11.6
918.952,12.3
919.054,12.22
919.155,12.48
919.258,11.43
919.36,5.27
919.461,1.23
919.564,0.53
919.666,0.97
