trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
1,120,80,80,120,3,3,5,0
2,120,80,120,80,1,1,5,1
3,120,80,80,120,3,3,5,2
4,115,80,115,80,1,1,5,0
5,115,80,115,80,1,1,5,1
6,115,80,115,80,1,1,5,2
7,110,80,110,80,1,1,5,0
8,110,80,80,110,3,3,5,1
9,110,80,110,80,1,1,5,2
10,105,80,105,80,1,1,5,0
11,105,80,80,105,3,3,5,1
12,105,80,105,80,1,1,5,2
13,100,80,100,80,1,1,5,0
