time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
20.646,180.0,4.0,3.9364238410596037,0.0,0,0
21.099,180.0,4.0,4.042384105960265,0.0,0,0
21.551,180.0,4.0,4.0,0.0,0,0
22.005,180.0,4.0,4.042384105960265,0.0,0,0
22.457,180.0,4.0,4.0,0.0,0,0
22.91,180.0,4.0,4.0,0.0,0,0
23.362,180.0,4.0,4.0,0.0,0,0
23.816,180.0,4.0,3.9788079470198667,0.0,0,0
24.268,177.0,4.213333333333333,3.9788079470198667,0.0,0,0
24.721,173.0,4.213333333333333,4.063576158940398,0.0,0,0
25.173,169.0,4.426666666666667,3.9152317880794705,0.0,0,0
25.626,162.0,4.64,4.466225165562914,0.0,0,0
26.078,160.0,4.8533333333333335,4.8264900662251655,0.0,0,0
26.531,151.0,5.066666666666666,4.911258278145695,0.0,0,0
26.983,146.0,5.28,5.20794701986755,0.0,0,0
27.436,144.0,5.493333333333333,5.3986754966887425,0.0,0,0
27.889,137.0,5.706666666666667,5.356291390728478,0.0,0,0
28.341,131.0,5.92,5.780132450331125,0.0,0,0
28.794,129.0,5.92,5.780132450331125,0.0,0,0
29.247,126.0,6.133333333333333,6.013245033112582,0.0,0,0
29.7,120.0,6.346666666666667,6.225165562913908,0.0,0,0
30.152,115.0,6.5600000000000005,6.140397350993377,0.0,0,0
30.605,109.0,6.773333333333333,6.670198675496689,0.0,0,0
31.057,105.0,6.986666666666666,6.69139072847682,0.0,0,0
31.51,100.0,7.2,6.797350993377483,0.0,0,0
31.963,98.0,7.2,7.11523178807947,0.0,0,0
32.416,89.0,7.626666666666667,7.348344370860927,0.0,0,0
32.868,85.0,7.84,7.560264900662252,0.0,0,0
33.321,81.0,7.84,7.7298013245033115,0.0,0,0
33.774,78.0,8.053333333333335,7.9629139072847686,0.0,0,0
34.227,72.0,8.266666666666666,8.196026490066226,0.0,0,0
34.679,67.0,8.48,8.556291390728477,0.0,0,0
35.132,61.0,8.693333333333333,8.577483443708608,0.0,0,0
35.584,56.0,8.906666666666666,8.556291390728477,0.0,0,0
36.038,52.0,9.120000000000001,9.001324503311258,0.0,0,0
36.49,48.0,9.333333333333332,9.064900662251656,0.0,0,0
36.943,43.0,9.333333333333332,9.213245033112583,0.0,0,0
37.395,40.0,9.546666666666667,9.403973509933774,0.0,0,0
37.849,40.0,9.546666666666667,9.467549668874172,0.0,0,0
38.301,40.0,9.546666666666667,9.425165562913907,0.0,0,0
38.754,40.0,9.546666666666667,9.403973509933774,0.0,0,0
39.206,40.0,9.546666666666667,9.36158940397351,0.0,0,0
39.659,40.0,9.546666666666667,9.234437086092715,0.0,0,0
40.111,40.0,9.546666666666667,9.44635761589404,0.0,0,0
40.564,40.0,9.546666666666667,9.340397350993378,0.0,0,0
41.016,40.0,9.546666666666667,9.44635761589404,0.0,0,0
41.469,40.0,9.546666666666667,9.44635761589404,0.0,0,0
41.922,40.0,9.546666666666667,9.36158940397351,0.0,0,0
42.375,40.0,9.546666666666667,9.44635761589404,0.0,0,0
42.827,40.0,9.546666666666667,9.488741721854305,0.0,0,0
43.28,40.0,9.546666666666667,9.44635761589404,0.0,0,0
43.733,40.0,9.546666666666667,9.488741721854305,0.0,0,0
44.186,40.0,9.546666666666667,9.425165562913907,0.0,0,0
44.638,40.0,9.546666666666667,9.467549668874172,0.0,0,0
45.091,40.0,9.546666666666667,9.467549668874172,0.0,0,0
45.543,40.0,9.546666666666667,9.425165562913907,0.0,0,0
45.996,40.0,9.546666666666667,9.509933774834437,0.0,0,0
46.448,40.0,9.546666666666667,9.44635761589404,0.0,0,0
46.901,40.0,9.546666666666667,9.425165562913907,0.0,0,0
47.353,40.0,9.546666666666667,9.44635761589404,0.0,0,0
47.807,40.0,9.546666666666667,9.44635761589404,0.0,0,0
48.259,40.0,9.546666666666667,9.488741721854305,0.0,0,0
48.712,40.0,9.546666666666667,9.44635761589404,0.0,0,0
49.164,40.0,9.546666666666667,9.509933774834437,0.0,0,0
49.618,40.0,9.546666666666667,9.467549668874172,0.0,0,0
50.07,40.0,9.546666666666667,9.44635761589404,0.0,0,0
50.523,40.0,9.546666666666667,9.467549668874172,0.0,0,0
50.975,40.0,9.546666666666667,9.403973509933774,0.0,0,0
51.428,40.0,9.546666666666667,9.425165562913907,0.0,0,0
51.88,40.0,9.546666666666667,9.44635761589404,0.0,0,0
52.333,40.0,9.546666666666667,9.44635761589404,0.0,0,0
52.785,40.0,9.546666666666667,9.44635761589404,0.0,0,0
53.238,40.0,9.546666666666667,9.467549668874172,0.0,0,0
53.69,40.0,9.546666666666667,9.44635761589404,0.0,0,0
54.143,40.0,9.546666666666667,9.425165562913907,0.0,0,0
54.595,40.0,9.546666666666667,9.255629139072848,0.0,0,0
55.048,40.0,9.546666666666667,9.44635761589404,0.0,0,0
55.501,40.0,9.546666666666667,9.382781456953643,0.0,0,0
55.953,40.0,9.546666666666667,9.467549668874172,0.0,0,0
