trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,5.96,11.19,5.96,11.19,3,3,0,1,1,0
1,5.96,11.19,11.19,5.96,1,1,0,1,2,0
2,9.45,11.19,9.45,11.19,3,3,0,1,3,0
3,9.45,11.19,11.19,9.45,1,2,0,2,3,1
4,14.98,11.19,14.98,11.19,1,1,1,3,4,1
5,9.45,11.19,9.45,11.19,3,2,1,2,4,2
6,18.86,11.19,11.19,18.86,3,3,2,3,5,2
7,9.45,11.19,11.19,9.45,1,1,2,1,6,2
8,9.45,11.19,11.19,9.45,1,1,2,1,7,2
9,10.6,11.19,10.6,11.19,3,2,2,2,7,3
10,10.6,11.19,11.19,10.6,1,2,2,2,7,4
11,11.89,11.19,11.19,11.89,3,3,3,3,8,4
12,10.6,11.19,11.19,10.6,1,1,3,1,9,4
13,10.6,11.19,11.19,10.6,1,2,3,2,9,5
14,11.23,11.19,11.19,11.23,3,2,3,2,9,6
