t1,t2,command,measured,position
80471347,80471348,58,309,919
80481673,80481674,58,309,919
80491342,80491342,58,309,917
80501013,80501014,58,309,917
80510677,80510678,58,309,917
80520347,80520347,58,309,916
80530671,80530671,58,309,917
80540344,80540344,58,309,917
80550008,80550009,58,309,917
80559676,80559677,58,309,916
80569345,80569346,58,309,917
80579669,80579670,58,310,917
80589336,80589337,58,309,918
80599005,80599006,58,309,916
80608669,80608669,58,309,919
80618341,80618342,58,309,917
80628680,80628680,58,310,917
80638350,80638350,58,311,917
80648018,80648018,58,311,917
80657689,80657689,58,311,917
80667361,80667361,58,311,918
80678105,80678106,58,311,917
80687773,80687774,58,311,916
80697446,80697447,58,311,917
80707115,80707116,58,311,918
80716784,80716785,58,310,919
80726842,80726843,58,310,917
80736514,80736515,58,311,919
80746182,80746182,58,311,917
80755852,80755853,58,310,917
80765519,80765520,58,311,917
80775193,80775194,58,311,917
80784863,80784864,58,311,917
80794532,80794533,58,311,916
80805041,80805042,58,311,918
80814712,80814713,58,310,917
80824379,80824380,58,310,917
80834045,80834046,58,311,915
80843713,80843714,58,311,918
80854039,80854040,58,310,917
80863708,80863708,58,309,917
80873375,80873376,58,309,919
80883041,80883041,58,309,916
80892707,80892708,58,309,918
80903333,80903334,58,309,916
80913000,80913001,58,309,918
80922673,80922673,58,309,917
80932345,80932346,58,309,918
80942018,80942018,58,309,918
80952305,80952305,58,309,917
80961976,80961977,58,309,920
80971646,80971647,58,309,917
80981320,80981320,58,309,919
80990988,80990989,58,309,916
81000660,81000661,58,309,914
81010329,81010329,58,309,917
81020001,81020001,58,309,917
81030468,81030469,58,309,916
81040141,81040142,58,309,917
81049806,81049807,58,309,918
81059477,81059478,58,310,918
81069149,81069150,58,311,918
81079895,81079896,58,311,918
81089560,81089560,58,310,917
81099226,81099227,58,310,917
81108889,81108890,58,309,917
81118559,81118560,58,310,919
81128720,81128721,58,310,918
81138393,81138394,58,311,918
81148060,81148060,58,311,917
81157731,81157731,58,311,917
81167399,81167399,58,311,918
81177077,81177078,58,311,916
81186750,81186750,58,311,917
81196424,81196425,58,311,918
81206797,81206797,58,311,918
81216471,81216472,58,311,916
81226143,81226144,58,311,917
81235814,81235815,58,311,917
81245483,81245484,58,311,919
81256232,81256232,58,311,917
81265901,81265902,58,310,918
81275571,81275572,58,310,917
81285239,81285240,58,311,919
81294910,81294910,58,311,917
81305079,81305080,58,311,916
81314748,81314748,58,310,918
81324414,81324415,58,310,917
81334081,81334081,58,309,915
81343748,81343748,58,309,918
81353417,81353418,58,309,918
81363085,81363086,58,309,917
81372754,81372755,58,309,919
81383222,81383223,58,309,918
81392887,81392887,58,309,915
81402559,81402559,58,309,918
81412228,81412229,58,309,916
81421900,81421900,58,309,918
81432579,81432579,58,309,918
81442252,81442253,58,309,913
81451923,81451924,58,309,917
81461597,81461597,58,309,917
81471267,81471268,58,309,918
81481279,81481280,58,309,912
81490948,81490948,58,310,917
81500619,81500619,58,310,919
81510284,81510285,58,311,917
81519954,81519955,58,310,916
81529621,81529621,58,310,918
81539297,81539297,58,309,917
81548963,81548965,59,309,919
81559402,81559403,59,309,917
81569072,81569073,59,310,917
81578743,81578743,59,310,918
81588412,81588412,59,311,916
81598087,81598088,59,311,917
81608804,81608805,59,311,919
81618474,81618475,59,311,917
81628143,81628144,59,311,917
81637817,81637818,59,310,915
81647484,81647485,59,311,917
81657627,81657627,59,311,917
81667299,81667300,59,311,918
81676969,81676969,59,311,916
81686640,81686640,59,311,917
81696315,81696315,59,311,917
81705985,81705985,59,311,917
81715660,81715660,59,310,919
81725329,81725330,59,310,919
81735768,81735768,59,311,916
81745436,81745437,59,310,918
81755108,81755108,59,310,919
81764776,81764776,59,309,917
