time,force
1401.251,0.18
1401.353,-0.18
1401.455,0.09
1401.557,0.0
1401.659,0.09
1401.761,0.18
1401.862,-0.09
1401.965,0.18
1402.067,-0.18
1402.168,0.18
1402.271,-0.26
1402.373,0.18
1402.474,-0.09
1402.577,0.09
1402.679,0.09
1402.78,-0.09
1402.883,0.18
1402.984,-0.09
1403.086,0.18
1403.189,0.09
1403.29,0.44
1403.392,0.88
1403.494,2.37
1403.596,3.52
1403.698,5.71
1403.8,7.47
1403.902,8.96
1404.004,11.25
1404.106,10.9
1404.208,12.3
1404.31,11.69
1404.412,10.99
1404.514,5.1
1404.616,2.37
1404.718,1.58
1404.82,2.37
1404.922,5.62
1405.024,7.38
1405.126,10.37
1405.227,10.9
1405.33,12.66
1405.432,12.48
1405.533,12.57
1405.636,9.84
1405.738,4.13
1405.839,2.11
1405.942,1.67
1406.043,4.13
1406.145,5.89
1406.248,8.53
1406.349,9.76
1406.451,11.25
1406.553,11.25
1406.655,12.3
1406.757,13.27
1406.859,12.39
1406.961,8.88
1407.063,3.34
1407.165,3.43
1407.267,4.66
1407.369,7.47
1407.471,8.79
1407.573,10.72
1407.674,12.48
1407.777,13.8
1407.879,13.89
1407.98,12.48
1408.083,14.06
1408.185,11.07
1408.286,6.24
1408.389,3.52
1408.491,4.57
1408.592,5.8
1408.695,7.73
1408.796,9.23
1408.898,10.99
1409.001,12.57
1409.102,12.48
1409.204,14.06
1409.307,13.45
1409.408,13.45
1409.51,9.67
1409.612,4.31
1409.714,1.32
1409.816,0.97
1409.918,0.88
1410.02,0.53
1410.122,1.14
1410.224,0.26
1410.326,0.79
1410.428,0.44
1410.53,1.05
1410.632,0.62
1410.733,0.53
1410.836,0.62
1410.938,0.35
1411.039,0.79
1411.142,0.26
1411.243,0.88
