trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
1,117,95,120,95,1,0,3,1
2,114,95,95,117,3,0,3,1
3,111,95,114,95,1,0,3,1
4,108,95,111,95,1,0,3,1
5,105,95,95,108,3,0,3,1
6,102,95,105,95,1,0,3,1
7,99,95,102,95,1,0,3,1
8,96,95,99,95,1,0,3,1
9,101,95,96,95,1,2,5.466472303206998,0
10,101,95,101,95,1,0,0,1
11,98,95,95,101,3,0,3,2
12,103,95,98,95,1,3,5.466472303206998,0
13,103,95,95,103,3,0,0,1
14,100,95,95,103,3,0,3,2
15,100,95,95,100,3,0,0,1
16,97,95,95,100,3,0,3,2
17,97,95,97,95,1,0,0,1
18,102,95,95,97,3,2,5.466472303206998,0
19,102,95,95,102,3,0,0,1
20,99,95,95,102,3,0,3,2
21,104,95,95,99,3,1,5.466472303206998,0
22,104,95,104,95,1,0,0,1
23,101,95,104,95,1,0,3,2
24,101,95,101,95,1,0,0,1
25,98,95,95,101,3,0,3,2
26,103,95,95,98,3,2,5.466472303206998,0
27,103,95,103,95,1,0,0,1
28,100,95,103,95,1,0,3,2
29,100,95,95,100,3,0,0,1
30,97,95,95,100,3,0,3,2
31,102,95,95,97,3,1,5.466472303206998,0
32,102,95,102,95,1,0,0,1
33,99,95,102,95,1,0,3,2
34,99,95,95,99,3,0,0,1
35,96,95,99,95,1,0,3,2
36,96,95,96,95,1,0,0,1
37,101,95,95,96,3,2,5.466472303206998,0
38,101,95,101,95,1,0,0,1
39,98,95,95,101,3,0,3,2
40,98,95,98,95,1,0,0,1
41,103,95,95,98,3,1,5.466472303206998,0
42,108,95,95,103,3,2,5.466472303206998,0
43,108,95,108,95,1,0,0,1
44,105,95,108,95,1,0,3,2
45,105,95,105,95,1,0,0,1
46,102,95,95,105,3,0,3,2
47,102,95,95,102,3,0,0,1
48,99,95,95,102,3,0,3,2
49,99,95,95,99,3,0,0,1
50,96,95,95,99,3,0,3,2
