trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.22,2.3,2.22,2.3,3,3,0,1,1,0
1,3.52,2.3,3.52,2.3,1,1,1,3,2,0
2,2.22,2.3,2.3,2.22,1,1,1,1,3,0
3,2.79,2.3,2.3,2.79,3,2,1,2,3,1
4,2.79,2.3,2.79,2.3,1,1,2,3,4,1
5,2.22,2.3,2.3,2.22,1,1,2,1,5,1
6,2.49,2.3,2.49,2.3,1,1,3,3,6,1
7,2.22,2.3,2.3,2.22,1,2,3,2,6,2
8,2.35,2.3,2.35,2.3,1,3,3,1,6,3
9,2.49,2.3,2.49,2.3,1,1,4,3,7,3
10,2.35,2.3,2.35,2.3,1,3,4,1,7,4
11,2.42,2.3,2.3,2.42,3,3,5,3,8,4
12,2.35,2.3,2.3,2.35,3,2,5,2,8,5
