18:50:08.341 -> 96350283, 96350293, 96350303, 96350313, 96350324, 96350334, 96350334, 96350344, 96350354
18:50:13.192 -> 101243488, 101243498, 101243508, 101243518, 101243529, 101243539, 101243539, 101243549, 101243559
18:50:15.105 -> 103158425, 103158436, 103158446, 103158456, 103158466, 103158476, 103158476, 103158487, 103158497
18:50:21.546 -> 109611387, 109611397, 109611408, 109611418, 109611428, 109611438, 109611438, 109611448, 109611459
18:50:25.199 -> 113242340, 113242350, 113242361, 113242371, 113242381, 113242391, 113242391, 113242401, 113242412
18:50:33.305 -> 121340290, 121340301, 121340311, 121340321, 121340331, 121340341, 121340341, 121340352, 121340362
18:50:34.657 -> 122693099, 122693109, 122693119, 122693129, 122693139, 122693150, 122693150, 122693160, 122693170
