trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon
0,6.21,10.72,6.21,10.72,3,3,0,1
1,6.21,10.72,10.72,6.21,1,1,0,1
2,9.84,10.72,9.84,10.72,3,2,0,2
3,9.84,10.72,10.72,9.84,1,3,1,3
4,9.84,10.72,9.84,10.72,3,3,1,1
5,9.84,10.72,9.84,10.72,3,2,1,2
6,12.39,10.72,12.39,10.72,1,3,1,1
7,12.39,10.72,12.39,10.72,1,3,1,1
8,12.39,10.72,10.72,12.39,3,3,2,3
9,12.39,10.72,12.39,10.72,1,1,3,3
10,12.39,10.72,10.72,12.39,3,3,4,3
11,12.39,10.72,12.39,10.72,1,2,4,2
12,12.75,10.72,10.72,12.75,3,3,5,3
13,12.39,10.72,12.39,10.72,1,2,5,2
