Subject,nPoints,Ref,JND
3,0,0,0.44
3,1,0,0.22
3,0,1,0.75
3,1,1,0.24
4,0,0,0.75
4,1,0,0.21
4,0,1,0.87
4,1,1,1.5
5,0,0,0.57
5,1,0,0.49
5,0,1,0.75
5,1,1,0.53
6,0,0,1.13
6,1,0,1.05
6,0,1,1.21
6,1,1,0.79
7,0,0,0.6
7,1,0,0.6
7,0,1,0.66
7,1,1,0.85
