nSubject,avgMin2,avgMin1,avgMax2,avgMax1,Elbow length,Halfway point ,circumfrence
3,0.15,0.18,6.26,11.22,10,5,8.25
4,0.13,0.24,4.76,10.84,10.5,5.25,10
5,0.13,0.18,6.14,10.78,10.5,5.25,7
6,0.455,1.17,12.88,17.43,10,5,7.25
7,0.32,0.29,4.97,8.32,10,5,7.5
