time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark'
19.594,180.0,0.0,-0.12987012987013102,0.0,0,0,1
20.046,180.0,0.0,-0.10822510822510978,0.0,0,0,1
20.498,180.0,0.0,-0.12987012987013102,0.0,0,0,1
20.95,180.0,0.0,-0.12987012987013102,0.0,0,0,1
21.402,180.0,0.0,-0.12987012987013102,0.0,0,0,1
21.855,180.0,0.0,-0.10822510822510978,0.0,0,0,1
22.307,180.0,0.0,-0.15151515151515227,0.0,0,0,1
22.76,180.0,0.0,-0.10822510822510978,0.0,0,0,1
23.212,180.0,0.0,-0.12987012987013102,0.0,0,0,1
23.664,180.0,0.0,-0.10822510822510978,0.0,0,0,1
24.116,180.0,0.0,-0.10822510822510978,0.0,0,0,1
24.568,177.0,0.43478260869565216,-0.08658008658008498,0.0,0,0,1
25.021,173.0,1.0869565217391304,0.4761904761904745,0.0,0,0,1
25.473,170.0,1.5217391304347827,0.8874458874458888,0.0,0,0,1
25.926,166.0,1.9565217391304348,1.428571428571427,0.0,0,0,1
26.378,157.0,3.260869565217391,1.7099567099567103,0.0,0,0,1
26.83,153.0,3.9130434782608696,3.463203463203463,0.0,0,0,1
27.282,146.0,4.782608695652174,3.80952380952381,0.0,0,0,1
27.735,140.0,5.6521739130434785,4.9350649350649345,0.0,0,0,1
28.187,136.0,6.304347826086956,5.930735930735931,0.0,0,0,1
28.639,131.0,6.956521739130435,6.861471861471861,0.0,0,0,1
29.092,127.0,7.608695652173913,7.056277056277056,0.0,0,0,1
29.545,122.0,8.26086956521739,8.008658008658008,0.0,0,0,1
29.997,116.0,9.130434782608695,8.67965367965368,0.0,0,0,1
30.449,110.0,10.0,9.393939393939394,0.0,0,0,1
30.901,103.0,11.08695652173913,10.0,0.0,0,0,1
31.353,99.0,11.521739130434783,10.584415584415584,0.0,0,0,1
31.806,92.0,12.608695652173912,11.70995670995671,0.0,0,0,1
32.259,88.0,13.043478260869565,12.575757575757576,0.0,0,0,1
32.711,88.0,13.043478260869565,12.987012987012987,0.0,0,0,1
33.164,88.0,13.043478260869565,13.051948051948052,0.0,0,0,1
33.616,88.0,13.043478260869565,13.116883116883116,0.0,0,0,1
34.068,91.0,12.608695652173912,13.030303030303031,0.0,0,0,1
34.52,97.0,11.956521739130435,13.030303030303031,0.0,0,0,1
34.972,99.0,11.521739130434783,12.034632034632034,0.0,0,0,1
35.425,103.0,11.08695652173913,11.666666666666666,0.0,0,0,1
35.878,112.0,9.782608695652174,10.757575757575758,0.0,0,0,1
36.33,114.0,9.347826086956522,9.978354978354979,0.0,0,0,1
36.782,123.0,8.043478260869565,8.982683982683982,0.0,0,0,1
37.234,129.0,7.391304347826087,7.532467532467532,0.0,0,0,1
37.687,136.0,6.304347826086956,7.25108225108225,0.0,0,0,1
38.139,138.0,6.086956521739131,6.038961038961039,0.0,0,0,1
38.591,144.0,5.217391304347826,5.9523809523809526,0.0,0,0,1
39.043,151.0,4.130434782608695,4.653679653679653,0.0,0,0,1
39.496,155.0,3.4782608695652173,3.874458874458874,0.0,0,0,1
39.949,161.0,2.608695652173913,2.6190476190476204,0.0,0,0,1
40.401,170.0,1.5217391304347827,1.8181818181818166,0.0,0,0,1
40.853,174.0,0.8695652173913043,0.8658008658008676,0.0,0,0,1
41.305,179.0,0.21739130434782608,0.432900432900432,0.0,0,0,1
41.758,180.0,0.0,-0.12987012987013102,0.0,0,0,1
42.21,180.0,0.0,-0.10822510822510978,0.0,0,0,1
42.662,177.0,0.43478260869565216,-0.10822510822510978,0.0,0,0,1
43.115,177.0,0.43478260869565216,-0.10822510822510978,0.0,0,0,1
43.567,170.0,1.5217391304347827,1.125541125541126,0.0,0,0,1
44.019,167.0,1.9565217391304348,1.2987012987012996,0.0,0,0,1
44.472,161.0,2.608695652173913,1.9264069264069263,0.0,0,0,1
44.924,154.0,3.6956521739130435,2.9870129870129887,0.0,0,0,1
45.376,151.0,4.130434782608695,3.7012987012987004,0.0,0,0,1
45.828,149.0,4.3478260869565215,4.069264069264069,0.0,0,0,1
46.281,147.0,4.782608695652174,4.415584415584416,0.0,0,0,1
46.733,140.0,5.6521739130434785,5.324675324675324,0.0,0,0,1
47.185,134.0,6.521739130434782,5.779220779220779,0.0,0,0,1
47.638,129.0,7.391304347826087,7.056277056277056,0.0,0,0,1
48.091,123.0,8.043478260869565,7.489177489177489,0.0,0,0,1
48.543,119.0,8.695652173913043,8.333333333333334,0.0,0,0,1
48.995,114.0,9.347826086956522,9.285714285714286,0.0,0,0,1
49.447,108.0,10.217391304347826,9.58874458874459,0.0,0,0,1
49.899,101.0,11.304347826086957,10.324675324675324,0.0,0,0,1
50.352,99.0,11.521739130434783,11.255411255411255,0.0,0,0,1
50.805,95.0,12.173913043478262,11.818181818181818,0.0,0,0,1
51.257,90.0,12.826086956521738,12.445887445887447,0.0,0,0,1
51.709,86.0,13.478260869565217,11.515151515151516,0.0,0,0,1
52.161,81.0,14.130434782608695,12.878787878787879,0.0,0,0,1
52.613,741.0,0.0,13.722943722943722,0.0,0,0,1
53.066,75.0,15.0,11.645021645021645,0.0,0,0,1
53.518,70.0,15.652173913043478,14.805194805194805,0.0,0,0,1
53.971,66.0,16.304347826086957,15.692640692640692,0.0,0,0,1
54.423,59.0,17.391304347826086,16.536796536796537,0.0,0,0,1
54.875,55.0,17.82608695652174,17.943722943722943,0.0,0,0,1
55.327,51.0,18.47826086956522,18.441558441558442,0.0,0,0,1
55.78,44.0,19.347826086956523,19.58874458874459,0.0,0,0,1
56.232,40.0,20.0,19.761904761904763,0.0,0,0,1
56.684,40.0,20.0,19.783549783549784,0.0,0,0,1
57.137,43.0,19.565217391304348,19.761904761904763,0.0,0,0,1
57.589,43.0,19.565217391304348,19.783549783549784,0.0,0,0,1
58.041,52.0,18.26086956521739,19.783549783549784,0.0,0,0,1
58.493,59.0,17.391304347826086,17.943722943722943,0.0,0,0,1
58.946,63.0,16.73913043478261,17.87878787878788,0.0,0,0,1
59.398,65.0,16.52173913043478,17.01298701298701,0.0,0,0,1
59.85,70.0,15.652173913043478,16.623376623376622,0.0,0,0,1
60.303,74.0,15.217391304347826,16.21212121212121,0.0,0,0,1
60.755,81.0,14.130434782608695,15.822510822510822,0.0,0,0,1
61.207,83.0,13.91304347826087,15.454545454545453,0.0,0,0,1
61.659,87.0,13.26086956521739,14.155844155844155,0.0,0,0,1
62.112,92.0,12.608695652173912,13.3982683982684,0.0,0,0,1
62.564,94.0,12.391304347826088,12.748917748917748,0.0,0,0,1
63.016,99.0,11.521739130434783,12.121212121212121,0.0,0,0,1
63.469,103.0,11.08695652173913,11.688311688311689,0.0,0,0,1
63.921,109.0,10.217391304347826,10.974025974025974,0.0,0,0,1
64.373,116.0,9.130434782608695,10.108225108225108,0.0,0,0,1
64.826,120.0,8.478260869565217,8.982683982683982,0.0,0,0,1
65.278,123.0,8.043478260869565,8.398268398268398,0.0,0,0,1
65.73,125.0,7.826086956521739,8.116883116883116,0.0,0,0,1
66.182,127.0,7.608695652173913,7.597402597402597,0.0,0,0,1
66.636,136.0,6.304347826086956,6.948051948051948,0.0,0,0,1
67.088,142.0,5.434782608695652,6.212121212121213,0.0,0,0,1
67.54,147.0,4.782608695652174,5.2813852813852815,0.0,0,0,1
67.992,153.0,3.9130434782608696,4.35064935064935,0.0,0,0,1
68.444,157.0,3.260869565217391,3.679653679653679,0.0,0,0,1
68.897,164.0,2.391304347826087,2.0562770562770574,0.0,0,0,1
69.349,170.0,1.5217391304347827,2.0562770562770574,0.0,0,0,1
69.802,175.0,0.6521739130434783,0.4978354978354993,0.0,0,0,1
70.254,179.0,0.21739130434782608,0.2597402597402585,0.0,0,0,1
70.707,180.0,0.0,-0.06493506493506374,0.0,0,0,1
71.159,180.0,0.0,-0.04329004329004249,0.0,0,0,1
71.611,180.0,0.0,-0.08658008658008498,0.0,0,0,1
72.063,180.0,0.0,0.0,0.0,0,0,1
72.515,179.0,0.21739130434782608,-0.04329004329004249,0.0,0,0,1
72.968,178.0,0.21739130434782608,-0.021645021645021245,0.0,0,0,1
73.421,171.0,1.3043478260869565,0.23809523809523725,0.0,0,0,1
73.873,164.0,2.391304347826087,1.471861471861473,0.0,0,0,1
74.325,160.0,2.8260869565217392,2.121212121212121,0.0,0,0,1
74.778,156.0,3.4782608695652173,2.6406926406926416,0.0,0,0,1
75.23,153.0,3.9130434782608696,3.528138528138527,0.0,0,0,1
75.682,149.0,4.3478260869565215,3.658008658008658,0.0,0,0,1
76.134,144.0,5.217391304347826,4.74025974025974,0.0,0,0,1
76.586,140.0,5.6521739130434785,5.0649350649350655,0.0,0,0,1
77.039,133.0,6.739130434782608,6.103896103896103,0.0,0,0,1
77.492,129.0,7.391304347826087,6.731601731601732,0.0,0,0,1
77.944,127.0,7.608695652173913,7.316017316017316,0.0,0,0,1
78.396,122.0,8.26086956521739,8.008658008658008,0.0,0,0,1
78.849,120.0,8.478260869565217,8.333333333333334,0.0,0,0,1
79.301,115.0,9.347826086956522,8.593073593073592,0.0,0,0,1
79.753,113.0,9.565217391304348,9.285714285714286,0.0,0,0,1
80.205,109.0,10.217391304347826,10.0,0.0,0,0,1
80.658,102.0,11.08695652173913,10.714285714285714,0.0,0,0,1
81.11,96.0,11.956521739130435,11.623376623376624,0.0,0,0,1
81.563,89.0,13.043478260869565,12.467532467532468,0.0,0,0,1
82.015,85.0,13.478260869565217,13.030303030303031,0.0,0,0,1
82.467,80.0,14.347826086956522,13.658008658008658,0.0,0,0,1
