subject
180.0
164.0
150.0
134.0
120.0
105.0
90.0
74.0
61.0
44.0
119.0
135.0
150.0
180.0
105.0
90.0
59.0
45.0
74.0
165.0
180.0
165.0
150.0
135.0
120.0
105.0
90.0
75.0
60.0
45.0
180.0
173.0
148.0
139.0
120.0
100.0
91.0
76.0
57.0
43.0
59.0
75.0
85.0
102.0
164.0
150.0
138.0
119.0
134.0
40.0
78.0
40.0
67.0
105.0
47.0
99.0
172.0
111.0
90.0
118.0
113.0
69.0
157.0
157.0
119.0
84.0
116.0
78.0
108.0
106.0
