time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle"""
1342.798,106.0,8.053333333333335,4.0,-23.2,0,150
1343.25,106.0,8.053333333333335,3.936591809775429,-23.29,0,150
1343.703,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1344.155,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1344.609,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1345.061,106.0,8.053333333333335,4.0,-23.29,0,150
1345.514,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1345.967,106.0,8.053333333333335,3.8731836195508578,-23.2,0,150
1346.42,106.0,8.053333333333335,3.936591809775429,-23.2,0,150
1346.872,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1347.325,106.0,8.053333333333335,3.936591809775429,-23.29,0,150
1347.778,106.0,8.053333333333335,3.936591809775429,-23.2,0,150
1348.231,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1348.683,106.0,8.053333333333335,4.0,-23.29,0,150
1349.137,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1349.589,106.0,8.053333333333335,4.04227212681638,-23.2,0,150
1350.042,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1350.494,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1350.948,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1351.4,106.0,8.053333333333335,4.0,-23.2,0,150
1351.853,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1352.306,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1352.759,106.0,8.053333333333335,4.0,-23.12,0,150
1353.211,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1353.664,106.0,8.053333333333335,3.9154557463672397,-23.47,0,150
1354.117,106.0,8.053333333333335,4.0,-23.29,0,150
1354.569,106.0,8.053333333333335,3.936591809775429,-23.29,0,150
1355.022,106.0,8.053333333333335,4.0,-23.29,0,150
1355.476,106.0,8.053333333333335,4.0,-23.55,0,150
1355.928,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1356.381,106.0,8.053333333333335,4.0,-23.55,0,150
1356.833,106.0,8.053333333333335,3.8731836195508578,-23.55,0,150
1357.287,106.0,8.053333333333335,4.021136063408191,-23.29,0,150
1357.739,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1358.192,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1358.645,106.0,8.053333333333335,4.021136063408191,-23.29,0,150
1359.098,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1359.55,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1360.003,106.0,8.053333333333335,3.8943196829590505,-23.47,0,150
1360.456,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1360.909,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1361.361,106.0,8.053333333333335,4.021136063408191,-23.29,0,150
1361.815,106.0,8.053333333333335,4.04227212681638,-23.29,0,150
1362.267,106.0,8.053333333333335,4.0,-23.55,0,150
1362.72,106.0,8.053333333333335,3.957727873183618,-23.38,0,150
1363.173,106.0,8.053333333333335,3.9154557463672397,-23.47,0,150
1363.626,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1364.078,106.0,8.053333333333335,4.0,-23.29,0,150
1364.531,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1364.985,106.0,8.053333333333335,4.063408190224571,-23.55,0,150
1365.437,106.0,8.053333333333335,3.8731836195508578,-23.47,0,150
1365.89,106.0,8.053333333333335,4.021136063408191,-23.47,0,150
1366.342,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1366.795,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1367.247,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1367.7,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1368.153,106.0,8.053333333333335,4.04227212681638,-23.29,0,150
1368.606,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1369.058,106.0,8.053333333333335,4.04227212681638,-23.55,0,150
1369.512,106.0,8.053333333333335,3.8520475561426686,-23.55,0,150
1369.964,106.0,8.053333333333335,3.936591809775429,-23.38,0,150
1370.417,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1370.869,106.0,8.053333333333335,4.0,-23.55,0,150
1371.323,106.0,8.053333333333335,3.9154557463672397,-23.55,0,150
1371.775,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1372.228,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1372.681,106.0,8.053333333333335,3.8309114927344794,-23.38,0,150
1373.134,106.0,8.053333333333335,4.0,-23.64,0,150
1373.586,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1374.039,106.0,8.053333333333335,4.063408190224571,-23.29,0,150
1374.492,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1374.945,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1375.397,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1375.851,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1376.303,106.0,8.053333333333335,4.021136063408191,-23.29,0,150
1376.756,106.0,8.053333333333335,4.063408190224571,-23.29,0,150
1377.209,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1377.662,106.0,8.053333333333335,4.021136063408191,-23.29,0,150
1378.114,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1378.567,106.0,8.053333333333335,3.936591809775429,-23.29,0,150
1379.021,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1379.473,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1379.926,106.0,8.053333333333335,4.063408190224571,-23.03,0,150
1380.378,106.0,8.053333333333335,3.978863936591811,-23.12,0,150
1380.831,106.0,8.053333333333335,3.9154557463672397,-22.94,0,150
1381.284,106.0,8.053333333333335,3.936591809775429,-22.94,0,150
1381.736,106.0,8.053333333333335,3.9154557463672397,-22.94,0,150
1382.19,106.0,8.053333333333335,3.957727873183618,-22.94,0,150
1382.643,106.0,8.053333333333335,3.957727873183618,-22.94,0,150
1383.095,106.0,8.053333333333335,3.978863936591811,-22.94,0,150
1383.548,106.0,8.053333333333335,4.0,-22.94,0,150
1384.001,106.0,8.053333333333335,4.021136063408191,-23.03,0,150
1384.454,106.0,8.053333333333335,3.957727873183618,-22.94,0,150
1384.906,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1385.36,106.0,8.053333333333335,3.957727873183618,-23.03,0,150
1385.812,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1386.265,106.0,8.053333333333335,3.957727873183618,-23.12,0,150
1386.718,106.0,8.053333333333335,4.08454425363276,-23.2,0,150
1387.171,106.0,8.053333333333335,4.0,-23.2,0,150
1387.623,106.0,8.053333333333335,3.9154557463672397,-22.94,0,150
1388.076,106.0,8.053333333333335,3.8731836195508578,-22.94,0,150
1388.53,106.0,8.053333333333335,4.105680317040951,-23.03,0,150
1388.982,106.0,8.053333333333335,3.978863936591811,-23.03,0,150
1389.435,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1389.887,106.0,8.053333333333335,4.0,-23.12,0,150
1390.34,106.0,8.053333333333335,4.0,-22.94,0,150
1390.793,106.0,8.053333333333335,4.021136063408191,-22.94,0,150
1391.245,106.0,8.053333333333335,4.0,-22.94,0,150
1391.699,106.0,8.053333333333335,3.957727873183618,-22.94,0,150
1392.152,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1392.604,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1393.057,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1393.51,106.0,8.053333333333335,4.0,-23.03,0,150
1393.963,106.0,8.053333333333335,3.936591809775429,-23.2,0,150
1394.415,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1394.869,106.0,8.053333333333335,3.936591809775429,-23.12,0,150
1395.321,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1395.774,106.0,8.053333333333335,4.0,-23.29,0,150
1396.226,106.0,8.053333333333335,3.957727873183618,-23.55,0,150
1396.679,106.0,8.053333333333335,3.978863936591811,-22.94,0,150
1397.132,106.0,8.053333333333335,4.04227212681638,-22.94,0,150
1397.585,106.0,8.053333333333335,3.957727873183618,-23.03,0,150
1398.038,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1398.491,106.0,8.053333333333335,3.9154557463672397,-23.03,0,150
1398.943,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1399.396,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1399.849,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1400.302,106.0,8.053333333333335,4.04227212681638,-23.2,0,150
1400.754,106.0,8.053333333333335,4.0,-23.2,0,150
1401.208,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1401.66,106.0,8.053333333333335,4.0,-23.2,0,150
1402.113,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1402.565,106.0,8.053333333333335,4.021136063408191,-1761.77,0,150
1403.018,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1403.47,106.0,8.053333333333335,4.0,-23.29,0,150
1403.923,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1404.376,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1404.828,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1405.281,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1405.735,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1406.187,106.0,8.053333333333335,4.0,-23.29,0,150
1406.64,106.0,8.053333333333335,4.021136063408191,-23.38,0,150
1407.092,106.0,8.053333333333335,4.0,-23.2,0,150
1407.545,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1407.998,106.0,8.053333333333335,3.978863936591811,-23.2,0,150
1408.45,106.0,8.053333333333335,3.978863936591811,-22.94,0,150
1408.904,106.0,8.053333333333335,3.957727873183618,-23.2,0,150
1409.357,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1409.809,106.0,8.053333333333335,4.04227212681638,-23.47,0,150
1410.262,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1410.715,106.0,8.053333333333335,3.957727873183618,-23.55,0,150
1411.168,106.0,8.053333333333335,3.978863936591811,-23.47,0,150
1411.62,106.0,8.053333333333335,4.063408190224571,-23.29,0,150
1412.074,106.0,8.053333333333335,3.957727873183618,-23.29,0,150
1412.526,106.0,8.053333333333335,3.936591809775429,-23.55,0,150
1412.979,106.0,8.053333333333335,3.957727873183618,-23.55,0,150
1413.431,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1413.885,106.0,8.053333333333335,3.978863936591811,-23.55,0,150
1414.337,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1414.79,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1415.243,106.0,8.053333333333335,3.9154557463672397,-23.29,0,150
1415.696,106.0,8.053333333333335,4.0,-23.55,0,150
1416.148,106.0,8.053333333333335,4.0,-23.55,0,150
1416.601,106.0,8.053333333333335,4.0,-23.29,0,150
1417.054,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1417.507,106.0,8.053333333333335,4.021136063408191,-23.2,0,150
1417.959,106.0,8.053333333333335,3.978863936591811,-23.29,0,150
1418.413,106.0,8.053333333333335,3.936591809775429,-23.29,0,150
1418.865,106.0,8.053333333333335,3.936591809775429,-23.2,0,150
1419.318,106.0,8.053333333333335,3.9154557463672397,-23.2,0,150
