time,flex sensor,"actuator position, command","actuator position, measured",force,Trial Number,Target Angle
503.867,152.0,7.84,10.946619217081851,0.0,0,180
504.32,152.0,7.84,10.908659549228945,0.0,0,180
504.772,152.0,7.84,10.870699881376037,0.0,0,180
505.224,152.0,7.84,10.927639383155398,0.0,0,180
505.676,152.0,7.84,10.851720047449584,0.0,0,180
506.129,152.0,7.84,11.022538552787664,0.0,0,180
506.581,152.0,7.84,10.813760379596678,0.0,0,180
507.033,152.0,7.84,10.908659549228945,0.0,0,180
507.486,152.0,7.84,10.737841043890866,0.0,0,180
507.938,152.0,7.84,10.851720047449584,0.0,0,180
508.39,152.0,7.84,10.870699881376037,0.0,0,180
508.842,152.0,7.84,10.794780545670225,0.0,0,180
509.296,152.0,7.84,10.680901542111506,0.0,0,180
509.748,152.0,7.84,10.927639383155398,0.0,0,180
510.2,152.0,7.84,10.756820877817319,0.0,0,180
510.652,152.0,7.84,10.756820877817319,0.0,0,180
511.104,152.0,7.84,10.927639383155398,0.0,0,180
511.557,152.0,7.84,10.88967971530249,0.0,0,180
512.009,152.0,7.84,10.832740213523131,0.0,0,180
512.461,152.0,7.84,10.965599051008304,0.0,0,180
512.913,152.0,7.84,10.756820877817319,0.0,0,180
513.366,152.0,7.84,10.813760379596678,0.0,0,180
513.818,152.0,7.84,10.813760379596678,0.0,0,180
514.271,152.0,7.84,10.870699881376037,0.0,0,180
514.723,152.0,7.84,10.946619217081851,0.0,0,180
515.176,152.0,7.84,10.794780545670225,0.0,0,180
515.628,152.0,7.84,10.88967971530249,0.0,0,180
516.08,152.0,7.84,10.832740213523131,0.0,0,180
516.532,152.0,7.84,10.794780545670225,0.0,0,180
516.984,152.0,7.84,10.851720047449584,0.0,0,180
517.437,152.0,7.84,10.88967971530249,0.0,0,180
517.889,152.0,7.84,10.965599051008304,0.0,0,180
518.341,152.0,7.84,10.88967971530249,0.0,0,180
518.793,152.0,7.84,10.851720047449584,0.0,0,180
519.246,152.0,7.84,10.851720047449584,0.0,0,180
519.698,152.0,7.84,10.832740213523131,0.0,0,180
520.151,152.0,7.84,10.851720047449584,0.0,0,180
520.603,152.0,7.84,10.870699881376037,0.0,0,180
521.056,152.0,7.84,10.832740213523131,0.0,0,180
521.508,152.0,7.84,10.813760379596678,0.0,0,180
521.96,152.0,7.84,10.88967971530249,0.0,0,180
522.413,152.0,7.84,10.813760379596678,0.0,0,180
522.865,152.0,7.84,10.965599051008304,0.0,0,180
523.317,152.0,7.84,10.908659549228945,0.0,0,180
523.769,152.0,7.84,10.870699881376037,0.0,0,180
524.221,152.0,7.84,10.927639383155398,0.0,0,180
524.674,152.0,7.84,10.927639383155398,0.0,0,180
525.126,152.0,7.84,11.00355871886121,0.0,0,180
525.578,152.0,7.84,10.88967971530249,0.0,0,180
526.03,152.0,7.84,10.870699881376037,0.0,0,180
526.483,152.0,7.84,10.813760379596678,0.0,0,180
526.935,152.0,7.84,10.870699881376037,0.0,0,180
527.388,152.0,7.84,10.794780545670225,0.0,0,180
527.84,152.0,7.84,10.832740213523131,0.0,0,180
528.292,152.0,7.84,10.775800711743772,0.0,0,180
528.745,152.0,7.84,10.88967971530249,0.0,0,180
529.198,152.0,7.84,10.775800711743772,0.0,0,180
529.65,152.0,7.84,10.88967971530249,0.0,0,180
530.102,152.0,7.84,10.88967971530249,0.0,0,180
530.554,152.0,7.84,10.946619217081851,0.0,0,180
531.006,152.0,7.84,10.832740213523131,0.0,0,180
531.459,152.0,7.84,10.794780545670225,0.0,0,180
531.911,152.0,7.84,10.794780545670225,0.0,0,180
532.363,152.0,7.84,10.927639383155398,0.0,0,180
532.815,152.0,7.84,10.832740213523131,0.0,0,180
533.267,152.0,7.84,10.794780545670225,0.0,0,180
533.72,152.0,7.84,10.851720047449584,0.0,0,180
534.172,152.0,7.84,10.851720047449584,0.0,0,180
534.625,152.0,7.84,10.832740213523131,0.0,0,180
535.077,152.0,7.84,10.718861209964412,0.0,0,180
535.529,152.0,7.84,10.870699881376037,0.0,0,180
535.981,152.0,7.84,11.00355871886121,0.0,0,180
536.435,152.0,7.84,10.756820877817319,0.0,0,180
536.887,152.0,7.84,10.851720047449584,0.0,0,180
537.339,152.0,7.84,10.775800711743772,0.0,0,180
537.791,152.0,7.84,10.851720047449584,0.0,0,180
538.244,152.0,7.84,10.794780545670225,0.0,0,180
538.696,152.0,7.84,10.908659549228945,0.0,0,180
539.148,152.0,7.84,10.813760379596678,0.0,0,180
539.6,152.0,7.84,10.88967971530249,0.0,0,180
540.053,152.0,7.84,10.832740213523131,0.0,0,180
540.505,152.0,7.84,10.88967971530249,0.0,0,180
540.957,152.0,7.84,10.908659549228945,0.0,0,180
541.409,152.0,7.84,10.946619217081851,0.0,0,180
541.861,152.0,7.84,10.908659549228945,0.0,0,180
542.314,152.0,7.84,10.832740213523131,0.0,0,180
542.766,152.0,7.84,10.870699881376037,0.0,0,180
543.218,152.0,7.84,10.870699881376037,0.0,0,180
543.67,152.0,7.84,10.832740213523131,0.0,0,180
544.123,152.0,7.84,10.927639383155398,0.0,0,180
544.575,152.0,7.84,10.775800711743772,0.0,0,180
545.028,152.0,7.84,10.756820877817319,0.0,0,180
545.48,152.0,7.84,10.946619217081851,0.0,0,180
545.933,152.0,7.84,10.851720047449584,0.0,0,180
546.385,152.0,7.84,10.927639383155398,0.0,0,180
546.837,152.0,7.84,10.908659549228945,0.0,0,180
547.29,152.0,7.84,10.984578884934757,0.0,0,180
547.742,152.0,7.84,10.832740213523131,0.0,0,180
548.194,152.0,7.84,10.88967971530249,0.0,0,180
548.646,152.0,7.84,10.832740213523131,0.0,0,180
549.099,152.0,7.84,10.88967971530249,0.0,0,180
549.551,152.0,7.84,10.870699881376037,0.0,0,180
550.003,152.0,7.84,11.00355871886121,0.0,0,180
550.455,152.0,7.84,10.946619217081851,0.0,0,180
550.907,152.0,7.84,10.851720047449584,0.0,0,180
551.36,152.0,7.84,10.870699881376037,0.0,0,180
551.812,152.0,7.84,10.756820877817319,0.0,0,180
552.264,152.0,7.84,10.832740213523131,0.0,0,180
552.716,152.0,7.84,10.870699881376037,0.0,0,180
553.168,152.0,7.84,10.775800711743772,0.0,0,180
553.621,152.0,7.84,10.946619217081851,0.0,0,180
554.074,152.0,7.84,10.756820877817319,0.0,0,180
554.526,152.0,7.84,10.870699881376037,0.0,0,180
554.978,152.0,7.84,10.965599051008304,0.0,0,180
555.431,152.0,7.84,10.851720047449584,0.0,0,180
555.883,152.0,7.84,10.832740213523131,0.0,0,180
556.336,152.0,7.84,10.832740213523131,0.0,0,180
556.788,152.0,7.84,11.00355871886121,0.0,0,180
557.24,152.0,7.84,10.870699881376037,0.0,0,180
557.692,152.0,7.84,10.775800711743772,0.0,0,180
558.144,152.0,7.84,10.88967971530249,0.0,0,180
558.597,152.0,7.84,10.832740213523131,0.0,0,180
559.049,152.0,7.84,10.88967971530249,0.0,0,180
559.502,152.0,7.84,10.851720047449584,0.0,0,180
559.954,152.0,7.84,10.813760379596678,0.0,0,180
560.406,152.0,7.84,10.984578884934757,0.0,0,180
560.858,152.0,7.84,10.794780545670225,0.0,0,180
561.312,152.0,7.84,10.870699881376037,0.0,0,180
561.764,152.0,7.84,10.870699881376037,0.0,0,180
562.216,152.0,7.84,10.832740213523131,0.0,0,180
562.668,152.0,7.84,10.832740213523131,0.0,0,180
563.12,152.0,7.84,10.813760379596678,0.0,0,180
563.573,152.0,7.84,10.775800711743772,0.0,0,180
564.025,152.0,7.84,10.775800711743772,0.0,0,180
564.477,152.0,7.84,10.88967971530249,0.0,0,180
564.929,152.0,7.84,10.832740213523131,0.0,0,180
565.382,152.0,7.84,10.946619217081851,0.0,0,180
565.834,152.0,7.84,10.946619217081851,0.0,0,180
566.287,152.0,7.84,10.946619217081851,0.0,0,180
566.739,152.0,7.84,10.851720047449584,0.0,0,180
567.192,152.0,7.84,10.984578884934757,0.0,0,180
567.644,152.0,7.84,10.870699881376037,0.0,0,180
568.096,149.0,8.266666666666666,11.440094899169631,0.0,0,180
568.548,143.0,8.906666666666666,11.743772241992882,0.0,0,180
569.001,140.0,9.333333333333332,12.446026097271648,0.0,0,180
569.453,146.0,8.693333333333333,11.819691577698695,0.0,0,180
569.905,151.0,7.84,11.079478054567023,0.0,0,180
