t1,t2,command,force,position
150788713,150788713,49,-1,984
150796714,150796715,49,-1,984
150804714,150804715,49,-1,985
150812714,150812715,49,-1,984
150820718,150820719,49,-1,985
150828713,150828714,49,-1,984
150836714,150836715,49,-1,984
150844714,150844715,49,-1,985
150852714,150852715,49,-1,985
150860718,150860719,49,-1,984
150868713,150868713,49,-1,983
150876714,150876715,49,-1,984
150884714,150884715,49,-1,985
150892714,150892715,49,-1,984
150900718,150900719,49,-1,984
150908713,150908713,49,-1,985
150916714,150916715,49,-1,985
150924714,150924715,49,-1,984
150932714,150932715,49,-1,985
150940718,150940719,49,-1,986
150948713,150948714,49,-1,986
150956714,150956714,49,-1,984
150964714,150964715,49,-1,984
150972714,150972715,49,-1,985
150980718,150980719,49,-1,985
150988713,150988713,49,-1,984
150996714,150996715,49,-1,984
151004714,151004714,49,-1,983
151012714,151012715,49,-1,985
151020718,151020718,49,-1,984
151028713,151028713,49,-1,984
151036714,151036715,49,-1,985
151044714,151044714,49,-1,984
151052714,151052715,49,-1,985
151060718,151060718,49,-1,985
151068713,151068714,49,-1,984
151076714,151076715,49,-1,982
151084714,151084715,49,-1,988
151092714,151092715,49,-1,985
151100718,151100719,49,-1,984
151108713,151108713,49,-1,986
151116714,151116715,49,-1,984
151124714,151124715,49,-1,986
151132714,151132714,49,-1,985
151140718,151140719,49,-1,984
151148713,151148713,49,-1,986
151156714,151156715,49,-1,984
151164714,151164715,49,-1,984
151172714,151172715,49,-1,983
151180718,151180719,49,-1,984
151188713,151188713,49,-1,984
151196714,151196715,49,-1,985
151204714,151204715,49,-1,986
151212714,151212714,49,-1,985
151220718,151220719,49,-1,984
151228713,151228713,49,-1,984
151236714,151236715,49,-1,985
151244714,151244715,49,-1,985
151252714,151252715,49,-1,986
151260718,151260719,49,-1,985
151268713,151268714,49,-1,985
151276714,151276714,49,-1,984
151284714,151284715,49,-1,983
151292714,151292714,49,-1,984
151300718,151300719,49,-1,984
151308713,151308713,49,-1,985
151316714,151316714,49,-1,985
151324714,151324715,49,-1,986
151332714,151332714,49,-1,987
151340718,151340718,49,-1,985
151348713,151348713,49,-1,984
151356714,151356715,49,-1,986
151364714,151364715,49,-1,984
151372714,151372715,49,-1,985
151380718,151380719,49,-1,984
151388713,151388713,49,-1,985
151396714,151396715,49,-1,985
151404714,151404715,49,-1,984
151412714,151412715,49,-1,984
151420718,151420718,49,-1,983
151428713,151428713,49,-1,985
151436714,151436714,49,-1,986
151444714,151444715,49,-1,985
151452714,151452715,49,-1,984
151460718,151460719,49,-1,984
151468713,151468713,49,-1,984
151476714,151476715,49,-1,985
151484714,151484715,49,-1,983
151492714,151492715,49,-1,986
151500718,151500719,49,-1,985
151508713,151508713,49,-1,986
151516714,151516714,49,-1,983
151524714,151524715,49,-1,985
151532714,151532714,49,-1,985
151540719,151540719,49,-1,985
151548713,151548713,49,-1,984
151556714,151556715,49,-1,986
151564714,151564715,49,-1,984
151572714,151572715,49,-1,985
151580718,151580719,49,-1,985
151588713,151588714,49,-1,984
151596714,151596715,49,-1,984
