t1,t2,command,measured,zero
142794652,142794653,48,257,0
142800803,142800804,48,257,0
142807624,142807625,48,256,0
142813782,142813783,48,256,0
142819937,142819938,48,257,0
142826368,142826368,48,257,0
142832524,142832524,48,257,0
142838677,142838677,48,259,0
142844829,142844830,48,259,0
142850984,142850985,48,258,0
142858314,142858315,48,258,0
142864472,142864472,48,258,0
142870628,142870629,48,258,0
142876784,142876785,48,258,0
142882937,142882938,48,258,0
142889872,142889872,48,258,0
142896028,142896028,48,258,0
142902180,142902181,48,258,0
142908510,142908510,48,258,0
142914668,142914669,48,258,0
142920820,142920821,48,258,0
142926979,142926979,48,258,0
142933137,142933138,48,258,0
142940326,142940327,48,258,0
142946482,142946483,48,258,0
142952639,142952640,48,258,0
142958797,142958797,48,258,0
142964953,142964953,48,258,0
142971774,142971775,48,257,0
142977931,142977931,48,257,0
142984087,142984087,48,256,0
142990441,142990442,48,256,0
142996604,142996605,48,256,0
143002761,143002761,48,257,0
143008918,143008918,48,257,0
143015079,143015080,48,257,0
143022273,143022274,48,257,0
143028430,143028430,48,257,0
143034590,143034590,48,257,0
143040746,143040747,48,257,0
143046904,143046905,49,257,0
143054002,143054002,49,257,0
143060158,143060159,49,257,0
143066312,143066312,49,257,0
143072469,143072470,49,257,0
143078623,143078624,49,257,0
143085447,143085448,49,259,0
143091605,143091605,49,259,0
143097759,143097759,49,257,0
143104113,143104114,49,257,0
143110272,143110272,49,257,0
143116435,143116436,49,257,0
143122593,143122593,49,257,0
143128750,143128750,49,257,0
143136019,143136019,49,257,0
143142216,143142217,49,257,0
143148374,143148375,49,257,0
143154535,143154535,49,257,0
143160693,143160694,49,257,0
143167957,143167957,49,257,0
143174118,143174119,49,257,0
143180277,143180277,49,259,0
143186434,143186434,49,259,0
143192596,143192596,49,259,0
143199455,143199456,49,260,0
143205610,143205611,49,260,0
143211764,143211765,49,259,0
143218170,143218171,49,259,0
143224329,143224330,49,259,0
143230485,143230485,49,260,0
143236641,143236641,49,260,0
143242793,143242793,49,259,0
143250032,143250033,49,259,0
143256195,143256196,49,259,0
143262352,143262353,49,258,0
143268512,143268512,49,258,0
143274671,143274671,49,258,0
143281546,143281547,49,259,0
143287701,143287702,49,259,0
143293863,143293863,49,257,0
143300214,143300215,49,257,0
143306372,143306373,49,257,0
