,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark',time
734,61.45399999999999,150.0,5.652173913043479,5.628356605800216,1.23,2.0,150.0,1.5,898.4659999999999
735,61.906000000000006,150.0,5.652173913043479,5.6713211600429645,0.88,2.0,150.0,1.5,898.9179999999999
736,62.358000000000004,150.0,5.652173913043479,5.649838882921588,1.14,2.0,150.0,1.5,899.3699999999999
737,62.81,150.0,5.652173913043479,5.60687432867884,1.23,2.0,150.0,1.5,899.8219999999999
738,63.262,150.0,5.652173913043479,5.6713211600429645,1.14,2.0,150.0,1.5,900.2739999999999
739,63.716,150.0,5.652173913043479,5.628356605800216,1.14,2.0,150.0,1.5,900.728
740,64.168,150.0,5.652173913043479,5.69280343716434,1.05,2.0,150.0,1.5,901.18
741,64.62,150.0,5.652173913043479,5.649838882921588,1.14,2.0,150.0,1.5,901.632
742,65.072,150.0,5.652173913043479,5.60687432867884,1.05,2.0,150.0,1.5,902.084
743,65.525,150.0,5.652173913043479,5.6713211600429645,1.14,2.0,150.0,1.5,902.5369999999999
744,65.977,150.0,5.652173913043479,5.7142857142857135,0.97,2.0,150.0,1.5,902.9889999999999
745,66.429,150.0,5.652173913043479,5.649838882921588,1.14,2.0,150.0,1.5,903.4409999999999
746,66.882,150.0,5.652173913043479,5.649838882921588,1.14,2.0,150.0,1.5,903.894
747,67.334,150.0,5.652173913043479,5.69280343716434,1.32,2.0,150.0,1.5,904.346
748,67.78699999999999,150.0,5.652173913043479,5.6713211600429645,1.05,2.0,150.0,1.5,904.799
749,68.24,150.0,5.652173913043479,5.69280343716434,1.32,2.0,150.0,1.5,905.252
750,68.692,150.0,5.652173913043479,5.649838882921588,1.14,3.0,135.0,1.5,905.704
751,69.14399999999999,150.0,5.652173913043479,5.585392051557465,1.23,3.0,135.0,1.5,906.156
752,69.596,135.0,6.7391304347826075,5.800214822771213,1.49,3.0,135.0,1.5,906.608
753,70.04899999999999,135.0,6.7391304347826075,6.509129967776583,2.29,3.0,135.0,1.5,907.0609999999999
754,70.501,135.0,6.7391304347826075,6.638023630504832,2.2,3.0,135.0,1.5,907.5129999999999
755,70.955,135.0,6.7391304347826075,6.552094522019335,2.37,3.0,135.0,1.5,907.967
756,71.407,135.0,6.7391304347826075,6.616541353383459,2.46,3.0,135.0,1.5,908.419
757,71.859,135.0,6.7391304347826075,6.595059076262085,2.55,3.0,135.0,1.5,908.871
758,72.311,135.0,6.7391304347826075,6.5735767991407075,2.55,3.0,135.0,1.5,909.323
759,72.763,135.0,6.7391304347826075,6.5735767991407075,2.46,3.0,135.0,1.5,909.775
760,73.21600000000001,135.0,6.7391304347826075,6.5735767991407075,2.46,3.0,135.0,1.5,910.228
761,73.668,135.0,6.7391304347826075,6.595059076262085,2.55,3.0,135.0,1.5,910.68
762,74.12,135.0,6.7391304347826075,6.745435016111706,2.46,3.0,135.0,1.5,911.132
763,74.572,135.0,6.7391304347826075,6.702470461868957,2.64,3.0,135.0,1.5,911.584
764,75.025,135.0,6.7391304347826075,6.638023630504832,2.46,3.0,135.0,1.5,912.0369999999999
765,75.477,135.0,6.7391304347826075,6.702470461868957,2.2,3.0,135.0,1.5,912.4889999999999
766,75.931,135.0,6.7391304347826075,6.723952738990332,2.29,3.0,135.0,1.5,912.943
767,76.383,135.0,6.7391304347826075,6.595059076262085,2.2,3.0,135.0,1.5,913.395
768,76.835,135.0,6.7391304347826075,6.616541353383459,2.37,3.0,135.0,1.5,913.847
769,77.28699999999999,135.0,6.7391304347826075,6.659505907626207,2.37,3.0,135.0,1.5,914.299
770,77.74,135.0,6.7391304347826075,6.723952738990332,2.29,3.0,135.0,1.5,914.752
771,78.192,135.0,6.7391304347826075,6.5735767991407075,2.29,3.0,135.0,1.5,915.204
772,78.64399999999999,135.0,6.7391304347826075,6.702470461868957,2.2,3.0,135.0,1.5,915.656
773,79.097,135.0,6.7391304347826075,6.702470461868957,2.29,3.0,135.0,1.5,916.1089999999999
774,79.54899999999999,135.0,6.7391304347826075,6.616541353383459,2.37,4.0,120.0,1.5,916.5609999999999
775,80.002,135.0,6.7391304347826075,6.723952738990332,1.93,4.0,120.0,1.5,917.0139999999999
776,80.455,135.0,6.7391304347826075,6.616541353383459,2.37,4.0,120.0,1.5,917.467
777,80.907,120.0,7.608695652173912,7.432867883995702,3.25,4.0,120.0,1.5,917.919
778,81.359,120.0,7.608695652173912,7.3469387755102025,3.16,4.0,120.0,1.5,918.371
779,81.811,120.0,7.608695652173912,7.475832438238454,3.25,4.0,120.0,1.5,918.823
780,82.26299999999999,120.0,7.608695652173912,7.4543501611170795,3.34,4.0,120.0,1.5,919.275
781,82.71600000000001,120.0,7.608695652173912,7.475832438238454,3.34,4.0,120.0,1.5,919.728
782,83.169,120.0,7.608695652173912,7.497314715359828,3.34,4.0,120.0,1.5,920.1809999999999
783,83.62100000000001,120.0,7.608695652173912,7.561761546723952,3.43,4.0,120.0,1.5,920.6329999999999
784,84.074,120.0,7.608695652173912,7.497314715359828,3.34,4.0,120.0,1.5,921.0859999999999
785,84.52600000000001,120.0,7.608695652173912,7.4543501611170795,3.25,4.0,120.0,1.5,921.538
786,84.979,120.0,7.608695652173912,7.583243823845327,3.52,4.0,120.0,1.5,921.991
787,85.431,120.0,7.608695652173912,7.583243823845327,3.52,4.0,120.0,1.5,922.443
788,85.883,120.0,7.608695652173912,7.5402792696025775,3.6,4.0,120.0,1.5,922.895
789,86.335,120.0,7.608695652173912,7.432867883995702,3.34,4.0,120.0,1.5,923.347
790,86.787,120.0,7.608695652173912,7.561761546723952,3.34,4.0,120.0,1.5,923.799
791,87.24,120.0,7.608695652173912,7.561761546723952,3.52,4.0,120.0,1.5,924.252
792,87.693,120.0,7.608695652173912,7.518796992481202,3.52,4.0,120.0,1.5,924.7049999999999
793,88.146,120.0,7.608695652173912,7.497314715359828,3.52,4.0,120.0,1.5,925.1579999999999
794,88.598,120.0,7.608695652173912,7.518796992481202,3.52,4.0,120.0,1.5,925.6099999999999
795,89.05,120.0,7.608695652173912,7.475832438238454,3.6,4.0,120.0,1.5,926.0619999999999
796,89.50299999999999,120.0,7.608695652173912,7.518796992481202,3.52,4.0,120.0,1.5,926.5149999999999
797,89.955,120.0,7.608695652173912,7.497314715359828,3.52,4.0,120.0,1.5,926.967
798,90.40700000000001,120.0,7.608695652173912,7.497314715359828,3.52,4.0,120.0,1.5,927.419
799,90.859,120.0,7.608695652173912,7.4543501611170795,3.34,5.0,105.0,1.5,927.871
800,91.31200000000001,120.0,7.608695652173912,7.4543501611170795,3.43,5.0,105.0,1.5,928.324
801,91.764,105.0,8.695652173913043,7.325456498388831,3.52,5.0,105.0,1.5,928.776
802,92.21799999999999,105.0,8.695652173913043,8.206229860365198,4.22,5.0,105.0,1.5,929.2299999999999
803,92.67,105.0,8.695652173913043,8.464017185821698,4.13,5.0,105.0,1.5,929.6819999999999
804,93.12200000000001,105.0,8.695652173913043,8.592910848549948,4.04,5.0,105.0,1.5,930.134
805,93.574,105.0,8.695652173913043,8.528464017185822,4.13,5.0,105.0,1.5,930.5859999999999
806,94.02600000000001,105.0,8.695652173913043,8.592910848549948,4.13,5.0,105.0,1.5,931.038
807,94.479,105.0,8.695652173913043,8.614393125671322,3.96,5.0,105.0,1.5,931.491
808,94.931,105.0,8.695652173913043,8.614393125671322,4.04,5.0,105.0,1.5,931.943
809,95.384,105.0,8.695652173913043,8.635875402792696,4.13,5.0,105.0,1.5,932.396
810,95.836,105.0,8.695652173913043,8.506981740064447,4.04,5.0,105.0,1.5,932.848
811,96.289,105.0,8.695652173913043,8.657357679914071,3.96,5.0,105.0,1.5,933.3009999999999
812,96.741,105.0,8.695652173913043,8.592910848549948,3.96,5.0,105.0,1.5,933.7529999999999
813,97.194,105.0,8.695652173913043,8.549946294307196,4.22,5.0,105.0,1.5,934.2059999999999
814,97.646,105.0,8.695652173913043,8.571428571428571,4.13,5.0,105.0,1.5,934.6579999999999
815,98.098,105.0,8.695652173913043,8.571428571428571,4.04,5.0,105.0,1.5,935.1099999999999
816,98.55,105.0,8.695652173913043,8.614393125671322,4.13,5.0,105.0,1.5,935.5619999999999
817,99.00200000000001,105.0,8.695652173913043,8.614393125671322,4.13,5.0,105.0,1.5,936.0139999999999
818,99.455,105.0,8.695652173913043,8.657357679914071,4.13,5.0,105.0,1.5,936.467
819,99.90799999999999,105.0,8.695652173913043,8.571428571428571,4.13,5.0,105.0,1.5,936.92
820,100.361,105.0,8.695652173913043,8.614393125671322,4.22,5.0,105.0,1.5,937.3729999999999
821,100.81299999999999,105.0,8.695652173913043,8.657357679914071,4.13,5.0,105.0,1.5,937.8249999999999
822,101.265,105.0,8.695652173913043,8.571428571428571,4.13,5.0,105.0,1.5,938.2769999999999
823,101.71700000000001,105.0,8.695652173913043,8.614393125671322,4.22,6.0,90.0,1.5,938.7289999999999
824,102.17,105.0,8.695652173913043,8.592910848549948,4.22,6.0,90.0,1.5,939.1819999999999
825,102.62299999999999,90.0,9.782608695652174,8.549946294307196,4.04,6.0,90.0,1.5,939.635
826,103.075,90.0,9.782608695652174,9.323308270676694,4.92,6.0,90.0,1.5,940.087
827,103.52799999999999,90.0,9.782608695652174,9.430719656283568,4.66,6.0,90.0,1.5,940.54
828,103.98,90.0,9.782608695652174,9.044038668098818,5.01,6.0,90.0,1.5,940.992
829,104.432,90.0,9.782608695652174,9.473684210526317,5.01,6.0,90.0,1.5,941.444
830,104.885,90.0,9.782608695652174,9.70998925886144,5.19,6.0,90.0,1.5,941.8969999999999
831,105.337,90.0,9.782608695652174,9.66702470461869,5.01,6.0,90.0,1.5,942.3489999999999
832,105.789,90.0,9.782608695652174,9.731471535982816,5.01,6.0,90.0,1.5,942.8009999999999
833,106.241,90.0,9.782608695652174,9.731471535982816,5.1,6.0,90.0,1.5,943.2529999999999
834,106.693,90.0,9.782608695652174,9.70998925886144,5.01,6.0,90.0,1.5,943.7049999999999
835,107.146,90.0,9.782608695652174,9.731471535982816,5.1,6.0,90.0,1.5,944.1579999999999
836,107.59899999999999,90.0,9.782608695652174,9.752953813104186,5.19,6.0,90.0,1.5,944.6109999999999
837,108.051,90.0,9.782608695652174,9.731471535982816,5.1,6.0,90.0,1.5,945.063
838,108.50399999999999,90.0,9.782608695652174,9.62406015037594,4.83,6.0,90.0,1.5,945.516
839,108.956,90.0,9.782608695652174,9.70998925886144,4.92,6.0,90.0,1.5,945.968
840,109.40799999999999,90.0,9.782608695652174,9.731471535982816,4.92,6.0,90.0,1.5,946.42
841,109.861,90.0,9.782608695652174,9.70998925886144,5.01,6.0,90.0,1.5,946.8729999999999
842,110.31299999999999,90.0,9.782608695652174,9.688506981740064,4.83,6.0,90.0,1.5,947.3249999999999
843,110.765,90.0,9.782608695652174,9.752953813104186,4.75,6.0,90.0,1.5,947.7769999999999
844,111.21700000000001,90.0,9.782608695652174,9.752953813104186,5.01,6.0,90.0,1.5,948.2289999999999
845,111.67,90.0,9.782608695652174,9.731471535982816,4.83,6.0,90.0,1.5,948.6819999999999
846,112.12200000000001,90.0,9.782608695652174,9.688506981740064,4.75,6.0,90.0,1.5,949.134
