5876,-706,54,919,334
6086,-653,54,920,371
6298,-1075,52,986,372
6509,-1226,51,979,369
6720,-1324,50,978,373
6930,-1444,49,979,374
7140,-1479,49,978,375
7350,-1568,49,979,375
7562,-1599,48,978,376
7771,-1599,48,979,239
7982,-1604,48,977,240
8192,-1568,49,979,240
8403,-1559,49,980,240
8612,-1515,49,978,243
8823,-1417,50,978,247
9032,-1297,50,979,249
9242,-1240,51,978,240
9452,-1240,51,980,244
9664,-1240,51,977,240
9874,-1244,51,978,248
10083,-1208,51,979,253
10294,-1195,51,979,252
10505,-986,52,980,245
10715,-360,56,973,247
10926,289,60,901,260
11136,1502,68,881,262
11346,2328,73,805,269
11556,2732,75,777,271
11766,2692,75,760,275
11977,1817,70,757,277
12187,560,62,760,275
12400,-347,56,761,272
12611,-911,53,941,247
12820,-1182,51,967,249
13030,-1066,52,969,252
13240,-942,53,967,250
13450,-546,55,969,253
13661,373,61,924,251
13870,1764,69,844,256
14080,2812,76,765,265
14290,3270,79,726,272
14501,3092,78,712,278
14711,2470,74,712,283
14922,1208,66,713,285
15132,311,60,741,288
15342,-546,55,922,259
15553,-1151,51,942,255
15762,-1204,51,941,254
15974,-995,52,940,254
16184,-1035,52,942,251
16394,-1071,52,941,250
16604,-857,53,942,248
16815,-444,56,942,250
17025,111,59,942,251
17235,1048,65,895,257
17445,2079,71,824,264
17655,2692,75,776,268
17865,2981,77,758,272
18075,2963,77,737,273
18287,2053,71,739,275
18498,698,63,740,281
18708,-324,56,794,273
18918,-755,54,960,249
19129,-1231,51,963,251
19340,-1333,50,961,253
19549,-1275,51,964,253
19759,-951,53,963,251
19970,-342,56,964,250
20180,675,63,921,256
20390,2164,72,844,265
20600,2963,77,762,277
20812,3452,80,726,278
21022,3488,80,719,278
21232,3079,78,719,277
21443,2008,71,718,281
21653,915,64,720,286
21862,-102,58,726,289
22073,-586,55,932,257
22282,-857,53,966,246
22493,-875,53,960,245
22703,-849,53,961,243
22913,-773,54,958,245
23123,-813,53,957,242
23333,-862,53,958,242
23544,-773,54,957,245
23755,-542,55,956,250
23965,-62,58,929,256
24176,1284,66,882,262
24387,2586,75,799,269
24597,3332,79,741,276
24807,3661,81,708,276
25018,3421,80,709,277
25228,2963,77,708,281
25439,2119,72,707,284
25649,1351,67,709,286
25860,498,62,776,275
26069,-351,56,861,259
26279,-760,54,866,258
26490,-906,53,875,261
26700,-951,53,928,253
26910,-889,53,927,246
27120,-911,53,927,250
27329,-684,54,929,248
27539,-395,56,928,250
27750,253,60,928,244
27960,1315,67,871,254
28170,2461,74,806,267
28381,3270,79,747,278
28592,3554,81,721,280
28803,3661,81,692,281
29013,3456,80,682,281
29223,2355,73,683,282
29434,1071,65,683,284
29644,-31,58,756,270
29854,-609,55,946,239
30065,-849,53,951,242
30275,-835,53,951,238
30485,-875,53,951,240
30696,-857,53,952,242
30906,-746,54,952,248
31117,-320,56,951,241
31327,235,60,912,245
31536,1342,67,865,256
31747,2741,75,797,266
31957,3452,80,740,275
32167,3714,82,704,276
32376,3563,81,702,276
32587,2870,76,704,280
32798,1959,71,703,281
33007,871,64,703,284
33219,-369,56,851,262
33428,-702,54,939,249
33639,-809,53,936,250
