t1,t2,command,measured
143956485,143956485,77,293
143965983,143965984,77,293
143975474,143975475,77,293
143984965,143984966,77,293
143995087,143995088,77,293
144004581,144004582,77,294
144014075,144014075,77,294
144023564,144023564,77,295
144033061,144033061,77,295
144043165,144043166,77,295
144052665,144052666,77,295
144062157,144062157,77,295
144071654,144071655,77,295
144081166,144081167,77,295
144091210,144091211,77,295
144100702,144100702,77,295
144110201,144110202,77,295
144119694,144119695,77,295
144129196,144129197,77,295
144139233,144139233,77,295
144148727,144148728,77,295
144158221,144158222,77,295
144167714,144167714,77,295
144177204,144177204,77,295
144187306,144187307,77,295
144196796,144196797,77,295
144206288,144206289,77,295
144215783,144215783,77,295
144225315,144225316,77,295
144235361,144235362,77,295
144244853,144244854,77,295
144254350,144254350,77,295
144263841,144263841,77,295
144273337,144273337,77,295
144283297,144283297,77,295
144292793,144292794,77,294
144302283,144302284,77,294
144311776,144311776,77,295
144321266,144321267,77,295
144331379,144331379,77,295
144340871,144340872,77,295
144350370,144350371,77,295
144359862,144359863,77,294
144369400,144369400,77,295
144379439,144379439,77,295
144388932,144388932,77,294
144398424,144398424,77,294
144407916,144407916,77,295
144417446,144417447,77,295
144427488,144427489,77,295
144436978,144436978,77,294
144446472,144446473,77,294
144455969,144455970,77,295
144465468,144465469,77,295
144475573,144475574,77,295
144485069,144485070,77,295
144494568,144494568,77,295
144504061,144504062,77,295
144513559,144513560,77,295
144523658,144523659,77,295
144533154,144533155,77,295
144542644,144542645,77,295
144552143,144552144,77,294
144561634,144561634,77,293
144571756,144571757,77,293
144581245,144581246,77,293
144590745,144590746,77,293
144600234,144600235,77,293
144609731,144609731,77,294
144619847,144619847,77,294
144629345,144629346,77,295
144638842,144638842,77,295
144648337,144648338,77,294
144657831,144657831,77,295
144667878,144667879,77,295
144677367,144677368,77,295
144686857,144686858,77,295
144696347,144696348,77,295
144705840,144705840,77,295
144715860,144715860,77,295
144725358,144725358,77,295
144734856,144734857,77,295
144744350,144744350,77,295
144753843,144753844,77,294
144763880,144763881,77,294
144773375,144773375,77,295
144782865,144782865,77,295
144792357,144792358,77,295
144801878,144801879,77,294
144811921,144811922,77,294
144821416,144821416,77,295
144830912,144830913,77,295
144840408,144840409,77,294
144849906,144849907,77,295
144860022,144860022,77,295
144869522,144869523,77,295
144879016,144879016,77,295
144888513,144888514,77,294
144898044,144898045,77,295
144908096,144908097,77,295
144917592,144917593,77,295
144927082,144927082,77,295
144936575,144936575,77,295
144946099,144946100,77,295
144956135,144956136,77,295
144965628,144965629,77,295
144975120,144975121,77,295
144984611,144984612,77,295
144994130,144994130,77,295
145004170,145004171,77,295
145013662,145013663,77,295
145023152,145023153,77,295
145032648,145032649,77,295
145042142,145042142,77,295
145052246,145052246,77,295
145061736,145061736,77,295
145071234,145071235,77,295
145080729,145080729,77,295
145090226,145090227,77,295
145100323,145100324,77,295
145109819,145109820,77,295
145119310,145119311,77,295
145128809,145128809,77,295
145138299,145138299,77,295
145148317,145148317,77,295
145157810,145157810,77,295
145167304,145167304,77,295
145176794,145176795,77,295
145186285,145186285,77,295
145196384,145196385,77,295
145205873,145205874,77,295
145215362,145215362,77,295
145224852,145224853,77,295
145234351,145234352,77,295
145244452,145244452,77,295
145253950,145253950,77,295
145263445,145263446,77,295
145272943,145272943,77,295
145282439,145282440,77,295
145292404,145292404,77,295
145301895,145301895,77,295
145311392,145311392,77,295
145320888,145320888,77,295
145330388,145330389,77,295
145340488,145340488,77,295
145349984,145349985,77,295
145359481,145359482,77,295
145368978,145368979,77,295
145378470,145378470,77,295
145388571,145388572,77,295
145398065,145398066,77,295
145407563,145407564,77,295
145417057,145417057,77,295
145426584,145426584,77,295
145436606,145436606,77,295
145446096,145446096,77,295
145455594,145455595,77,295
145465086,145465086,77,295
145474584,145474584,77,295
145484680,145484680,77,295
145494175,145494175,77,295
145503665,145503666,77,295
145513162,145513163,77,295
145522678,145522679,77,295
145532717,145532718,77,295
145542208,145542209,77,295
145551704,145551704,77,295
145561198,145561199,77,295
145570721,145570722,77,295
145580741,145580742,77,295
145590239,145590240,78,295
145599729,145599730,78,295
145609226,145609226,78,296
145618717,145618718,78,296
145628774,145628774,78,296
145638263,145638264,78,296
145647759,145647759,78,296
145657252,145657253,78,296
145666743,145666743,78,296
145676862,145676862,78,296
145686353,145686353,78,296
145695847,145695847,78,296
145705338,145705338,78,296
145714830,145714831,78,296
145724950,145724951,78,296
145734447,145734447,78,296
145743938,145743939,78,296
145753435,145753436,78,296
145762934,145762935,78,296
145772980,145772980,78,296
145782471,145782471,78,296
145791960,145791961,78,296
145801448,145801449,78,296
145810941,145810941,78,296
145821040,145821040,78,296
145830534,145830535,78,296
145840022,145840023,78,296
145849518,145849518,78,296
145859008,145859008,78,296
145869118,145869119,78,296
145878610,145878611,78,296
145888101,145888101,78,296
145897595,145897595,78,296
145907123,145907123,78,296
145917165,145917166,78,296
145926656,145926657,78,296
145936149,145936149,78,296
145945640,145945640,78,296
145955130,145955130,78,294
145965246,145965246,78,294
145974736,145974736,78,295
145984224,145984225,78,295
145993718,145993718,78,295
146003224,146003225,78,295
146013263,146013264,78,295
146022751,146022751,78,295
146032246,146032246,78,295
146041736,146041737,78,295
146051233,146051234,78,296
146061257,146061257,78,296
146070753,146070754,78,296
146080247,146080248,78,296
146089746,146089746,78,296
146099239,146099239,78,296
146109352,146109353,78,296
146118847,146118847,78,296
146128343,146128343,78,296
146137837,146137837,78,296
146147347,146147348,78,296
146157411,146157411,78,296
146166903,146166903,78,296
146176397,146176398,78,296
