time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
27299,0.00,0.00,0.00,0,5
27329,0.00,0.00,0.00,0,5
27359,0.00,0.00,0.00,0,5
27388,0.00,0.00,0.00,0,5
27418,0.00,0.00,0.00,0,5
27448,0.00,0.00,0.00,0,5
27478,0.00,0.00,0.00,0,5
27507,0.00,0.00,0.00,0,5
27537,0.00,0.00,0.00,0,5
27567,0.00,0.00,0.00,0,6
27596,0.00,0.00,0.00,0,5
27626,0.00,0.00,0.00,0,6
27656,0.00,0.00,0.00,0,5,0
27686,0.00,0.00,0.00,0,5
27715,0.00,0.00,0.00,0,5,0
27745,0.00,0.00,0.00,0,5
27775,0.00,0.00,0.00,0,5,0
27805,0.00,0.00,0.00,0,5
27834,0.00,0.00,0.00,0,5,0
27864,0.00,0.00,0.00,0,5
27894,0.00,0.00,0.00,0,5
27923,0.00,0.00,0.00,0,5
27953,0.00,0.00,0.00,0,5
27983,0.00,0.00,0.00,0,5
28013,0.00,0.00,0.00,0,5
28042,0.00,0.00,0.00,0,5
28072,0.00,0.00,0.00,0,5
28102,0.00,0.00,0.00,0,5
28132,0.00,0.00,0.00,0,5
28161,0.00,0.00,0.00,0,5
28191,0.00,0.00,0.00,0,5
28221,0.00,0.00,0.00,0,5
28250,0.00,0.00,0.00,0,5
28280,0.00,0.00,0.00,0,5,0
28310,0.00,0.00,0.00,0,5
28340,0.00,0.00,0.00,0,5,0
28369,0.00,0.00,0.00,0,5
28399,0.00,0.00,0.00,0,5,0
28429,0.00,0.00,0.00,0,5
28459,0.00,0.00,0.00,0,5,0
28488,0.00,0.00,0.00,0,3
28518,0.00,0.00,0.00,0,5
28548,0.00,0.00,0.00,0,6
28577,0.00,0.00,0.00,0,5
28607,0.00,0.00,0.00,0,6
28637,0.00,0.00,0.00,0,5
28667,0.00,0.00,0.00,0,5
28696,0.00,0.00,0.00,0,5
28726,0.00,0.00,0.00,0,5
28756,0.00,0.00,0.00,0,5
28786,0.00,0.00,0.00,0,5
28815,0.00,0.00,0.00,0,5
28845,0.00,0.00,0.00,0,5
28875,0.00,0.00,0.00,0,5
28904,0.00,0.00,0.00,0,5,0
28934,0.00,0.00,0.00,0,5
28964,0.00,0.00,0.00,0,5,0
28994,0.00,0.00,0.00,0,5
29023,0.00,0.00,0.00,0,5,0
29053,0.00,0.00,0.00,0,5
29083,0.00,0.00,0.00,0,5,0
29113,0.00,0.00,0.00,0,5
29142,0.00,0.00,0.00,0,5
29172,0.00,0.00,0.00,0,5
29202,0.00,0.00,0.00,0,5
29231,0.00,0.00,0.00,0,5
29261,0.00,0.00,0.00,0,5
29291,0.00,0.00,0.00,0,5
29321,0.00,0.00,0.00,0,5
29350,0.00,0.00,0.00,0,5
29380,0.00,0.00,0.00,0,5
29410,0.00,0.00,0.00,0,5
29440,0.00,0.00,0.00,0,5
29469,0.00,0.00,0.00,0,5
29499,0.00,0.00,0.00,0,5
29529,0.00,0.00,0.00,0,5,0
29558,0.00,0.00,0.00,0,5
29588,0.00,0.00,0.00,0,5,0
29618,0.00,0.00,0.00,0,5
29648,0.00,0.00,0.00,0,5,0
29677,0.00,0.00,0.00,0,5
29707,0.00,0.00,0.00,0,5,0
29737,0.00,0.00,0.00,0,5
29767,0.00,0.00,0.00,0,5
29796,0.00,0.00,0.00,0,5
29826,0.00,0.00,0.00,0,5
29856,0.00,0.00,0.00,0,5
29885,0.00,0.00,0.00,0,5
29915,0.00,0.00,0.00,0,5
29945,0.00,0.00,0.00,0,5
29975,0.00,0.00,0.00,0,5
30004,0.00,0.00,0.00,0,5
30034,0.00,0.00,0.00,0,5
30064,0.00,0.00,0.00,0,5
30094,0.00,0.00,0.00,0,5
30123,0.00,0.00,0.00,0,5
30153,0.00,0.00,0.00,0,5,0
30183,0.00,0.00,0.00,0,5
30212,0.00,0.00,0.00,0,5,0
30242,0.00,0.00,0.00,0,5
30272,0.00,0.00,0.00,0,5,0
30302,0.00,0.00,0.00,0,5
30331,0.00,0.00,0.00,0,5,0
30361,0.00,0.00,0.00,0,5
30391,0.00,0.00,0.00,0,5
30421,0.00,0.00,0.00,0,5
30450,0.00,0.00,0.00,0,5
30480,0.00,0.00,0.00,0,5
30510,0.00,0.00,0.00,0,5
30539,0.00,0.00,0.00,0,5
30569,0.00,0.00,0.00,0,5
30599,0.00,0.00,0.00,0,5
30629,0.00,0.00,0.00,0,5
30658,0.00,0.00,0.00,0,5
30688,0.00,0.00,0.00,0,5
30718,0.00,0.00,0.00,0,5
30747,0.00,0.00,0.00,0,5
30777,0.00,0.00,0.00,0,6,0
30807,0.00,0.00,0.00,0,5
30837,0.00,0.00,0.00,0,5,0
30866,0.00,0.00,0.00,0,5
30896,0.00,0.00,0.00,0,5,0
30926,0.00,0.00,0.00,0,5
30956,0.00,0.00,0.00,0,5
30985,0.00,0.00,0.00,0,5
31015,0.00,0.00,0.00,0,5
31045,0.00,0.00,0.00,0,5
31074,0.00,0.00,0.00,0,5
31104,0.00,0.00,0.00,0,5
31134,0.00,0.00,0.00,0,5
31164,0.00,0.00,0.00,0,5
31193,0.00,0.00,0.00,0,5
31223,0.00,0.00,0.00,0,5
31253,0.00,0.00,0.00,0,5
31283,0.00,0.00,0.00,0,5
31312,0.00,0.00,0.00,0,5
31342,0.00,0.00,0.00,0,6,0
31372,0.00,0.00,0.00,0,5
31401,0.00,0.00,0.00,0,6,0
31431,0.00,0.00,0.00,0,5
31461,0.00,0.00,0.00,0,5,0
31491,0.00,0.00,0.00,0,5
31520,0.00,0.00,0.00,0,6,0
31550,0.00,0.00,0.00,0,5
31580,0.00,0.00,0.00,0,5
31609,0.00,0.00,0.00,0,5
31639,0.00,0.00,0.00,0,5
31669,0.00,0.00,0.00,0,6
31699,0.00,0.00,0.00,0,5
31728,0.00,0.00,0.00,0,5
31758,0.00,0.00,0.00,0,5
31788,0.00,0.00,0.00,0,5
31817,0.00,0.00,0.00,0,5
31847,0.00,0.00,0.00,0,5
31877,0.00,0.00,0.00,0,5
31907,0.00,0.00,0.00,0,5
31936,0.00,0.00,0.00,0,5
31966,0.00,0.00,0.00,0,5,0
31996,0.00,0.00,0.00,0,5
32026,0.00,0.00,0.00,0,5,0
32055,0.00,0.00,0.00,0,5
32085,0.00,0.00,0.00,0,5,0
32115,0.00,0.00,0.00,0,5
32144,0.00,0.00,0.00,0,5,0
32174,0.00,0.00,0.00,0,5
32204,0.00,0.00,0.00,0,5
32234,0.00,0.00,0.00,0,5
32263,0.00,0.00,0.00,0,5
32293,0.00,0.00,0.00,0,5
32323,0.00,0.00,0.00,0,6
32353,0.00,0.00,0.00,0,5
32382,0.00,0.00,0.00,0,5
32412,0.00,0.00,0.00,0,5
32442,0.00,0.00,0.00,0,5
32471,0.00,0.00,0.00,0,5
32501,0.00,0.00,0.00,0,5
32531,0.00,0.00,0.00,0,5
32561,0.00,0.00,0.00,0,5
32590,0.00,0.00,0.00,0,5,0
32620,0.00,0.00,0.00,0,6
32650,0.00,0.00,0.00,0,5,0
32679,0.00,0.00,0.00,0,5
32709,0.00,0.00,0.00,0,5,0
32739,0.00,0.00,0.00,0,5
32769,0.00,0.00,0.00,0,5,0
32798,0.00,0.00,0.00,0,5
32828,0.00,0.00,0.00,0,5
32858,0.00,0.00,0.00,0,5
32887,0.00,0.00,0.00,0,5
32917,0.00,0.00,0.00,0,5
32947,0.00,0.00,0.00,0,5
32977,0.00,0.00,0.00,0,5
33006,0.00,0.00,0.00,0,5
33036,0.00,0.00,0.00,0,5
33066,0.00,0.00,0.00,0,5
33096,0.00,0.00,0.00,0,5
33125,0.00,0.00,0.00,0,5
33155,0.00,0.00,0.00,0,5
33185,0.00,0.00,0.00,0,5
33214,0.00,0.00,0.00,0,5,0
33244,0.00,0.00,0.00,0,5
33274,0.00,0.00,0.00,0,5,0
33304,0.00,0.00,0.00,0,5
33333,0.00,0.00,0.00,0,5,0
33363,0.00,0.00,0.00,0,5
33393,0.00,0.00,0.00,0,5,0
33423,0.00,0.00,0.00,0,5
33452,0.00,0.00,0.00,0,5
33482,0.00,0.00,0.00,0,5
33512,0.00,0.00,0.00,0,5
33541,0.00,0.00,0.00,0,5
33571,0.00,0.00,0.00,0,5
33601,0.00,0.00,0.00,0,5
33631,0.00,0.00,0.00,0,5
33660,0.00,0.00,0.00,0,5
33690,0.00,0.00,0.00,0,5
33720,0.00,0.00,0.00,0,5
33749,0.00,0.00,0.00,0,5
33779,0.00,0.00,0.00,0,5
33809,0.00,0.00,0.00,0,5
33839,0.00,0.00,0.00,0,5,0
33868,0.00,0.00,0.00,0,5
33898,0.00,0.00,0.00,0,5,0
33928,0.00,0.00,0.00,0,5
33958,0.00,0.00,0.00,0,5,0
33987,0.00,0.00,0.00,0,5
34017,0.00,0.00,0.00,0,5
34047,0.00,0.00,0.00,0,5
34076,0.00,0.00,0.00,0,5
34106,0.00,0.00,0.00,0,5
34136,0.00,0.00,0.00,0,5
34166,0.00,0.00,0.00,0,3
34195,0.00,0.00,0.00,0,5
34225,0.00,0.00,0.00,0,5
34255,0.00,0.00,0.00,0,5
34284,0.00,0.00,0.00,0,5
34314,0.00,0.00,0.00,0,5
34344,0.00,0.00,0.00,0,5
34374,0.00,0.00,0.00,0,5
34403,0.00,0.00,0.00,0,5,0
34433,0.00,0.00,0.00,0,6
34463,0.00,0.00,0.00,0,5,0
34493,0.00,0.00,0.00,0,5
34522,0.00,0.00,0.00,0,5,0
34552,0.00,0.00,0.00,0,5
34582,0.00,0.00,0.00,0,5,0
34611,0.00,0.00,0.00,0,5
34641,0.00,0.00,0.00,0,5
34671,0.00,0.00,0.00,0,6
34701,0.00,0.00,0.00,0,3
34730,0.00,0.00,0.00,0,5
34760,0.00,0.00,0.00,0,5
34790,0.00,0.00,0.00,0,5
34819,0.00,0.00,0.00,0,5
34849,0.00,0.00,0.00,0,3
34879,0.00,0.00,0.00,0,5
34909,0.00,0.00,0.00,0,5
34938,0.00,0.00,0.00,0,5
34968,0.00,0.00,0.00,0,5
34998,0.00,0.00,0.00,0,5
35028,0.00,0.00,0.00,0,5,0
35057,0.00,0.00,0.00,0,6
35087,0.00,0.00,0.00,0,5,0
35117,0.00,0.00,0.00,0,5
35146,0.00,0.00,0.00,0,5,0
35176,0.00,0.00,0.00,0,5
35206,0.00,0.00,0.00,0,5,0
35236,0.00,0.00,0.00,0,5
35265,0.00,0.00,0.00,0,5
35295,0.00,0.00,0.00,0,5
35325,0.00,0.00,0.00,0,5
35354,0.00,0.00,0.00,0,5
35384,0.00,0.00,0.00,0,5
35414,0.00,0.00,0.00,0,5
35444,0.00,0.00,0.00,0,5
35473,0.00,0.00,0.00,0,5
35503,0.00,0.00,0.00,0,5
35533,0.00,0.00,0.00,0,5
35563,0.00,0.00,0.00,0,5
35592,0.00,0.00,0.00,0,5
35622,0.00,0.00,0.00,0,5
35652,0.00,0.00,0.00,0,5,0
35681,0.00,0.00,0.00,0,5
35711,0.00,0.00,0.00,0,5
35741,0.00,0.00,0.00,0,6
35771,0.00,0.00,0.00,0,6,0
35800,0.00,0.00,0.00,0,5
35830,0.00,0.00,0.00,0,5,0
35860,0.00,0.00,0.00,0,5
35889,0.00,0.00,0.00,0,5
35919,0.00,0.00,0.00,0,5
35949,0.00,0.00,0.00,0,5
35979,0.00,0.00,0.00,0,5
36008,0.00,0.00,0.00,0,5
36038,0.00,0.00,0.00,0,5
36068,0.00,0.00,0.00,0,5
36098,0.00,0.00,0.00,0,5
36127,0.00,0.00,0.00,0,3
36157,0.00,0.00,0.00,0,5
36187,0.00,0.00,0.00,0,5
36216,0.00,0.00,0.00,0,5
36246,0.00,0.00,0.00,0,5
36276,0.00,0.00,0.00,0,5,0
36306,0.00,0.00,0.00,0,5
36335,0.00,0.00,0.00,0,5,0
36365,0.00,0.00,0.00,0,5
36395,0.00,0.00,0.00,0,5,0
36424,0.00,0.00,0.00,0,5
36454,0.00,0.00,0.00,0,5
36484,0.00,0.00,0.00,0,6
36514,0.00,0.00,0.00,0,5
36543,0.00,0.00,0.00,0,5
36573,0.00,0.00,0.00,0,5
36603,0.00,0.00,0.00,0,5
36633,0.00,0.00,0.00,0,5
36662,0.00,0.00,0.00,0,5
36692,0.00,0.00,0.00,0,5
36722,0.00,0.00,0.00,0,5
36751,0.00,0.00,0.00,0,5
36781,0.00,0.00,0.00,0,5
36811,0.00,0.00,0.00,0,5
36841,0.00,0.00,0.00,0,5,0
36870,0.00,0.00,0.00,0,5
36900,0.00,0.00,0.00,0,5,0
36930,0.00,0.00,0.00,0,5
36959,0.00,0.00,0.00,0,5,0
36989,0.00,0.00,0.00,0,5
37019,0.00,0.00,0.00,0,3,0
37049,0.00,0.00,0.00,0,5
37078,0.00,0.00,0.00,0,5
37108,0.00,0.00,0.00,0,5
37138,0.00,0.00,0.00,0,5
37168,0.00,0.00,0.00,0,5
37197,0.00,0.00,0.00,0,5
37227,0.00,0.00,0.00,0,5
37257,0.00,0.00,0.00,0,5
37286,0.00,0.00,0.00,0,5
37316,0.00,0.00,0.00,0,5
37346,0.00,0.00,0.00,0,5
37376,0.00,0.00,0.00,0,5
37405,0.00,0.00,0.00,0,5
37435,0.00,0.00,0.00,0,3
37465,0.00,0.00,0.00,0,5,0
37494,0.00,0.00,0.00,0,5
37524,0.00,0.00,0.00,0,5,0
37554,0.00,0.00,0.00,0,5
37584,0.00,0.00,0.00,0,5,0
37613,0.00,0.00,0.00,0,5
37643,0.00,0.00,0.00,0,5,0
37673,0.00,0.00,0.00,0,3
37703,0.00,0.00,0.00,0,5
37732,0.00,0.00,0.00,0,5
37762,0.00,0.00,0.00,0,5
37792,0.00,0.00,0.00,0,5
37821,0.00,0.00,0.00,0,5
37851,0.00,0.00,0.00,0,5
37881,0.00,0.00,0.00,0,5
37911,0.00,0.00,0.00,0,5
37940,0.00,0.00,0.00,0,6
37970,0.00,0.00,0.00,0,5
38000,0.00,0.00,0.00,0,5
38030,0.00,0.00,0.00,0,5
38059,0.00,0.00,0.00,0,5
38089,0.00,0.00,0.00,0,5,0
38119,0.00,0.00,0.00,0,5
38148,0.00,0.00,0.00,0,5,0
38178,0.00,0.00,0.00,0,5
38208,0.00,0.00,0.00,0,5,0
38238,0.00,0.00,0.00,0,5
38267,0.00,0.00,0.00,0,5,0
38297,0.00,0.00,0.00,0,5
38327,0.00,0.00,0.00,0,5
38357,0.00,0.00,0.00,0,5
38386,0.00,0.00,0.00,0,5
38416,0.00,0.00,0.00,0,5
38446,0.00,0.00,0.00,0,5
38475,0.00,0.00,0.00,0,5
38505,0.00,0.00,0.00,0,5
38535,0.00,0.00,0.00,0,5
38565,0.00,0.00,0.00,0,6
38594,0.00,0.00,0.00,0,5
38624,0.00,0.00,0.00,0,5
38654,0.00,0.00,0.00,0,5
38684,0.00,0.00,0.00,0,6
38713,0.00,0.00,0.00,0,5,0
38743,0.00,0.00,0.00,0,5
38773,0.00,0.00,0.00,0,5,0
38802,0.00,0.00,0.00,0,5
38832,0.00,0.00,0.00,0,5,0
38862,0.00,0.00,0.00,0,5
38892,0.00,0.00,0.00,0,5,0
38921,0.00,0.00,0.00,0,5
38951,0.00,0.00,0.00,0,5
38981,0.00,0.00,0.00,0,5
39011,0.00,0.00,0.00,0,5
39040,0.00,0.00,0.00,0,5
39070,0.00,0.00,0.00,0,5
39100,0.00,0.00,0.00,0,5
39130,0.00,0.00,0.00,0,5
39159,0.00,0.00,0.00,0,5
39189,0.00,0.00,0.00,0,5
39219,0.00,0.00,0.00,0,5
39248,0.00,0.00,0.00,0,5
