trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,3.01,5.98,5.98,3.01,1,1,0,1,1,0
1,4.77,5.98,4.77,5.98,3,3,0,1,2,0
2,7.56,5.98,5.98,7.56,3,3,1,3,3,0
3,4.77,5.98,4.77,5.98,3,3,1,1,4,0
4,6.01,5.98,6.01,5.98,1,1,2,3,5,0
5,4.77,5.98,5.98,4.77,1,1,2,1,6,0
6,5.35,5.98,5.35,5.98,3,2,2,2,6,1
7,5.35,5.98,5.35,5.98,3,3,2,1,7,1
8,6.0,5.98,6.0,5.98,1,2,2,2,7,2
9,6.0,5.98,5.98,6.0,3,3,3,3,8,2
10,5.35,5.98,5.98,5.35,1,1,3,1,9,2
11,5.67,5.98,5.67,5.98,3,1,4,3,9,3
12,5.35,5.98,5.98,5.35,1,1,4,1,10,3
