trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon
0,6.46,10.72,6.46,10.72,3,3,0,1
1,6.46,10.72,6.46,10.72,3,3,0,1
2,10.24,10.72,10.72,10.24,1,1,0,1
3,10.24,10.72,10.72,10.24,1,2,0,2
4,13.98,10.72,13.98,10.72,1,1,1,3
5,10.24,10.72,10.72,10.24,1,1,1,1
6,10.24,10.72,10.72,10.24,1,3,2,3
7,10.24,10.72,10.72,10.24,1,2,2,2
8,11.49,10.72,11.49,10.72,1,2,2,2
9,11.49,10.72,11.49,10.72,1,1,3,3
10,11.49,10.72,11.49,10.72,1,1,4,3
11,11.49,10.72,10.72,11.49,3,1,4,1
12,11.49,10.72,11.49,10.72,1,3,4,1
13,11.49,10.72,11.49,10.72,1,3,4,1
14,11.49,10.72,10.72,11.49,3,3,5,3
