time,flex sensor,"actuator position, command","actuator position, measured",force,"actuator position, command1","actuator position, measured1",force1,TrialCounter
91421,180.00,67,834,266,0,985,243,0
91574,180.00,67,834,264,0,985,243,0
91726,180.00,67,834,264,0,985,243,0
91879,180.00,67,833,265,0,986,243,0
92031,180.00,67,834,266,0,985,241,0
92184,180.00,67,834,264,0,985,243,0
92336,180.00,67,834,264,0,986,241,0
92489,180.00,67,834,264,0,985,243,0
92641,180.00,67,834,264,0,985,243,0
92794,180.00,67,834,264,0,985,243,0
92946,180.00,67,834,266,0,985,242,0
93099,180.00,67,834,265,0,985,240,0
93251,180.00,67,834,266,0,985,243,0
93404,180.00,67,834,266,0,985,243,0
93556,180.00,67,834,266,0,985,243,0
93709,180.00,67,833,264,0,985,243,0
93861,180.00,67,834,265,0,985,243,0
94014,180.00,67,834,264,0,985,243,0
94166,180.00,67,834,266,0,985,241,0
94319,180.00,67,834,264,0,985,243,0
94471,180.00,67,834,264,0,985,243,0
94624,180.00,67,834,265,0,985,243,0
94776,180.00,67,834,265,0,985,243,0
94929,180.00,67,834,264,0,985,243,0
95081,180.00,67,834,265,0,986,243,0
95234,180.00,67,833,264,0,985,242,0
95386,180.00,67,834,264,0,985,243,0
95539,180.00,67,833,264,0,985,243,0
95691,180.00,67,834,265,0,985,244,0
95844,180.00,67,834,265,0,985,244,0
95996,180.00,67,834,264,0,985,244,0
96148,180.00,67,834,264,0,985,244,0
96301,180.00,67,834,264,0,985,244,0
96453,180.00,67,834,264,0,985,244,0
96606,180.00,67,834,264,0,985,244,0
96758,180.00,67,834,264,0,985,243,0
96911,180.00,67,834,264,0,986,243,0
97063,180.00,67,834,264,0,985,243,0
97216,180.00,67,834,264,0,985,243,0
97368,180.00,67,834,264,0,984,243,0
97521,180.00,67,834,264,0,986,243,0
97673,180.00,67,834,265,0,985,243,0
97826,180.00,67,834,264,0,985,243,0
97978,180.00,67,833,264,0,985,240,0
98131,180.00,67,833,264,0,985,243,0
98283,180.00,67,834,264,0,985,243,0
98436,180.00,67,834,264,0,985,243,0
98588,180.00,67,834,264,0,985,243,0
98741,180.00,67,833,264,0,985,243,0
98893,180.00,67,833,264,0,985,243,0
99046,180.00,67,834,265,0,985,243,0
99198,180.00,67,834,264,0,985,243,0
99351,180.00,67,834,264,0,985,243,0
99503,180.00,67,834,263,0,985,243,0
99656,180.00,67,834,263,0,985,242,0
99808,180.00,67,834,263,0,985,243,0
99961,180.00,67,834,263,0,986,243,0
100113,180.00,67,834,263,0,985,243,0
100266,180.00,67,834,263,0,985,243,0
100418,180.00,67,834,263,0,985,242,0
100571,180.00,67,835,264,0,986,243,0
100723,180.00,67,833,264,0,985,243,0
100876,180.00,67,834,264,0,985,243,0
101028,180.00,67,834,264,0,986,243,0
101181,180.00,67,834,264,0,985,243,0
101333,180.00,67,834,264,0,986,243,0
103486,180.00,95,834,264,0,985,243,1
103638,180.00,95,806,268,0,986,243,1
103791,180.00,95,643,307,0,985,237,1
103943,180.00,95,637,309,0,985,236,1
104096,180.00,95,638,308,0,986,237,1
104248,180.00,95,642,307,0,985,239,1
104400,180.00,95,637,308,0,985,238,1
104553,180.00,95,637,306,0,986,236,1
104705,180.00,95,636,306,0,985,239,1
104858,180.00,95,635,306,0,986,236,1
105010,180.00,95,636,306,0,985,239,1
105163,180.00,95,636,306,0,985,239,1
105315,180.00,95,636,306,0,985,237,1
105468,180.00,95,636,305,0,986,239,1
105620,180.00,95,636,305,0,986,239,1
105772,180.00,95,636,305,0,985,236,1
105925,180.00,95,636,305,0,985,237,1
106077,180.00,95,636,305,0,985,238,1
106230,180.00,95,636,306,0,986,238,1
106382,180.00,95,636,306,0,985,237,1
108535,180.00,67,636,306,0,985,236,1
108687,180.00,67,637,306,0,985,239,1
108840,180.00,67,679,296,0,985,239,1
108992,180.00,67,769,277,0,985,243,1
109144,180.00,67,801,270,0,985,243,1
109297,180.00,67,798,269,0,985,243,1
109449,180.00,67,796,269,0,985,243,1
109602,180.00,67,794,270,0,986,241,1
109754,180.00,67,795,270,0,985,243,1
109907,180.00,67,794,270,0,985,241,1
110059,180.00,67,793,270,0,985,243,1
110211,180.00,67,794,270,0,985,241,1
110364,180.00,67,793,270,0,985,242,1
110516,180.00,67,794,270,0,985,243,1
110669,180.00,67,794,270,0,985,243,1
110821,180.00,67,794,270,0,985,240,1
110974,180.00,67,794,270,0,985,243,1
111126,180.00,67,794,270,0,985,243,1
111279,180.00,67,794,270,0,985,242,1
111431,180.00,67,794,270,0,985,240,1
113583,180.00,120,794,270,0,985,240,1
113736,180.00,120,693,291,0,985,240,1
113888,180.00,120,522,334,0,986,236,1
114041,180.00,120,404,361,0,985,232,1
114193,180.00,120,410,359,0,985,233,1
114346,180.00,120,403,357,0,985,232,1
114498,180.00,120,405,358,0,986,232,1
114651,180.00,120,408,356,0,985,234,1
114803,180.00,120,427,350,0,985,235,1
114955,180.00,120,439,347,0,985,235,1
115108,180.00,120,440,345,0,985,235,1
115260,180.00,120,441,344,0,985,235,1
115413,180.00,120,441,344,0,985,233,1
115565,180.00,120,441,344,0,985,235,1
115718,180.00,120,440,344,0,985,235,1
115870,180.00,120,441,344,0,985,235,1
116023,180.00,120,441,344,0,985,235,1
116175,180.00,120,440,344,0,985,235,1
116327,180.00,120,441,344,0,985,233,1
116480,180.00,120,441,344,0,985,235,1
118632,180.00,67,456,343,0,984,236,1
118785,180.00,67,686,294,0,985,239,1
118937,180.00,67,833,268,0,985,239,1
119090,180.00,67,859,263,0,985,242,1
119242,180.00,67,836,266,0,985,243,1
119395,180.00,67,824,266,0,985,243,1
119547,180.00,67,817,266,0,985,243,1
119699,180.00,67,810,268,0,985,242,1
119852,180.00,67,810,269,0,985,240,1
120004,180.00,67,809,267,0,985,243,1
120157,180.00,67,808,267,0,985,243,1
120309,180.00,67,808,269,0,985,243,1
120462,180.00,67,809,269,0,985,240,1
120614,180.00,67,809,269,0,985,240,1
120766,180.00,67,808,268,0,985,243,1
120919,180.00,67,809,269,0,985,243,1
121071,180.00,67,808,268,0,985,243,1
121224,180.00,67,809,269,0,985,241,1
121376,180.00,67,808,268,0,985,240,1
121529,180.00,67,808,269,0,985,240,1
121681,180.00,67,809,269,0,985,240,1
121834,180.00,67,808,267,0,985,240,1
121986,180.00,67,808,269,0,985,240,1
122138,180.00,67,808,267,0,985,243,1
122291,180.00,67,809,269,0,985,243,1
124443,180.00,117,809,269,0,985,243,2
124596,180.00,117,789,271,0,985,242,2
124748,180.00,117,595,311,0,985,237,2
124901,180.00,117,440,349,0,986,232,2
125053,180.00,117,440,349,0,984,235,2
125205,180.00,117,438,349,0,985,234,2
125358,180.00,117,444,347,0,984,235,2
125510,180.00,117,438,347,0,985,235,2
125663,180.00,117,443,344,0,985,235,2
125815,180.00,117,443,344,0,986,235,2
125968,180.00,117,443,344,0,985,235,2
126120,180.00,117,443,344,0,985,235,2
126273,180.00,117,443,344,0,985,235,2
126425,180.00,117,443,344,0,985,235,2
126577,180.00,117,443,344,0,985,235,2
126730,180.00,117,443,344,0,985,235,2
126882,180.00,117,443,344,0,986,235,2
127035,180.00,117,443,343,0,985,235,2
127187,180.00,117,443,343,0,985,235,2
127340,180.00,117,443,343,0,985,235,2
129492,180.00,67,443,342,0,986,234,2
129645,180.00,67,602,314,0,985,235,2
129797,180.00,67,783,278,0,985,239,2
129949,180.00,67,839,267,0,985,240,2
130102,180.00,67,831,266,0,985,242,2
130254,180.00,67,820,266,0,985,242,2
130407,180.00,67,811,267,0,985,240,2
130559,180.00,67,809,267,0,985,240,2
130712,180.00,67,811,269,0,985,240,2
130864,180.00,67,809,269,0,985,240,2
131017,180.00,67,808,267,0,985,240,2
131169,180.00,67,808,267,0,985,240,2
131321,180.00,67,808,267,0,985,241,2
131474,180.00,67,808,267,0,985,240,2
131626,180.00,67,808,267,0,985,240,2
131779,180.00,67,809,267,0,985,243,2
131931,180.00,67,808,267,0,985,243,2
132084,180.00,67,808,267,0,986,242,2
132236,180.00,67,809,269,0,985,243,2
132389,180.00,67,808,267,0,985,242,2
134541,180.00,95,809,267,0,985,240,2
134693,180.00,95,721,280,0,985,240,2
134846,180.00,95,631,306,0,985,240,2
134998,180.00,95,631,304,0,985,240,2
135151,180.00,95,634,304,0,985,239,2
135303,180.00,95,630,303,0,986,239,2
135456,180.00,95,629,303,0,985,239,2
135608,180.00,95,630,303,0,985,239,2
