time,flex sensor,"actuator position, command","actuator position, measured",force,"Trial Number","Target Angle"
197.135,162.5,1.9047619047619047,1.9385342789598106,-0.08356164383561637,0,85
197.34,160.421875,2.142857142857143,1.9385342789598106,0.1806262230919765,0,85
197.546,159.59375,2.380952380952381,1.9621749408983469,0.004500978473581219,0,85
197.753,160.359375,2.142857142857143,1.9621749408983469,0.09256360078277892,0,85
197.959,160.359375,2.142857142857143,1.9385342789598106,0.004500978473581219,0,85
198.166,160.0,2.142857142857143,1.9385342789598106,0.004500978473581219,0,85
198.372,159.171875,2.380952380952381,1.9621749408983469,0.004500978473581219,0,85
198.578,159.515625,2.380952380952381,1.9621749408983469,0.09256360078277892,0,85
198.785,159.3125,2.380952380952381,1.9858156028368796,0.09256360078277892,0,85
198.991,159.390625,2.380952380952381,1.9621749408983469,0.004500978473581219,0,85
199.197,159.25,2.380952380952381,1.9385342789598106,0.1806262230919765,0,85
199.402,159.171875,2.380952380952381,1.9621749408983469,0.1806262230919765,0,85
199.608,158.6875,2.380952380952381,1.9621749408983469,0.2686888454011742,0,85
199.815,158.828125,2.380952380952381,1.9621749408983469,0.09256360078277892,0,85
200.022,157.859375,2.380952380952381,1.9621749408983469,0.004500978473581219,0,85
200.228,158.6875,2.380952380952381,1.9385342789598106,-0.08356164383561637,0,85
200.435,158.6875,2.380952380952381,1.9621749408983469,-0.08356164383561637,0,85
200.64,159.109375,2.380952380952381,1.9621749408983469,0.2686888454011742,0,85
200.845,159.109375,2.380952380952381,1.9385342789598106,0.3567514677103718,0,85
201.052,159.796875,2.380952380952381,1.9621749408983469,0.5328767123287672,0,85
201.258,160.140625,2.142857142857143,1.9858156028368796,0.7970645792563602,0,85
201.465,161.046875,2.142857142857143,1.9148936170212778,0.5328767123287672,0,85
201.671,165.359375,1.6666666666666667,1.9385342789598106,0.7970645792563602,0,85
201.878,164.515625,1.6666666666666667,1.9621749408983469,0.8851272015655578,0,85
202.084,164.734375,1.6666666666666667,1.9621749408983469,0.7090019569471624,0,85
202.29,164.859375,1.6666666666666667,1.9621749408983469,0.7090019569471624,0,85
202.497,165.28125,1.6666666666666667,1.9621749408983469,0.3567514677103718,0,85
202.703,165.703125,1.6666666666666667,1.9858156028368796,0.4448140900195696,0,85
202.91,166.734375,1.4285714285714286,1.9858156028368796,0.5328767123287672,0,85
203.116,166.671875,1.4285714285714286,1.2765957446808507,-0.08356164383561637,0,85
203.323,166.734375,1.4285714285714286,1.1820330969267125,-0.435812133072407,0,85
203.529,169.65625,1.1904761904761905,1.2293144208037816,-0.17162426614481407,0,85
203.736,167.984375,1.4285714285714286,1.2293144208037816,-0.17162426614481407,0,85
203.942,167.984375,1.4285714285714286,1.2293144208037816,-0.17162426614481407,0,85
204.147,167.859375,1.4285714285714286,1.2056737588652489,-0.17162426614481407,0,85
204.355,167.859375,1.4285714285714286,1.2293144208037816,-0.34774951076320937,0,85
204.561,167.5,1.4285714285714286,1.252955082742318,-0.17162426614481407,0,85
204.768,167.859375,1.4285714285714286,1.252955082742318,-0.17162426614481407,0,85
204.973,167.78125,1.4285714285714286,1.2056737588652489,-0.34774951076320937,0,85
205.18,167.578125,1.4285714285714286,1.2293144208037816,-0.08356164383561637,0,85
205.386,167.859375,1.4285714285714286,1.2056737588652489,-0.17162426614481407,0,85
205.593,166.8125,1.4285714285714286,1.2293144208037816,-0.34774951076320937,0,85
205.799,164.59375,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
206.005,165.140625,1.6666666666666667,1.2056737588652489,-0.2596868884540117,0,85
206.212,166.046875,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
206.417,165.21875,1.6666666666666667,1.2056737588652489,-0.2596868884540117,0,85
206.624,165.625,1.6666666666666667,1.2293144208037816,-0.34774951076320937,0,85
206.829,166.046875,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
207.036,165.625,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
207.242,165.625,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
207.448,165.625,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
207.654,165.625,1.6666666666666667,1.1820330969267125,-0.17162426614481407,0,85
207.861,165.421875,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
208.067,165.5625,1.6666666666666667,1.252955082742318,-0.435812133072407,0,85
208.273,165.484375,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
208.479,165.28125,1.6666666666666667,1.2056737588652489,-0.17162426614481407,0,85
208.686,165.28125,1.6666666666666667,1.2056737588652489,-0.2596868884540117,0,85
208.892,165.28125,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
209.099,165.703125,1.6666666666666667,1.1583924349881798,-0.34774951076320937,0,85
209.304,165.078125,1.6666666666666667,1.2293144208037816,-0.17162426614481407,0,85
209.511,165.21875,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
209.717,165.765625,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
209.924,165.0,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
210.13,166.390625,1.4285714285714286,1.2293144208037816,-0.435812133072407,0,85
210.336,165.078125,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
210.542,165.21875,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
210.748,165.21875,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
210.954,165.28125,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
211.16,165.28125,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
211.365,165.140625,1.6666666666666667,1.2056737588652489,-0.6119373776908024,0,85
211.572,165.140625,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
211.777,165.078125,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
211.984,165.28125,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
212.189,165.21875,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
212.396,165.21875,1.6666666666666667,1.2765957446808507,-0.6119373776908024,0,85
212.601,165.140625,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
212.807,165.21875,1.6666666666666667,1.1820330969267125,-0.34774951076320937,0,85
213.013,165.078125,1.6666666666666667,1.2056737588652489,-0.435812133072407,0,85
213.219,165.0,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
213.425,165.28125,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
213.631,165.5625,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
213.838,164.859375,1.6666666666666667,1.2056737588652489,-0.7,0,85
214.044,165.0,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
214.25,164.859375,1.6666666666666667,1.2293144208037816,-0.6119373776908024,0,85
214.456,164.375,1.6666666666666667,1.2293144208037816,-0.7,0,85
214.663,165.078125,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
214.869,165.0,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
215.075,165.078125,1.6666666666666667,1.252955082742318,-0.5238747553816047,0,85
215.281,165.28125,1.6666666666666667,1.2293144208037816,-0.6119373776908024,0,85
215.486,164.796875,1.6666666666666667,1.1820330969267125,-0.7880626223091975,0,85
215.692,164.9375,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
215.897,164.9375,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
216.102,164.25,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
216.31,165.078125,1.6666666666666667,1.2056737588652489,-0.2596868884540117,0,85
216.515,164.171875,1.6666666666666667,1.2293144208037816,-0.435812133072407,0,85
216.721,165.140625,1.6666666666666667,1.252955082742318,-0.34774951076320937,0,85
216.928,165.078125,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
217.134,164.859375,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
217.34,165.0,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
217.546,165.28125,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
217.753,165.078125,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
217.959,165.21875,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
218.164,165.21875,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
218.371,165.140625,1.6666666666666667,1.1820330969267125,-0.7880626223091975,0,85
218.577,164.515625,1.6666666666666667,1.2056737588652489,-0.6119373776908024,0,85
218.783,165.140625,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
218.99,165.078125,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
219.196,164.9375,1.6666666666666667,1.2056737588652489,-0.7,0,85
219.403,165.140625,1.6666666666666667,1.1820330969267125,-0.7880626223091975,0,85
219.609,164.859375,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
219.814,164.859375,1.6666666666666667,1.2293144208037816,-0.6119373776908024,0,85
220.021,164.859375,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
220.226,164.65625,1.6666666666666667,1.2293144208037816,-0.5238747553816047,0,85
220.433,164.9375,1.6666666666666667,1.1820330969267125,-0.6119373776908024,0,85
220.639,164.59375,1.6666666666666667,1.2056737588652489,-0.5238747553816047,0,85
220.845,164.859375,1.6666666666666667,1.252955082742318,-0.6119373776908024,0,85
221.051,165.0,1.6666666666666667,1.252955082742318,-0.6119373776908024,0,85
221.258,164.515625,1.6666666666666667,1.2293144208037816,-0.7,0,85
221.463,164.796875,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
221.67,164.796875,1.6666666666666667,1.252955082742318,-0.8761252446183952,0,85
221.876,164.65625,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
222.082,164.25,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
222.289,164.796875,1.6666666666666667,1.2293144208037816,-1.1403131115459881,0,85
222.495,165.5625,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
222.7,165.359375,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
222.906,165.5625,1.6666666666666667,1.2293144208037816,-0.6119373776908024,0,85
223.111,165.28125,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
223.316,164.453125,1.6666666666666667,1.2293144208037816,-0.7880626223091975,0,85
223.522,165.140625,1.6666666666666667,1.2056737588652489,-0.964187866927593,0,85
223.729,165.078125,1.6666666666666667,1.252955082742318,-0.8761252446183952,0,85
223.934,165.0,1.6666666666666667,1.2293144208037816,-0.8761252446183952,0,85
224.139,165.21875,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
224.346,165.21875,1.6666666666666667,1.1820330969267125,-0.6119373776908024,0,85
224.551,164.9375,1.6666666666666667,1.1820330969267125,-0.8761252446183952,0,85
224.757,164.796875,1.6666666666666667,1.252955082742318,-0.8761252446183952,0,85
224.962,164.859375,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
225.167,165.21875,1.6666666666666667,1.2056737588652489,-0.7880626223091975,0,85
225.373,169.71875,1.1904761904761905,1.1820330969267125,-0.8761252446183952,0,85
225.578,169.375,1.1904761904761905,1.2293144208037816,-0.7880626223091975,0,85
225.785,169.453125,1.1904761904761905,1.2056737588652489,-0.7880626223091975,0,85
225.99,168.96875,1.1904761904761905,1.2056737588652489,-0.7880626223091975,0,85
226.195,170.90625,0.9523809523809523,1.2293144208037816,-1.1403131115459881,0,85
226.402,169.09375,1.1904761904761905,1.2056737588652489,-0.8761252446183952,0,85
226.607,168.890625,1.1904761904761905,1.2056737588652489,-1.0522504892367905,0,85
226.812,169.171875,1.1904761904761905,1.2293144208037816,-0.8761252446183952,0,85
227.019,168.75,1.1904761904761905,1.2056737588652489,-0.8761252446183952,0,85
227.224,168.828125,1.1904761904761905,1.252955082742318,-0.5238747553816047,0,85
