time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle"""
319.88,180.0,4.0,3.9787234042553195,-0.7,0,0
320.332,180.0,4.0,3.8936170212765973,-0.7,0,0
320.785,180.0,4.0,3.957446808510639,-0.7,0,0
321.238,180.0,4.0,3.957446808510639,-0.7,0,0
321.69,180.0,4.0,3.957446808510639,-0.7,0,0
322.143,180.0,4.0,3.9361702127659584,-0.7,0,0
322.595,180.0,4.0,3.957446808510639,-0.7,0,0
323.048,180.0,4.0,3.9361702127659584,-0.7,0,0
323.501,180.0,4.0,3.957446808510639,-0.7,0,0
323.953,180.0,4.0,3.914893617021278,-0.7,0,0
324.406,177.0,4.213333333333333,3.9361702127659584,-0.7,0,0
324.858,176.0,4.213333333333333,4.042553191489361,-0.7,0,0
325.311,173.0,4.426666666666667,4.1914893617021285,-0.7,0,0
325.764,171.0,4.64,4.404255319148936,-0.7,0,0
326.216,167.0,4.8533333333333335,4.468085106382979,-0.7,0,0
326.669,163.0,5.28,4.957446808510639,-0.7,0,0
327.121,154.0,5.92,5.1914893617021285,-0.7,0,0
327.574,152.0,5.92,5.702127659574469,-0.7,0,0
328.027,145.0,6.5600000000000005,6.170212765957446,-0.7,0,0
328.479,141.0,6.773333333333333,6.702127659574469,-0.7,0,0
328.932,137.0,6.986666666666666,6.702127659574469,-0.7,0,0
329.384,134.0,7.2,7.0212765957446805,-0.7,0,0
329.837,130.0,7.626666666666667,7.170212765957446,-0.7,0,0
330.289,123.0,8.053333333333335,7.638297872340425,-0.7,0,0
330.742,121.0,8.266666666666666,7.936170212765957,-0.7,0,0
331.194,115.0,8.693333333333333,8.340425531914894,-0.7,0,0
331.647,106.0,9.333333333333332,8.936170212765957,-0.7,0,0
332.099,102.0,9.546666666666667,9.404255319148936,-0.7,0,0
332.552,95.0,10.186666666666667,9.829787234042554,-0.7,0,0
333.004,91.0,10.4,10.085106382978724,-0.7,0,0
333.457,86.0,10.826666666666668,10.27659574468085,-0.7,0,0
333.909,80.0,11.253333333333334,10.680851063829786,-0.7,0,0
334.362,78.0,11.253333333333334,11.27659574468085,-0.7,0,0
334.815,71.0,11.893333333333334,11.680851063829786,-0.7,0,0
335.267,65.0,12.32,11.97872340425532,-0.7,0,0
335.72,60.0,12.533333333333333,12.127659574468085,-0.7,0,0
336.172,56.0,12.96,12.595744680851064,-0.7,0,0
336.625,52.0,13.173333333333334,12.787234042553191,-0.7,0,0
337.077,47.0,13.6,13.297872340425531,-0.7,0,0
337.53,43.0,13.813333333333333,13.446808510638299,-0.7,0,0
337.982,40.0,14.026666666666667,13.787234042553191,-0.7,0,0
338.435,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
338.888,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
339.34,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
339.793,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
340.245,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
340.698,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
341.15,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
341.603,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
342.056,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
342.508,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
342.961,40.0,14.026666666666667,13.914893617021278,-0.7,0,0
343.413,40.0,14.026666666666667,14.0,-0.7,0,0
343.866,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
344.318,40.0,14.026666666666667,14.0,-0.7,0,0
344.771,40.0,14.026666666666667,13.893617021276595,-0.7,0,0
345.223,40.0,14.026666666666667,13.914893617021278,-0.7,0,0
345.676,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
346.129,41.0,14.026666666666667,13.936170212765958,-0.7,0,0
346.581,42.0,13.813333333333333,14.042553191489361,-0.7,0,0
347.034,43.0,13.813333333333333,13.893617021276595,-0.7,0,0
347.487,47.0,13.6,13.893617021276595,-0.7,0,0
347.939,48.0,13.386666666666667,13.361702127659575,-0.7,0,0
348.392,52.0,13.173333333333334,13.48936170212766,-0.7,0,0
348.844,56.0,12.96,13.27659574468085,-0.7,0,0
349.297,59.0,12.746666666666666,12.808510638297872,-0.7,0,0
349.75,59.0,12.746666666666666,12.829787234042552,-0.7,0,0
350.202,56.0,12.96,12.851063829787234,-0.7,0,0
350.655,50.0,13.386666666666667,13.085106382978722,-0.7,0,0
351.107,41.0,14.026666666666667,13.659574468085108,-0.7,0,0
351.56,40.0,14.026666666666667,13.72340425531915,-0.7,0,0
352.012,40.0,14.026666666666667,13.851063829787234,-0.7,0,0
352.465,40.0,14.026666666666667,13.914893617021278,-0.7,0,0
352.918,40.0,14.026666666666667,13.914893617021278,-0.7,0,0
353.37,40.0,14.026666666666667,13.872340425531915,-0.7,0,0
353.823,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
354.275,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
354.728,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
355.181,40.0,14.026666666666667,13.914893617021278,-0.7,0,0
355.633,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
356.086,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
356.538,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
356.991,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
357.443,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
357.896,40.0,14.026666666666667,13.872340425531915,-0.7,0,0
358.348,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
358.801,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
359.253,40.0,14.026666666666667,13.893617021276595,-0.7,0,0
359.706,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
360.158,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
360.611,41.0,14.026666666666667,13.957446808510639,-0.7,0,0
361.063,45.0,13.6,14.0,-0.7,0,0
361.516,42.0,13.813333333333333,13.51063829787234,-0.7,0,0
361.969,42.0,13.813333333333333,13.829787234042552,-0.7,0,0
362.421,40.0,14.026666666666667,13.872340425531915,-0.7,0,0
362.874,40.0,14.026666666666667,14.0,-0.7,0,0
363.326,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
363.779,42.0,13.813333333333333,13.957446808510639,-0.7,0,0
364.231,46.0,13.6,13.72340425531915,-0.7,0,0
364.684,51.0,13.173333333333334,13.446808510638299,-0.7,0,0
365.136,55.0,12.96,13.297872340425531,-0.7,0,0
365.589,60.0,12.533333333333333,12.829787234042552,-0.7,0,0
366.042,64.0,12.32,12.595744680851064,-0.7,0,0
366.494,69.0,11.893333333333334,12.042553191489361,-0.7,0,0
366.947,75.0,11.466666666666667,11.72340425531915,-0.7,0,0
367.4,77.0,11.466666666666667,11.46808510638298,-0.7,0,0
367.852,80.0,11.253333333333334,11.25531914893617,-0.7,0,0
368.305,84.0,10.826666666666668,11.0,-0.7,0,0
368.757,89.0,10.613333333333333,10.851063829787234,-0.7,0,0
369.21,91.0,10.4,10.404255319148936,-0.7,0,0
369.663,95.0,10.186666666666667,10.53191489361702,-0.7,0,0
370.115,100.0,9.76,9.893617021276595,-0.7,0,0
370.568,99.0,9.76,9.808510638297872,-0.7,0,0
371.021,96.0,9.973333333333333,9.76595744680851,-0.7,0,0
371.473,94.0,10.186666666666667,10.063829787234043,-0.7,0,0
371.926,90.0,10.4,10.085106382978724,-0.7,0,0
372.378,81.0,11.04,10.595744680851064,-0.7,0,0
372.831,77.0,11.466666666666667,11.170212765957446,-0.7,0,0
373.284,72.0,11.68,11.638297872340425,-0.7,0,0
373.737,66.0,12.106666666666667,11.957446808510639,-0.7,0,0
374.189,61.0,12.533333333333333,12.212765957446809,-0.7,0,0
374.642,54.0,12.96,12.638297872340425,-0.7,0,0
375.095,50.0,13.386666666666667,13.127659574468085,-0.7,0,0
375.547,47.0,13.6,13.212765957446809,-0.7,0,0
376.0,45.0,13.6,13.446808510638299,-0.7,0,0
376.452,40.0,14.026666666666667,13.702127659574469,-0.7,0,0
376.905,40.0,14.026666666666667,13.872340425531915,-0.7,0,0
377.358,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
377.81,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
378.263,40.0,14.026666666666667,13.936170212765958,-0.7,0,0
378.715,40.0,14.026666666666667,13.893617021276595,-0.7,0,0
379.168,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
379.62,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
380.073,40.0,14.026666666666667,13.893617021276595,-0.7,0,0
380.526,40.0,14.026666666666667,13.957446808510639,-0.7,0,0
380.978,40.0,14.026666666666667,14.0,-0.7,0,0
381.431,40.0,14.026666666666667,13.97872340425532,-0.7,0,0
