,time,flex sensor,"actuator position, command","actuator position, measured",force,"""Trial Number""","""Target Angle""",newForce
0,1342.7979999999998,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
1,1343.25,106.0,8.053333333333335,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
2,1343.703,106.0,8.053333333333335,3.9788639365918113,-23.55,0.0,150.0,-1.1378906250000007
3,1344.155,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
4,1344.609,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
5,1345.0610000000001,106.0,8.053333333333335,4.0,-23.29,0.0,150.0,-0.8778906249999991
6,1345.514,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
7,1345.967,106.0,8.053333333333335,3.8731836195508578,-23.2,0.0,150.0,-0.7878906249999993
8,1346.42,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
9,1346.872,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
10,1347.325,106.0,8.053333333333335,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
11,1347.7779999999998,106.0,8.053333333333335,3.936591809775429,-23.2,0.0,150.0,-0.7878906249999993
12,1348.231,106.0,8.053333333333335,3.91545574636724,-23.29,0.0,150.0,-0.8778906249999991
13,1348.683,106.0,8.053333333333335,4.0,-23.29,0.0,150.0,-0.8778906249999991
14,1349.1370000000002,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
15,1349.589,106.0,8.053333333333335,4.04227212681638,-23.2,0.0,150.0,-0.7878906249999993
16,1350.0420000000001,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
17,1350.494,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
18,1350.9479999999999,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
19,1351.4,106.0,8.053333333333335,4.0,-23.2,0.0,150.0,-0.7878906249999993
20,1351.8529999999998,106.0,8.053333333333335,3.957727873183618,-23.2,0.0,150.0,-0.7878906249999993
21,1352.306,106.0,8.053333333333335,3.9788639365918113,-23.2,0.0,150.0,-0.7878906249999993
22,1352.759,106.0,8.053333333333335,4.0,-23.12,0.0,150.0,-0.707890625000001
23,1353.211,106.0,8.053333333333335,4.021136063408191,-23.2,0.0,150.0,-0.7878906249999993
24,1353.664,106.0,8.053333333333335,3.91545574636724,-23.47,0.0,150.0,-1.0578906249999989
25,1354.1170000000002,106.0,8.053333333333335,4.0,-23.29,0.0,150.0,-0.8778906249999991
26,1354.569,106.0,8.053333333333335,3.936591809775429,-23.29,0.0,150.0,-0.8778906249999991
27,1355.0220000000002,106.0,8.053333333333335,4.0,-23.29,0.0,150.0,-0.8778906249999991
28,1355.476,106.0,8.053333333333335,4.0,-23.55,0.0,150.0,-1.1378906250000007
29,1355.9279999999999,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
30,1356.381,106.0,8.053333333333335,4.0,-23.55,0.0,150.0,-1.1378906250000007
31,1356.8329999999999,106.0,8.053333333333335,3.8731836195508578,-23.55,0.0,150.0,-1.1378906250000007
32,1357.287,106.0,8.053333333333335,4.021136063408191,-23.29,0.0,150.0,-0.8778906249999991
33,1357.739,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
34,1358.192,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
35,1358.645,106.0,8.053333333333335,4.021136063408191,-23.29,0.0,150.0,-0.8778906249999991
36,1359.098,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
37,1359.55,106.0,8.053333333333335,3.9788639365918113,-23.55,0.0,150.0,-1.1378906250000007
38,1360.003,106.0,8.053333333333335,3.8943196829590505,-23.47,0.0,150.0,-1.0578906249999989
39,1360.4560000000001,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
40,1360.9089999999999,106.0,8.053333333333335,3.9788639365918113,-23.29,0.0,150.0,-0.8778906249999991
41,1361.361,106.0,8.053333333333335,4.021136063408191,-23.29,0.0,150.0,-0.8778906249999991
42,1361.815,106.0,8.053333333333335,4.04227212681638,-23.29,0.0,150.0,-0.8778906249999991
43,1362.267,106.0,8.053333333333335,4.0,-23.55,0.0,150.0,-1.1378906250000007
44,1362.72,106.0,8.053333333333335,3.957727873183618,-23.38,0.0,150.0,-0.967890624999999
45,1363.1729999999998,106.0,8.053333333333335,3.91545574636724,-23.47,0.0,150.0,-1.0578906249999989
46,1363.626,106.0,8.053333333333335,3.91545574636724,-23.29,0.0,150.0,-0.8778906249999991
47,1364.078,106.0,8.053333333333335,4.0,-23.29,0.0,150.0,-0.8778906249999991
48,1364.531,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
49,1364.985,106.0,8.053333333333335,4.063408190224571,-23.55,0.0,150.0,-1.1378906250000007
50,1365.4370000000001,106.0,8.053333333333335,3.8731836195508578,-23.47,0.0,150.0,-1.0578906249999989
51,1365.89,106.0,8.053333333333335,4.021136063408191,-23.47,0.0,150.0,-1.0578906249999989
52,1366.342,106.0,8.053333333333335,3.91545574636724,-23.29,0.0,150.0,-0.8778906249999991
53,1366.795,106.0,8.053333333333335,3.957727873183618,-23.29,0.0,150.0,-0.8778906249999991
