time,force
853.415,0.35
853.517,0.09
853.618,0.26
853.721,-0.09
853.822,0.26
853.924,0.18
854.027,0.18
854.128,0.44
854.23,-0.09
854.332,0.35
854.434,-0.18
854.536,0.26
854.638,0.09
854.74,0.35
854.842,0.18
854.944,0.26
855.046,0.18
855.147,0.0
855.25,0.18
855.351,-0.09
855.453,0.26
855.556,-0.09
855.657,0.18
855.759,0.09
855.861,0.18
855.963,0.44
856.065,0.26
856.167,0.18
856.269,0.09
856.371,0.18
856.473,-0.09
856.575,0.44
856.676,1.93
856.779,3.96
856.881,5.27
856.982,6.94
857.085,7.65
857.187,8.7
857.288,10.37
857.391,9.14
857.493,4.75
857.594,2.2
857.697,2.29
857.798,4.83
857.9,7.82
858.003,9.05
858.104,10.28
858.206,11.07
858.309,10.28
858.41,5.89
858.512,2.37
858.615,2.02
858.716,4.04
858.818,7.82
858.921,8.7
859.022,10.2
859.124,10.72
859.227,10.99
859.328,9.93
859.43,6.24
859.533,3.52
859.634,2.2
859.736,4.13
859.838,6.86
859.94,8.96
860.042,9.58
860.144,10.11
860.246,6.59
860.348,2.9
860.45,1.93
860.552,4.31
860.654,7.65
860.756,8.96
860.858,10.72
860.96,8.96
861.062,5.19
861.164,2.64
861.266,4.66
861.368,7.47
861.47,9.49
861.572,10.2
861.674,8.17
861.776,3.96
861.877,1.85
861.98,3.16
862.082,6.94
862.183,9.05
862.286,9.4
862.388,10.63
862.489,8.35
862.592,3.96
862.694,1.05
862.795,0.62
862.898,0.79
863.0,3.52
863.101,7.73
863.204,8.96
863.305,10.99
