time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
88708,0.00,0.01,250.15,0,0,0
88763,0.00,0.02,250.22,0,0,0
88819,0.00,0.02,250.27,0,0,0
88875,0.00,0.03,250.31,0,0,0
88931,0.00,0.03,250.33,0,0,0
88987,0.00,0.03,250.32,0,0,0
89043,0.00,0.03,250.30,0,0,0
89098,0.00,0.02,250.24,0,0,0
89154,0.00,0.01,250.17,0,0,0
89210,0.00,0.00,250.07,0,0,0
89266,0.00,-0.00,249.94,1,0,0
89322,0.00,-0.02,249.80,2,0,0
89378,0.00,-0.03,249.64,3,0,0
89433,0.00,-0.05,249.46,3,0,0
89489,0.00,-0.06,249.28,4,0,0
89545,0.00,-0.08,249.09,5,0,0
89601,0.00,-0.10,248.89,6,0,0
89657,0.00,-0.12,248.69,7,0,0
89713,0.00,-0.13,248.48,8,0,0
89769,0.00,-0.15,248.28,9,10,0
89825,0.00,-0.17,248.07,10,9,0
89880,0.00,-0.19,247.86,11,10,0
89936,0.00,-0.20,247.67,12,10,0
89992,0.00,-0.22,247.49,13,9,0
90048,0.00,-0.24,247.31,14,10,0
90104,0.00,-0.25,247.15,15,10,0
90160,0.00,-0.26,247.00,17,9,0
90216,0.00,-0.28,246.85,18,9,0
90272,0.00,-0.29,246.72,19,8,0
90328,0.00,-0.30,246.60,20,18,0
90384,0.00,-0.31,246.50,22,18,0
90440,0.00,-0.32,246.41,23,18,0
90496,0.00,-0.32,246.33,24,18,0
90552,0.00,-0.33,246.27,25,18,0
90608,0.00,-0.33,246.23,26,18,0
90664,0.00,-0.33,246.20,28,19,0
90720,0.00,-0.34,246.19,29,23,0
90776,0.00,-0.33,246.20,30,23,0
90832,0.00,-0.33,246.24,30,23,0
90888,0.00,-0.33,246.30,31,23,0
90943,0.00,-0.32,246.38,32,28,0
90999,0.00,-0.31,246.47,33,28,0
91055,0.00,-0.30,246.58,34,28,0
91111,0.00,-0.29,246.70,35,27,0
91167,0.00,-0.28,246.81,36,27,0
91223,0.00,-0.27,246.93,37,31,0
91279,0.00,-0.26,247.03,38,32,0
91335,0.00,-0.25,247.14,39,32,0
91391,0.00,-0.24,247.23,40,31,0
91447,0.00,-0.24,247.32,41,36,0
91503,0.00,-0.23,247.40,42,37,0
91559,0.00,-0.22,247.48,43,37,0
91615,0.00,-0.21,247.56,43,36,0
91671,0.00,-0.21,247.64,44,36,0
91727,0.00,-0.20,247.72,45,37,0
91783,0.00,-0.19,247.80,46,39,0
91839,0.00,-0.19,247.87,46,42,0
91895,0.00,-0.18,247.94,47,42,0
91951,0.00,-0.18,248.01,48,42,0
92007,0.00,-0.17,248.07,48,42,0
92063,0.00,-0.16,248.14,49,42,0
92119,0.00,-0.16,248.20,50,41,0
92175,0.00,-0.15,248.26,50,47,0
92230,0.00,-0.15,248.32,51,47,0
92286,0.00,-0.14,248.38,51,47,0
92342,0.00,-0.14,248.45,52,46,0
92398,0.00,-0.13,248.52,52,47,0
92454,0.00,-0.12,248.60,52,47,0
92510,0.00,-0.12,248.68,52,46,0
92566,0.00,-0.11,248.77,53,47,0
92622,0.00,-0.10,248.86,53,47,0
92678,0.00,-0.09,248.95,53,47,0
92734,0.00,-0.08,249.04,53,46,0
92790,0.00,-0.08,249.12,54,47,0
92846,0.00,-0.07,249.19,54,47,0
92902,0.00,-0.07,249.25,54,46,0
92958,0.00,-0.06,249.29,55,49,0
93014,0.00,-0.06,249.33,55,49,0
93070,0.00,-0.06,249.35,56,49,0
93126,0.00,-0.06,249.35,56,49,0
93182,0.00,-0.06,249.34,57,49,0
