7.122109375000001,5.532109375000001,5.892109375,3.5121093750000014,4.482109375,4.042109374999999,1.7621093750000014,0.7021093749999991,0.532109375000001,0.2621093750000014
5.012109375000001,3.5121093750000014,2.632109375,1.932109375,0.792109374999999,0.002109374999999858,0.3521093750000013,0.002109374999999858,-0.4378906250000014,-0.5278906250000013
6.33,4.83,4.04,3.25,3.52,3.34,0.53,2.11,0.7,0.09
6.59,5.1,4.13,2.55,1.32,0.79,0.09,-0.62,-0.62,-0.88
5.27,3.96,3.69,3.16,2.64,2.81,1.76,0.53,0.62,0.0
4.22,2.64,2.11,1.76,1.32,1.49,0.88,1.23,0.88,0.88
6.06,4.22,4.04,4.39,3.52,3.87,3.87,1.49,1.76,0.09
2.99,2.64,2.81,1.76,1.67,0.7,0.35,0.0,-0.35,-0.88
5.71,4.48,5.89,4.75,5.19,4.13,2.11,2.2,1.41,0.79
3.43,2.29,2.29,1.41,1.49,1.05,0.97,0.97,0.79,0.26
4.48,3.52,2.46,1.67,1.49,2.37,1.05,1.41,0.7,0.62
3.52,1.67,2.29,1.76,1.93,1.85,1.41,1.49,1.14,0.7
3.25,3.6,2.55,2.29,1.93,0.97,1.85,0.62,0.7,0.44
0.18,-0.18,0.0,0.18,-0.09,-0.09,0.18,0.09,0.0,0.0
