command,force
64,0.18
65,0.18
66,0.18
67,0.44
68,0.44
69,0.79
70,0.79
71,1.23
72,1.23
73,1.49
74,1.76
75,2.02
76,2.11
77,2.55
78,2.81
79,3.16
80,3.60
81,4.13
82,3.96
83,4.31
84,4.57
85,4.83
86,5.19
87,5.54
88,5.71
89,5.89
90,6.24
91,6.42
92,6.50
93,6.77
94,6.86
95,7.29
96,7.47
97,7.82
98,8.00
99,8.26
100,8.44
101,8.44
102,8.53
