time,force
1591.53,-0.35
1591.632,0.18
1591.734,-0.35
1591.836,0.26
1591.938,-0.44
1592.04,0.26
1592.141,0.09
1592.244,0.18
1592.346,0.26
1592.447,0.09
1592.55,0.35
1592.651,-0.09
1592.753,0.26
1592.856,-0.35
1592.957,0.18
1593.059,-0.35
1593.162,0.09
1593.263,0.0
1593.365,-0.18
1593.467,-0.18
1593.569,-0.44
1593.671,0.18
1593.773,-0.7
1593.875,0.35
1593.977,-0.35
1594.079,0.09
1594.181,-0.18
1594.283,-0.09
1594.385,0.0
1594.487,0.18
1594.589,0.18
1594.691,0.09
1594.793,0.35
1594.895,0.09
1594.997,1.23
1595.099,1.67
1595.2,4.04
1595.303,5.01
1595.405,7.21
1595.506,7.91
1595.609,8.09
1595.711,7.12
1595.812,4.22
1595.915,3.96
1596.017,4.31
1596.119,7.73
1596.221,8.7
1596.323,10.28
1596.425,10.72
1596.527,11.6
1596.629,12.22
1596.731,12.13
1596.833,11.95
1596.935,7.47
1597.037,3.43
1597.139,1.05
1597.241,1.32
1597.343,0.79
1597.445,1.93
1597.547,3.78
1597.649,7.21
1597.751,9.4
1597.853,11.07
1597.955,12.13
1598.057,12.74
1598.159,14.33
1598.261,13.8
1598.364,15.03
1598.465,14.33
1598.567,10.99
1598.67,4.92
1598.771,2.37
1598.873,2.2
1598.976,2.55
1599.077,4.04
1599.179,5.71
1599.282,8.79
1599.383,10.28
1599.485,11.95
1599.588,12.22
1599.689,13.89
1599.791,13.36
1599.894,11.87
1599.995,11.16
1600.097,9.4
1600.2,5.54
1600.301,2.46
1600.403,1.58
1600.506,0.26
1600.607,0.97
1600.709,0.26
1600.812,0.62
1600.913,0.35
1601.015,0.26
1601.117,0.35
1601.219,0.35
1601.321,0.88
1601.423,0.53
1601.525,0.35
