trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.62,10.34,2.62,10.34,3,3,0,1,1,0
1,2.62,10.34,2.62,10.34,3,3,0,1,2,0
2,4.15,10.34,10.34,4.15,1,1,0,1,3,0
3,4.15,10.34,10.34,4.15,1,1,0,1,4,0
4,6.58,10.34,10.34,6.58,1,1,0,1,5,0
5,6.58,10.34,10.34,6.58,1,1,0,1,6,0
6,10.43,10.34,10.34,10.43,3,1,0,1,6,1
7,10.43,10.34,10.43,10.34,1,1,1,3,7,1
8,10.43,10.34,10.34,10.43,3,1,1,1,7,2
9,10.43,10.34,10.43,10.34,1,2,1,2,7,3
10,13.13,10.34,13.13,10.34,1,1,2,3,8,3
11,10.43,10.34,10.34,10.43,3,1,2,1,8,4
12,10.43,10.34,10.34,10.43,3,3,3,3,9,4
13,10.43,10.34,10.34,10.43,3,2,3,2,9,5
14,11.05,10.34,10.34,11.05,3,2,3,2,9,6
15,11.05,10.34,10.34,11.05,3,3,4,3,10,6
