td,time,"flex sensor"
1.00, 17108428.00, -8.71
1.00, 17109904.00, -6.81
1.00, 17111386.00, -5.46
1.00, 17112868.00, -5.46
1.00, 17114348.00, -5.46
1.00, 17115828.00, -5.46
1.00, 17117312.00, -5.46
1.00, 17118792.00, -5.46
1.00, 17120274.00, -6.55
1.00, 17122172.00, -6.55
1.00, 17123652.00, -7.05
1.00, 17125134.00, -7.05
1.00, 17126616.00, -7.05
1.00, 17128096.00, -7.05
1.00, 17129568.00, -7.05
1.00, 17131050.00, -7.05
1.00, 17132532.00, -7.05
1.00, 17134016.00, -7.05
1.00, 17135496.00, -7.05
1.00, 17136980.00, -7.05
1.00, 17138868.00, -7.05
1.00, 17140348.00, -6.18
1.00, 17141830.00, -6.18
1.00, 17143312.00, -6.18
1.00, 17144792.00, -6.18
1.00, 17146272.00, -6.18
1.00, 17147756.00, -6.18
1.00, 17149236.00, -6.18
1.00, 17150720.00, -8.40
1.00, 17152200.00, -9.65
1.00, 17153682.00, -9.65
1.00, 17155570.00, -9.65
1.00, 17157052.00, -9.65
1.00, 17158532.00, -9.65
1.00, 17160000.00, -8.67
1.00, 17161480.00, -6.73
1.00, 17162964.00, -5.35
1.00, 17164444.00, -5.35
1.00, 17165926.00, -5.35
1.00, 17167408.00, -5.35
1.00, 17168888.00, -5.35
1.00, 17170352.00, -5.35
1.00, 17172270.00, -5.35
1.00, 17173752.00, -5.35
1.00, 17175232.00, -5.35
1.00, 17176716.00, -5.35
1.00, 17178196.00, -5.35
1.00, 17179678.00, -7.11
1.00, 17181160.00, -11.37
1.00, 17182642.00, -14.39
1.00, 17184124.00, -14.39
1.00, 17185604.00, -14.39
1.00, 17187088.00, -14.39
1.00, 17188944.00, -14.39
1.00, 17190408.00, -12.27
1.00, 17191892.00, -8.18
1.00, 17193372.00, -5.27
1.00, 17194852.00, -5.27
1.00, 17196332.00, -5.27
1.00, 17197814.00, -5.27
1.00, 17199296.00, -5.27
1.00, 17200772.00, -5.27
1.00, 17202252.00, -5.27
1.00, 17203732.00, -5.27
1.00, 17205644.00, -5.27
1.00, 17207124.00, -5.27
1.00, 17208606.00, -5.27
1.00, 17210088.00, -8.38
1.00, 17211568.00, -15.16
1.00, 17213050.00, -19.97
1.00, 17214534.00, -19.97
1.00, 17216016.00, -19.97
1.00, 17217496.00, -19.27
1.00, 17218980.00, -19.27
1.00, 17220454.00, -18.20
1.00, 17222358.00, -15.47
1.00, 17223840.00, -13.52
1.00, 17225320.00, -13.52
1.00, 17226804.00, -13.52
1.00, 17228284.00, -13.52
1.00, 17229766.00, -11.92
1.00, 17231240.00, -7.47
1.00, 17232724.00, -4.32
1.00, 17234204.00, -4.32
1.00, 17235688.00, -4.32
1.00, 17237168.00, -4.32
1.00, 17239060.00, -4.32
1.00, 17240544.00, -6.34
1.00, 17242024.00, -10.15
1.00, 17243508.00, -12.86
1.00, 17244988.00, -12.86
1.00, 17246472.00, -12.86
1.00, 17247952.00, -12.86
1.00, 17249432.00, -12.86
1.00, 17250902.00, -11.36
1.00, 17252384.00, -8.62
1.00, 17253868.00, -6.67
1.00, 17255768.00, -6.67
1.00, 17257250.00, -6.67
1.00, 17258732.00, -6.67
1.00, 17260212.00, -6.67
1.00, 17261692.00, -6.67
1.00, 17263174.00, -6.00
1.00, 17264656.00, -6.00
1.00, 17266132.00, -6.00
1.00, 17267612.00, -6.00
1.00, 17269092.00, -6.00
1.00, 17270576.00, -6.52
1.00, 17272466.00, -7.63
1.00, 17273948.00, -8.43
1.00, 17275428.00, -8.43
1.00, 17276912.00, -8.43
1.00, 17278392.00, -8.43
1.00, 17279876.00, -8.43
1.00, 17281338.00, -7.72
1.00, 17282820.00, -6.30
1.00, 17284300.00, -5.28
1.00, 17285784.00, -5.28
1.00, 17287264.00, -5.28
1.00, 17289156.00, -5.28
1.00, 17290640.00, -5.28
1.00, 17292120.00, -5.90
1.00, 17293604.00, -5.90
1.00, 17295084.00, -5.90
1.00, 17296564.00, -5.90
1.00, 17298048.00, -5.90
1.00, 17299528.00, -5.90
1.00, 17301012.00, -7.24
1.00, 17302492.00, -9.91
1.00, 17303974.00, -11.80
1.00, 17305856.00, -11.80
1.00, 17307338.00, -11.80
1.00, 17308820.00, -11.80
1.00, 17310300.00, -11.80
1.00, 17311766.00, -10.25
1.00, 17313248.00, -7.17
1.00, 17314730.00, -4.98
1.00, 17316212.00, -4.98
1.00, 17317692.00, -4.98
1.00, 17319176.00, -4.98
1.00, 17320656.00, -4.98
1.00, 17322566.00, -4.98
1.00, 17324048.00, -5.52
1.00, 17325528.00, -5.52
1.00, 17327012.00, -5.52
1.00, 17328492.00, -5.52
1.00, 17329972.00, -5.52
1.00, 17331456.00, -8.17
1.00, 17332936.00, -14.46
1.00, 17334416.00, -18.91
1.00, 17335900.00, -18.91
1.00, 17337380.00, -18.91
1.00, 17339260.00, -18.26
1.00, 17340740.00, -18.26
1.00, 17342204.00, -15.72
1.00, 17343690.00, -9.51
1.00, 17345172.00, -5.08
1.00, 17346652.00, -5.08
1.00, 17348134.00, -5.08
1.00, 17349614.00, -5.72
1.00, 17351096.00, -5.72
1.00, 17352564.00, -5.72
1.00, 17354048.00, -5.72
1.00, 17355972.00, -5.72
1.00, 17357454.00, -5.72
1.00, 17358936.00, -5.72
1.00, 17360416.00, -5.72
1.00, 17361900.00, -6.95
1.00, 17363380.00, -10.62
1.00, 17364860.00, -13.21
1.00, 17366340.00, -13.21
1.00, 17367824.00, -13.21
1.00, 17369304.00, -13.21
1.00, 17370786.00, -13.21
1.00, 17372632.00, -11.35
1.00, 17374112.00, -7.73
1.00, 17375594.00, -5.15
1.00, 17377076.00, -5.15
1.00, 17378560.00, -5.15
1.00, 17380040.00, -5.15
1.00, 17381520.00, -5.15
1.00, 17382996.00, -5.66
1.00, 17384476.00, -5.66
1.00, 17385958.00, -5.66
1.00, 17387440.00, -5.66
1.00, 17389344.00, -5.66
1.00, 17390824.00, -5.66
1.00, 17392306.00, -7.52
1.00, 17393788.00, -11.75
1.00, 17395268.00, -14.75
1.00, 17396750.00, -14.75
1.00, 17398232.00, -14.75
1.00, 17399712.00, -14.75
1.00, 17401194.00, -14.75
1.00, 17402664.00, -12.77
1.00, 17404146.00, -9.00
1.00, 17406048.00, -6.31
1.00, 17407524.00, -6.31
1.00, 17409008.00, -6.31
1.00, 17410488.00, -6.31
1.00, 17411968.00, -6.31
1.00, 17413450.00, -6.31
1.00, 17414930.00, -6.31
1.00, 17416412.00, -6.31
1.00, 17417892.00, -6.31
1.00, 17419376.00, -6.31
1.00, 17420856.00, -6.31
1.00, 17422734.00, -7.16
1.00, 17424216.00, -10.17
1.00, 17425698.00, -12.31
1.00, 17427180.00, -12.31
1.00, 17428660.00, -12.31
1.00, 17430140.00, -12.31
1.00, 17431622.00, -12.31
1.00, 17433088.00, -10.63
1.00, 17434568.00, -7.29
1.00, 17436052.00, -4.91
1.00, 17437534.00, -4.91
1.00, 17439412.00, -4.91
1.00, 17440892.00, -4.91
1.00, 17442372.00, -5.42
1.00, 17443856.00, -5.42
1.00, 17445336.00, -6.08
1.00, 17446820.00, -6.08
1.00, 17448300.00, -6.08
1.00, 17449784.00, -6.08
1.00, 17451264.00, -6.08
1.00, 17452744.00, -7.23
1.00, 17454228.00, -10.04
1.00, 17456096.00, -12.03
1.00, 17457576.00, -12.03
1.00, 17459058.00, -12.03
1.00, 17460540.00, -12.03
1.00, 17462022.00, -12.03
1.00, 17463484.00, -10.48
1.00, 17464964.00, -7.43
1.00, 17466448.00, -5.25
1.00, 17467928.00, -5.25
1.00, 17469412.00, -5.25
1.00, 17470892.00, -5.25
1.00, 17472764.00, -5.79
1.00, 17474244.00, -6.30
1.00, 17475728.00, -6.30
1.00, 17477210.00, -6.30
1.00, 17478692.00, -6.30
1.00, 17480172.00, -6.30
1.00, 17481656.00, -6.30
1.00, 17483136.00, -8.31
1.00, 17484618.00, -12.29
1.00, 17486100.00, -15.10
1.00, 17487580.00, -15.10
1.00, 17489460.00, -15.10
1.00, 17490942.00, -15.10
1.00, 17492424.00, -15.10
1.00, 17493888.00, -12.80
1.00, 17495370.00, -8.22
1.00, 17496850.00, -4.96
1.00, 17498332.00, -4.96
1.00, 17499814.00, -4.96
1.00, 17501296.00, -4.96
1.00, 17502776.00, -4.96
1.00, 17504246.00, -4.96
1.00, 17506136.00, -4.96
1.00, 17507618.00, -5.52
1.00, 17509100.00, -5.52
1.00, 17510580.00, -5.52
1.00, 17512064.00, -5.52
1.00, 17513544.00, -8.57
1.00, 17515028.00, -15.83
1.00, 17516508.00, -20.97
1.00, 17517990.00, -20.97
1.00, 17519472.00, -20.97
1.00, 17520952.00, -20.22
1.00, 17522820.00, -20.22
1.00, 17524284.00, -17.24
1.00, 17525768.00, -10.00
1.00, 17527248.00, -4.84
1.00, 17528728.00, -4.84
1.00, 17530210.00, -4.84
1.00, 17531692.00, -5.58
1.00, 17533172.00, -5.58
1.00, 17534644.00, -5.58
1.00, 17536124.00, -5.58
1.00, 17537608.00, -5.58
1.00, 17539536.00, -5.58
1.00, 17541020.00, -5.58
1.00, 17542500.00, -5.58
1.00, 17543984.00, -7.17
1.00, 17545464.00, -11.19
1.00, 17546946.00, -14.04
1.00, 17548428.00, -14.04
1.00, 17549912.00, -14.04
1.00, 17551392.00, -14.04
1.00, 17552874.00, -14.04
1.00, 17554342.00, -12.23
1.00, 17556200.00, -8.82
1.00, 17557682.00, -6.39
1.00, 17559164.00, -6.39
1.00, 17560646.00, -6.39
1.00, 17562128.00, -6.39
1.00, 17563610.00, -6.39
1.00, 17565084.00, -6.39
1.00, 17566564.00, -5.52
1.00, 17568046.00, -5.52
1.00, 17569528.00, -5.52
1.00, 17571012.00, -5.52
1.00, 17572900.00, -5.52
1.00, 17574382.00, -6.53
1.00, 17575864.00, -8.79
1.00, 17577344.00, -10.39
1.00, 17578828.00, -10.39
1.00, 17580310.00, -10.39
1.00, 17581792.00, -10.39
1.00, 17583272.00, -10.39
1.00, 17584736.00, -9.16
1.00, 17586216.00, -6.76
1.00, 17587698.00, -5.04
1.00, 17589596.00, -5.04
1.00, 17591076.00, -5.04
1.00, 17592558.00, -5.04
1.00, 17594040.00, -5.04
1.00, 17595520.00, -5.70
1.00, 17597004.00, -5.70
1.00, 17598484.00, -5.70
1.00, 17599964.00, -5.70
1.00, 17601448.00, -5.70
1.00, 17602928.00, -5.70
1.00, 17604412.00, -6.71
1.00, 17606278.00, -8.66
1.00, 17607760.00, -10.05
1.00, 17609242.00, -10.05
1.00, 17610724.00, -10.05
1.00, 17612208.00, -10.05
1.00, 17613690.00, -10.05
1.00, 17615154.00, -8.94
1.00, 17616636.00, -6.74
1.00, 17618116.00, -5.17
1.00, 17619598.00, -5.17
1.00, 17621080.00, -5.17
1.00, 17622950.00, -5.17
1.00, 17624432.00, -5.17
1.00, 17625912.00, -5.17
1.00, 17627396.00, -5.80
1.00, 17628876.00, -5.80
1.00, 17630356.00, -5.80
1.00, 17631840.00, -5.80
1.00, 17633320.00, -5.80
1.00, 17634804.00, -7.00
1.00, 17636284.00, -9.88
1.00, 17637768.00, -11.93
1.00, 17639616.00, -11.93
1.00, 17641096.00, -11.93
1.00, 17642576.00, -11.93
1.00, 17644058.00, -11.93
1.00, 17645522.00, -10.36
1.00, 17647006.00, -7.28
1.00, 17648488.00, -5.09
1.00, 17649970.00, -5.09
1.00, 17651450.00, -5.09
1.00, 17652932.00, -5.09
1.00, 17654414.00, -5.09
1.00, 17656292.00, -5.09
1.00, 17657772.00, -5.63
1.00, 17659254.00, -5.63
1.00, 17660736.00, -5.63
1.00, 17662220.00, -5.63
1.00, 17663700.00, -5.63
1.00, 17665182.00, -7.49
1.00, 17666664.00, -11.90
1.00, 17668144.00, -15.03
1.00, 17669628.00, -15.03
1.00, 17671108.00, -15.03
1.00, 17672964.00, -15.03
1.00, 17674444.00, -15.03
1.00, 17675908.00, -12.72
1.00, 17677388.00, -8.22
