time,force
472.568,0.62
472.67,0.18
472.772,0.35
472.874,0.0
472.976,0.26
473.077,0.18
473.18,0.0
473.281,0.53
473.383,0.09
473.485,0.44
473.587,-0.09
473.689,0.35
473.791,0.09
473.893,0.26
473.994,0.44
474.097,0.18
474.198,0.44
474.3,-0.18
474.402,0.44
474.504,0.09
474.606,0.35
474.708,0.09
474.81,0.35
474.911,0.18
475.014,0.18
475.115,0.18
475.217,-0.18
475.32,0.44
475.421,0.18
475.523,0.26
475.625,0.09
475.727,0.26
475.829,0.18
475.931,0.26
476.033,0.35
476.134,-0.18
476.237,0.26
476.338,0.0
476.44,0.26
476.542,0.0
476.644,0.18
476.746,0.18
476.848,0.26
476.95,0.62
477.051,1.67
477.154,3.87
477.256,5.8
477.357,8.35
477.46,9.76
477.561,10.9
477.663,10.99
477.766,8.61
477.867,3.96
477.969,1.49
478.071,2.02
478.173,2.37
478.275,5.45
478.377,7.12
478.479,9.23
478.58,10.63
478.683,11.43
478.785,11.69
478.886,10.72
478.989,7.21
479.09,3.69
479.192,2.29
479.295,1.85
479.396,2.02
479.498,2.99
479.6,5.71
479.702,8.0
479.804,9.84
479.906,10.99
480.008,11.51
480.11,12.22
480.212,11.69
480.314,8.53
480.415,4.13
480.518,2.72
480.62,1.23
480.721,1.05
480.824,1.14
480.925,2.29
481.027,6.59
481.13,8.26
481.231,10.46
481.333,11.07
481.435,11.95
481.537,11.87
481.639,9.49
481.741,4.66
481.843,2.29
481.945,1.41
482.047,0.62
482.149,0.97
482.25,0.26
482.353,0.97
482.454,0.62
482.556,2.02
