time,force
4649.423,-22.5
4649.529,-22.5
4649.635,-22.5
4649.741,-22.5
4649.847,-22.5
4649.953,-22.5
4650.059,-22.5
4650.165,-22.5
4650.271,-22.5
4650.377,-22.5
4650.483,-22.5
4650.589,-22.5
4650.695,-22.5
4650.801,-22.5
4650.907,-22.5
4651.013,-22.5
4651.119,-22.5
4651.225,-22.5
4651.331,-22.5
4651.437,-22.5
4651.543,-22.5
4651.649,-22.5
4651.755,-22.5
4651.861,-22.5
4651.967,-22.5
4652.073,-22.5
4652.179,-22.5
4652.285,-22.5
4652.391,-22.5
4652.497,-22.5
4652.603,-22.5
4652.709,-22.5
4652.815,-22.5
4652.921,-22.5
4653.027,-22.5
4653.133,-22.5
4653.239,-22.5
4653.345,-22.5
4653.451,-22.5
4653.557,-22.5
4653.663,-22.5
4653.769,-22.5
4653.875,-22.5
4653.981,-22.5
4654.087,-22.5
4654.193,-22.5
4654.299,-22.5
4654.405,-22.5
4654.511,-22.5
4654.617,-22.5
4654.723,-22.5
4654.829,-22.5
4654.935,-22.5
4655.041,-22.5
4655.147,-22.5
4655.253,-22.5
4655.359,-22.5
4655.465,-22.5
4655.571,-22.5
4655.677,-22.5
4655.783,-22.5
4655.889,-22.5
4655.995,-22.5
4656.101,-22.5
4656.207,-22.5
4656.313,-22.5
4656.419,-22.5
4656.525,-22.5
4656.631,-22.5
4656.737,-22.5
4656.843,-22.5
4656.949,-22.5
4657.055,-22.5
4657.161,-22.5
4657.267,-22.5
4657.373,-22.5
4657.479,-22.5
4657.585,-22.5
4657.691,-22.5
4657.797,-22.5
4657.903,-22.5
4658.009,-22.5
4658.115,-22.5
4658.221,-22.5
4658.327,-22.5
4658.433,-22.5
4658.539,-22.5
4658.645,-22.5
4658.751,-22.5
4658.857,-22.5
4658.963,-22.5
4659.069,-22.5
4659.175,-22.5
4659.281,-22.5
