trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,3.65,8.79,8.79,3.65,1,1,0,1,1,0
1,5.78,8.79,5.78,8.79,3,3,0,1,2,0
2,9.16,8.79,8.79,9.16,3,1,0,1,2,1
3,14.52,8.79,14.52,8.79,1,1,1,3,3,1
4,9.16,8.79,8.79,9.16,3,3,2,3,4,1
5,9.16,8.79,9.16,8.79,1,1,3,3,5,1
6,9.16,8.79,9.16,8.79,1,1,4,3,6,1
7,9.16,8.79,9.16,8.79,1,1,5,3,7,1
8,9.16,8.79,9.16,8.79,1,1,6,3,8,1
9,9.16,8.79,9.16,8.79,1,1,7,3,9,1
10,9.16,8.79,8.79,9.16,3,3,8,3,10,1
11,9.16,8.79,8.79,9.16,3,1,8,1,10,2
12,9.18,8.79,9.18,8.79,1,1,9,3,11,2
