time,force
439.399,0.09
439.501,0.44
439.603,0.09
439.704,0.53
439.807,0.18
439.908,0.35
440.01,0.18
440.112,0.18
440.214,0.18
440.316,-0.09
440.418,0.18
440.52,0.09
440.621,0.18
440.724,0.0
440.826,0.18
440.927,0.09
441.03,0.18
441.131,0.09
441.233,0.18
441.335,0.35
441.437,0.0
441.539,0.35
441.641,-0.09
441.743,0.26
441.844,0.0
441.947,0.18
442.049,0.09
442.15,-0.09
442.253,0.09
442.354,0.09
442.456,0.26
442.558,-0.09
442.66,0.26
442.762,0.18
442.864,0.79
442.966,0.62
443.068,1.23
443.17,3.43
443.272,5.01
443.373,6.42
443.476,7.65
443.577,9.49
443.679,10.02
443.782,11.07
443.883,10.99
443.985,11.51
444.088,11.87
444.189,12.13
444.291,12.22
444.393,11.95
444.495,11.07
444.597,5.1
444.699,2.29
444.801,0.62
444.903,0.62
445.005,0.44
445.107,0.97
445.208,1.32
445.311,0.97
445.413,1.67
445.514,3.69
445.617,6.42
445.718,7.82
445.82,8.96
445.923,9.4
446.024,10.11
446.126,10.46
446.229,10.81
446.33,11.25
446.432,11.16
446.535,11.78
446.636,11.25
446.738,10.81
446.841,6.86
446.942,3.08
447.044,1.32
447.146,0.97
447.248,0.62
447.35,0.35
447.452,1.05
447.554,2.29
447.656,5.45
447.758,6.94
447.86,8.44
447.961,9.32
448.064,10.9
448.166,11.34
448.267,11.87
448.37,12.22
448.472,11.95
448.573,12.22
448.676,11.6
448.778,11.87
448.879,11.16
448.982,11.51
449.083,11.16
449.185,10.2
449.288,6.68
449.389,3.25
