t1,t2,command,measured
88067491,88067492,56,273
88076974,88076975,56,273
88086452,88086453,56,273
88095936,88095936,56,273
88105841,88105842,56,273
88115324,88115325,56,273
88124800,88124801,56,273
88134281,88134282,56,272
88143774,88143775,56,272
88153789,88153790,56,272
88163266,88163266,56,272
88172749,88172750,56,272
88182230,88182231,56,273
88191715,88191715,56,272
88201730,88201730,56,272
88211212,88211213,56,273
88220690,88220691,56,273
88230170,88230171,56,273
88239678,88239679,56,272
88249687,88249688,56,272
88259164,88259165,56,272
88268639,88268639,56,272
88278117,88278118,56,273
88287595,88287596,56,272
88297664,88297665,56,272
88307145,88307146,56,273
88316630,88316631,56,273
88326111,88326112,56,272
88335617,88335618,56,273
88345636,88345637,56,273
88355116,88355116,56,273
88364594,88364595,56,273
88374079,88374080,56,273
88383556,88383556,56,272
88393628,88393629,56,272
88403106,88403107,56,273
88412586,88412587,56,273
88422064,88422064,56,272
88431546,88431546,56,272
88441638,88441638,56,272
88451121,88451122,56,272
88460601,88460602,56,272
88470081,88470082,56,273
88479560,88479561,56,273
88489633,88489634,56,273
88499113,88499114,56,272
88508590,88508591,56,272
88518070,88518070,56,273
88527554,88527555,56,273
88537565,88537565,56,273
88547048,88547049,56,273
88556533,88556534,56,273
88566017,88566018,56,272
88575499,88575499,56,272
88585415,88585416,56,272
88594899,88594900,56,272
88604376,88604377,56,272
88613859,88613860,56,273
88623352,88623353,56,272
88633370,88633371,56,272
88642847,88642848,56,273
88652331,88652331,56,273
88661812,88661813,56,273
88671294,88671295,56,273
88681361,88681362,56,273
88690848,88690848,56,272
88700322,88700322,56,272
88709802,88709802,56,273
88719313,88719314,56,273
88729328,88729329,56,273
88738804,88738805,56,273
88748283,88748284,56,273
88757763,88757763,56,272
88767243,88767243,56,272
88777313,88777315,57,272
88786796,88786796,57,272
88796279,88796279,57,272
88805762,88805762,57,273
88815277,88815278,57,272
88825274,88825275,57,272
88834756,88834756,57,272
88844235,88844235,57,272
88853716,88853717,57,272
88863193,88863194,57,272
88873268,88873268,57,272
88882747,88882747,57,273
88892227,88892227,57,273
88901707,88901707,57,272
88911188,88911189,57,272
88921358,88921358,57,272
88930841,88930841,57,272
88940322,88940323,57,272
88949803,88949803,57,273
88959281,88959282,57,272
88969350,88969351,57,272
88978832,88978832,57,272
88988308,88988308,57,272
88997789,88997789,57,272
89007268,89007268,57,273
89017376,89017377,57,273
89026856,89026857,57,272
89036337,89036337,57,272
89045816,89045817,57,272
89055299,89055299,57,272
89065361,89065362,57,272
89074845,89074845,57,272
89084320,89084321,57,272
89093801,89093801,57,273
89103276,89103277,57,272
89113398,89113399,57,272
89122876,89122876,57,272
89132356,89132356,57,272
89141836,89141837,57,273
89151318,89151319,57,273
89161381,89161382,57,273
89170869,89170869,57,273
89180347,89180348,57,273
89189831,89189831,57,273
89199307,89199308,57,272
89209428,89209429,57,272
89218909,89218910,57,273
89228386,89228387,57,273
89237867,89237868,57,272
89247344,89247344,57,273
89257411,89257411,57,273
89266891,89266891,57,273
89276374,89276374,57,273
89285856,89285857,57,272
89295337,89295337,57,272
89305441,89305441,57,272
89314922,89314923,57,272
89324403,89324404,57,272
89333891,89333891,57,273
89343368,89343368,57,272
89353470,89353470,57,272
89362953,89362953,57,272
89372435,89372436,57,272
89381917,89381917,57,272
89391434,89391434,57,273
89401452,89401452,57,273
89410935,89410935,57,273
89420411,89420411,57,273
89429893,89429894,57,273
89439371,89439371,57,273
89449523,89449524,57,273
89459003,89459003,57,273
89468481,89468481,57,273
89477962,89477962,57,273
89487455,89487456,57,273
89497465,89497466,57,273
89506945,89506946,57,273
89516428,89516429,57,273
89525908,89525909,57,273
89535432,89535432,57,273
89545447,89545447,57,273
89554929,89554930,57,273
89564408,89564409,57,273
89573893,89573893,57,273
89583371,89583371,57,273
89593443,89593443,57,273
89602923,89602923,57,273
89612407,89612408,57,273
89621889,89621890,57,273
89631391,89631392,57,273
89641578,89641579,57,273
89651060,89651060,57,273
89660535,89660536,57,273
89670011,89670012,57,273
89679490,89679490,57,273
89689568,89689568,57,273
89699047,89699047,57,273
89708523,89708524,57,273
89717999,89718000,57,273
89727479,89727479,57,273
89737614,89737615,57,273
89747091,89747092,57,273
89756574,89756575,57,273
89766055,89766055,57,273
89775536,89775536,57,273
89785675,89785675,57,273
89795155,89795155,57,273
89804632,89804632,57,273
89814113,89814114,57,273
89823592,89823593,57,273
89833741,89833741,57,273
89843216,89843217,57,273
89852696,89852696,57,273
89862173,89862173,57,273
89871654,89871654,57,273
89881825,89881826,57,273
89891306,89891306,57,273
89900779,89900780,57,273
89910256,89910256,57,273
89919732,89919732,57,273
89929916,89929916,57,273
89939392,89939392,57,273
89948871,89948872,57,273
89958349,89958350,57,273
89967856,89967857,57,273
89978043,89978043,57,273
89987521,89987522,57,273
89997000,89997001,57,273
90006477,90006478,57,273
90015960,90015960,57,273
90026137,90026138,57,273
90035619,90035619,57,273
90045094,90045094,57,273
90054573,90054574,57,273
90064047,90064047,57,273
90074225,90074226,57,273
90083703,90083703,57,273
90093185,90093186,57,273
90102665,90102666,57,273
90112148,90112148,57,273
90122264,90122264,57,273
90131746,90131746,57,273
