"20008,47,981,254"
"20509,48,981,255"
"21010,49,981,255"
"21511,50,982,255"
"22012,51,963,255"
"22513,52,953,255"
"23014,53,944,255"
"23515,54,936,255"
"24016,55,927,255"
"24517,56,910,255"
"25018,57,900,253"
"25519,58,894,252"
"26020,59,886,252"
"26521,60,869,255"
"27022,61,859,255"
"27523,62,849,255"
"28024,63,847,255"
"28525,64,833,253"
"29026,65,821,255"
"29527,66,812,255"
"30029,67,800,255"
"30530,68,785,255"
"31031,69,776,255"
"31532,70,774,252"
"32033,71,756,255"
"32534,72,745,254"
"33035,73,735,253"
"33536,74,725,255"
"34037,75,724,255"
"34538,76,725,254"
"35039,77,724,252"
"35540,78,717,252"
"36041,79,717,253"
"36542,80,694,253"
"37043,81,693,252"
"37544,82,693,255"
"38045,83,674,252"
"38546,84,657,254"
"39048,85,648,252"
"39549,86,641,252"
"40050,87,640,252"
"40551,88,641,254"
"41052,89,617,255"
"41553,90,602,252"
"42054,91,590,253"
"42555,92,582,252"
"43056,93,582,254"
"43557,94,582,252"
"44058,95,561,252"
"44559,96,548,252"
"45060,97,545,255"
"45561,98,545,255"
"46062,99,545,255"
"46563,100,500,254"
"47064,101,498,255"
"47565,102,498,255"
"48066,103,498,255"
"48568,104,473,254"
"49069,105,454,255"
"49570,106,440,255"
"50071,107,433,252"
"50572,108,434,255"
"51073,109,433,255"
"51574,110,408,255"
"52075,111,393,252"
"52576,112,391,253"
"53077,113,391,252"
"53578,114,391,255"
"54079,115,357,255"
"54580,116,347,255"
"55081,117,346,253"
"55582,118,346,255"
"56083,119,346,255"
"56584,120,320,255"
"57085,121,295,254"
"57587,122,288,255"
"58088,123,288,252"
"58589,124,288,255"
"59090,125,257,253"
"59591,126,241,255"
"60092,127,232,252"
"60593,128,231,252"
"61094,129,231,254"
"61595,130,206,255"
"62096,131,186,252"
"62597,132,178,253"
"63098,133,178,255"
"63599,134,178,255"
"64100,135,122,254"
"64601,136,70,252"
"65102,137,66,255"
"65603,138,56,255"
"66104,139,39,255"
"66605,138,40,254"
"67107,137,38,255"
"67608,136,46,254"
"68109,135,46,255"
"68610,134,46,254"
"69111,133,68,254"
"69612,132,91,255"
