trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.25,2.3,1.25,2.3,3,3,0,1,1,0
1,1.98,2.3,2.3,1.98,1,1,0,1,2,0
2,3.14,2.3,2.3,3.14,3,3,1,3,3,0
3,1.98,2.3,1.98,2.3,3,2,1,2,3,1
4,2.49,2.3,2.3,2.49,3,1,1,1,3,2
5,3.13,2.3,2.3,3.13,3,3,2,3,4,2
6,2.49,2.3,2.49,2.3,1,2,2,2,4,3
7,2.79,2.3,2.3,2.79,3,1,2,1,4,4
8,3.13,2.3,3.13,2.3,1,1,3,3,5,4
9,2.79,2.3,2.3,2.79,3,3,3,3,6,4
10,2.49,2.3,2.3,2.49,3,2,3,2,6,5
11,2.64,2.3,2.64,2.3,1,1,4,3,7,5
12,2.49,2.3,2.3,2.49,3,2,4,2,7,6
