,oldTime,flex sensor,"actuator position, command","actuator position, measured",force,Trial Number,Target Angle,time
2633,866.53,54.0,12.746666666666664,12.340425531914892,6.5,13.0,45.0,1355.634
2634,866.9830000000001,45.0,13.386666666666667,12.978723404255321,7.12,13.0,45.0,1356.087
2635,867.435,45.0,13.386666666666667,13.063829787234043,7.38,14.0,180.0,1356.539
2636,867.888,45.0,13.386666666666667,13.23404255319149,7.56,14.0,180.0,1356.9920000000002
2637,868.34,45.0,13.386666666666667,13.23404255319149,7.38,14.0,180.0,1357.444
2638,868.793,46.0,13.386666666666667,13.319148936170214,7.38,14.0,180.0,1357.897
2639,869.2460000000001,49.0,13.173333333333336,13.212765957446807,7.29,14.0,180.0,1358.3500000000001
2640,869.698,52.0,12.96,13.021276595744679,6.33,14.0,180.0,1358.8020000000001
2641,870.1510000000001,61.0,12.32,12.574468085106382,5.89,14.0,180.0,1359.255
2642,870.6030000000001,65.0,12.106666666666667,12.042553191489361,5.45,14.0,180.0,1359.707
2643,871.056,74.0,11.466666666666667,11.702127659574465,5.01,14.0,180.0,1360.16
2644,871.5089999999999,78.0,11.253333333333336,11.382978723404255,4.75,14.0,180.0,1360.6129999999998
2645,871.961,84.0,10.826666666666668,11.042553191489361,4.48,14.0,180.0,1361.065
2646,872.415,85.0,10.613333333333333,10.638297872340424,4.22,14.0,180.0,1361.519
2647,872.868,92.0,10.186666666666667,10.25531914893617,3.96,14.0,180.0,1361.9720000000002
2648,873.32,97.0,9.76,9.702127659574467,3.69,14.0,180.0,1362.424
2649,873.773,101.0,9.546666666666667,9.702127659574467,3.69,14.0,180.0,1362.877
2650,874.2260000000001,106.0,9.12,9.319148936170214,3.52,14.0,180.0,1363.3300000000002
2651,874.678,110.0,8.906666666666666,8.957446808510639,3.25,14.0,180.0,1363.7820000000002
2652,875.1310000000001,113.0,8.693333333333333,8.659574468085106,3.16,14.0,180.0,1364.2350000000001
2653,875.584,118.0,8.266666666666666,8.574468085106384,2.99,14.0,180.0,1364.688
2654,876.0369999999999,124.0,7.84,8.02127659574468,2.72,14.0,180.0,1365.141
2655,876.4889999999999,131.0,7.413333333333334,7.361702127659575,2.46,14.0,180.0,1365.5929999999998
2656,876.942,135.0,7.2,7.148936170212767,2.29,14.0,180.0,1366.046
2657,877.395,138.0,6.986666666666666,6.893617021276596,2.11,14.0,180.0,1366.499
2658,877.8480000000001,142.0,6.5600000000000005,6.446808510638299,1.49,14.0,180.0,1366.9520000000002
2659,878.3,149.0,6.133333333333333,6.1063829787234045,1.41,14.0,180.0,1367.404
2660,878.7539999999999,158.0,5.493333333333332,5.723404255319148,1.05,14.0,180.0,1367.858
2661,879.207,162.0,5.28,5.446808510638299,0.88,14.0,180.0,1368.3110000000001
2662,879.659,164.0,5.066666666666666,5.0212765957446805,0.53,14.0,180.0,1368.763
2663,880.112,167.0,4.8533333333333335,5.0,0.44,14.0,180.0,1369.216
2664,880.565,169.0,4.8533333333333335,4.893617021276596,0.53,14.0,180.0,1369.669
2665,881.018,176.0,4.213333333333333,4.25531914893617,0.26,14.0,180.0,1370.122
2666,881.471,178.0,4.213333333333333,4.1914893617021285,0.26,14.0,180.0,1370.575
2667,881.924,180.0,4.0,3.9361702127659584,0.09,14.0,180.0,1371.028
2668,882.3760000000001,180.0,4.0,3.9574468085106385,0.18,15.0,75.0,1371.48
2669,882.83,180.0,4.0,3.9574468085106385,0.09,15.0,75.0,1371.9340000000002
2670,883.2819999999999,180.0,4.0,3.9574468085106385,0.09,15.0,75.0,1372.386
2671,883.735,179.0,4.0,3.97872340425532,0.09,15.0,75.0,1372.839
2672,884.188,175.0,4.426666666666667,3.9361702127659584,0.09,15.0,75.0,1373.292
2673,884.6410000000001,173.0,4.426666666666667,4.319148936170214,0.35,15.0,75.0,1373.7450000000001
2674,885.0939999999999,167.0,4.8533333333333335,4.25531914893617,0.35,15.0,75.0,1374.1979999999999
