45,4.0,2.0,30.0,14.0
60,9.0,5.0,25.0,24.0
75,1.0,22.0,16.0,21.0
90,6.0,22.0,25.0,9.0
105,15.0,5.0,8.0,5.0
120,15.0,3.0,5.0,9.0
135,16.0,4.0,14.0,28.0
150,11.0,23.0,2.0,13.0
165,8.0,15.0,24.0,21.0
180,0.0,0.0,0.0,0.0
