time,flex sensor,"actuator position, command","actuator position, measured",force,"Trial Number","Target Angle"
46.405,180.0,4.0,3.7659574468085104,0.0,0,0
46.858,180.0,4.0,3.8936170212765973,0.0,0,0
47.31,180.0,4.0,3.829787234042552,0.0,0,0
47.764,180.0,4.0,3.914893617021278,0.0,0,0
48.216,180.0,4.0,3.8510638297872326,-0.09,0,0
48.669,180.0,4.0,3.787234042553191,0.0,0,0
49.121,180.0,4.0,3.9787234042553195,0.0,0,0
49.574,180.0,4.0,3.914893617021278,0.0,0,0
50.027,180.0,4.0,3.8936170212765973,0.0,0,0
50.479,180.0,4.0,3.872340425531913,0.0,0,0
50.932,180.0,4.0,3.8936170212765973,0.0,0,0
51.385,180.0,4.0,3.829787234042552,0.0,0,0
51.838,180.0,4.0,3.9361702127659584,-0.18,0,0
52.29,180.0,4.0,3.8510638297872326,0.09,0,0
52.743,180.0,4.0,3.8936170212765973,0.09,0,0
53.196,180.0,4.0,4.0,-0.09,0,0
53.648,180.0,4.0,3.8085106382978715,0.0,0,0
54.101,180.0,4.0,3.829787234042552,0.0,0,0
54.553,180.0,4.0,3.829787234042552,0.09,0,0
55.007,180.0,4.0,3.8936170212765973,0.09,0,0
55.459,180.0,4.0,3.8936170212765973,0.18,0,0
55.912,180.0,4.0,3.8936170212765973,0.09,0,0
56.364,180.0,4.0,3.8510638297872326,0.09,0,0
56.818,180.0,4.0,3.8936170212765973,0.09,0,0
57.27,180.0,4.0,3.829787234042552,0.18,0,0
57.723,180.0,4.0,3.872340425531913,0.09,0,0
58.175,180.0,4.0,3.872340425531913,0.09,0,0
58.628,180.0,4.0,3.872340425531913,0.09,0,0
59.082,180.0,4.0,3.957446808510639,0.09,0,0
59.534,180.0,4.0,3.914893617021278,0.09,0,0
59.987,180.0,4.0,3.8085106382978715,0.09,0,0
60.439,180.0,4.0,3.9361702127659584,0.09,0,0
60.893,180.0,4.0,3.8085106382978715,0.09,0,0
61.345,180.0,4.0,3.872340425531913,0.09,0,0
61.798,180.0,4.0,3.8510638297872326,-0.09,0,0
62.25,180.0,4.0,3.914893617021278,-0.09,0,0
62.703,180.0,4.0,3.8085106382978715,0.0,0,0
63.156,180.0,4.0,3.7659574468085104,0.0,0,0
