time,force
334.582,-0.26
334.683,0.09
334.785,-0.44
334.887,0.18
334.989,-0.44
335.091,0.09
335.193,-0.18
335.295,0.09
335.397,0.09
335.499,-0.09
335.601,0.0
335.702,-0.88
335.805,0.18
335.907,-0.7
336.008,0.09
336.111,-0.44
336.212,-0.09
336.314,-0.26
336.417,-0.35
336.518,-0.18
336.62,-0.53
336.723,0.0
336.824,-0.7
336.926,0.09
337.029,-0.44
337.13,0.88
337.232,1.23
337.335,2.99
337.436,4.48
337.538,5.54
337.641,7.56
337.742,8.35
337.844,9.58
337.946,9.49
338.048,10.81
338.15,10.72
338.252,11.25
338.354,11.16
338.456,8.0
338.558,3.25
338.66,0.53
338.762,0.62
338.864,0.18
338.966,0.53
339.067,0.09
339.17,0.62
339.272,0.26
339.373,0.18
339.476,0.09
339.577,1.85
339.679,4.57
339.782,5.8
339.883,7.65
339.985,8.0
340.088,9.14
340.189,9.4
340.291,9.93
340.393,10.11
340.495,10.9
340.597,11.25
340.699,11.34
340.801,11.78
340.903,11.51
341.005,11.78
341.107,11.51
341.209,12.13
341.311,11.78
341.413,12.13
341.515,12.3
341.617,12.3
341.719,12.66
341.821,12.3
341.923,13.01
342.025,12.57
342.126,13.54
342.229,13.18
342.331,14.24
342.432,13.97
342.535,14.06
342.637,13.89
342.738,13.36
342.841,14.06
342.942,12.04
343.044,14.06
343.147,13.18
343.248,14.24
343.35,14.24
343.452,14.94
343.554,14.5
343.656,14.77
343.758,14.68
343.86,14.59
343.962,15.12
344.064,14.59
344.166,15.38
344.268,14.85
344.37,15.47
344.472,14.68
344.574,14.85
