"128574,","180.00,","64,","806,","255,",0,0
"129027,","180.00,","64,","798,","255,",0,0
"129479,","180.00,","64,","802,","255,",0,0
"129932,","180.00,","64,","807,","255,",0,0
"130384,","180.00,","64,","803,","255,",0,0
"130837,","180.00,","64,","803,","255,",0,0
"131290,","180.00,","64,","802,","255,",0,0
"131743,","177.00,","66,","804,","255,",0,0
"132195,","177.00,","66,","782,","255,",0,0
"132648,","175.00,","67,","783,","255,",0,0
"133101,","171.00,","69,","768,","255,",0,0
"133554,","170.00,","69,","759,","255,",0,0
"134006,","167.00,","71,","745,","255,",0,0
"134459,","162.00,","74,","713,","255,",0,0
"134912,","155.00,","77,","688,","255,",0,0
"135364,","152.00,","79,","668,","255,",0,0
"135817,","148.00,","81,","629,","255,",0,0
"136269,","154.00,","78,","631,","255,",0,0
"136722,","161.00,","74,","684,","255,",0,0
"137174,","165.00,","72,","703,","255,",0,0
"137627,","166.00,","72,","721,","255,",0,0
"138079,","166.00,","72,","719,","255,",0,0
"138532,","166.00,","72,","720,","255,",0,0
