time,force
556.889,0.18
556.992,-0.09
557.093,0.18
557.195,0.09
557.298,0.09
557.399,0.35
557.501,-0.09
557.604,0.35
557.705,-0.09
557.807,0.35
557.909,0.0
558.011,0.26
558.113,0.09
558.215,0.09
558.317,0.18
558.418,-0.09
558.521,0.18
558.622,0.09
558.724,0.62
558.827,1.05
558.928,3.08
559.03,4.83
559.132,7.03
559.234,8.53
559.336,10.02
559.438,11.25
559.54,11.34
559.642,12.04
559.744,11.51
559.846,12.04
559.947,11.78
560.05,11.95
560.152,12.48
560.253,13.18
560.356,14.06
560.457,13.71
560.559,14.59
560.662,13.45
560.763,9.76
560.865,4.92
560.967,3.16
561.069,1.49
561.171,1.32
561.273,2.64
561.375,6.68
561.477,10.63
561.579,11.16
561.681,12.92
561.782,13.1
561.885,13.8
561.987,13.1
562.088,9.4
562.191,4.83
562.292,2.02
562.394,1.76
562.497,2.46
562.598,6.5
562.7,9.05
562.803,11.6
562.904,11.95
563.006,12.92
563.108,12.48
563.21,12.57
563.312,12.3
563.414,9.58
563.516,4.83
563.618,1.93
563.72,2.11
563.822,2.37
563.924,5.01
564.026,7.03
564.128,9.4
564.23,10.63
564.332,10.63
564.434,11.16
564.536,11.43
564.638,12.13
564.74,11.6
564.841,8.09
564.944,4.04
565.046,2.55
565.147,1.76
565.25,3.25
565.352,6.15
565.453,8.53
565.556,10.46
565.658,11.34
565.759,12.04
565.862,11.87
565.963,12.57
566.065,12.66
566.168,13.45
566.269,13.1
566.371,10.9
566.474,7.29
566.575,3.87
566.677,3.6
566.78,4.75
