time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
28878,0.00,0.00,0.00,0,5,0
28908,0.00,0.00,0.00,0,5
28937,0.00,0.00,0.00,0,6,0
28967,0.00,0.00,0.00,0,6
28997,0.00,0.00,0.00,0,6
29026,0.00,0.00,0.00,0,6
29056,0.00,0.00,0.00,0,6
29086,0.00,0.00,0.00,0,6
29116,0.00,0.00,0.00,0,6
29145,0.00,0.00,0.00,0,5
29175,0.00,0.00,0.00,0,6
29205,0.00,0.00,0.00,0,6
29235,0.00,0.00,0.00,0,6
29264,0.00,0.00,0.00,0,6
29294,0.00,0.00,0.00,0,6
29324,0.00,0.00,0.00,0,6
29353,0.00,0.00,0.00,0,6
29383,0.00,0.00,0.00,0,6,0
29413,0.00,0.00,0.00,0,6
29443,0.00,0.00,0.00,0,5,0
29472,0.00,0.00,0.00,0,6
29502,0.00,0.00,0.00,0,5,0
29532,0.00,0.00,0.00,0,5
29562,0.00,0.00,0.00,0,5,0
29591,0.00,0.00,0.00,0,6
29621,0.00,0.00,0.00,0,6
29651,0.00,0.00,0.00,0,6
29680,0.00,0.00,0.00,0,6
29710,0.00,0.00,0.00,0,6
29740,0.00,0.00,0.00,0,6
29770,0.00,0.00,0.00,0,6
29799,0.00,0.00,0.00,0,6
29829,0.00,0.00,0.00,0,6
29859,0.00,0.00,0.00,0,6
29889,0.00,0.00,0.00,0,6
29918,0.00,0.00,0.00,0,6
29948,0.00,0.00,0.00,0,6
29978,0.00,0.00,0.00,0,6
30007,0.00,0.00,0.00,0,5,0
30037,0.00,0.00,0.00,0,5
30067,0.00,0.00,0.00,0,6,0
30097,0.00,0.00,0.00,0,6
30126,0.00,0.00,0.00,0,6,0
30156,0.00,0.00,0.00,0,6
30186,0.00,0.00,0.00,0,6,0
30216,0.00,0.00,0.00,0,5
30245,0.00,0.00,0.00,0,6
30275,0.00,0.00,0.00,0,5
30305,0.00,0.00,0.00,0,6
30334,0.00,0.00,0.00,0,6
30364,0.00,0.00,0.00,0,5
30394,0.00,0.00,0.00,0,6
30424,0.00,0.00,0.00,0,6
30453,0.00,0.00,0.00,0,6
30483,0.00,0.00,0.00,0,6
30513,0.00,0.00,0.00,0,6
30542,0.00,0.00,0.00,0,5
30572,0.00,0.00,0.00,0,6
30602,0.00,0.00,0.00,0,6
30632,0.00,0.00,0.00,0,6,0
30661,0.00,0.00,0.00,0,6
30691,0.00,0.00,0.00,0,6,0
30721,0.00,0.00,0.00,0,6
30751,0.00,0.00,0.00,0,6,0
30780,0.00,0.00,0.00,0,6
30810,0.00,0.00,0.00,0,6,0
30840,0.00,0.00,0.00,0,6
30869,0.00,0.00,0.00,0,6
30899,0.00,0.00,0.00,0,6
30929,0.00,0.00,0.00,0,6
30959,0.00,0.00,0.00,0,6
30988,0.00,0.00,0.00,0,6
31018,0.00,0.00,0.00,0,6
31048,0.00,0.00,0.00,0,6
31077,0.00,0.00,0.00,0,6
31107,0.00,0.00,0.00,0,6
31137,0.00,0.00,0.00,0,6
31167,0.00,0.00,0.00,0,6
31196,0.00,0.00,0.00,0,6
31226,0.00,0.00,0.00,0,6
31256,0.00,0.00,0.00,0,6,0
31286,0.00,0.00,0.00,0,6
31315,0.00,0.00,0.00,0,5,0
31345,0.00,0.00,0.00,0,6
31375,0.00,0.00,0.00,0,6,0
31404,0.00,0.00,0.00,0,6
31434,0.00,0.00,0.00,0,6
31464,0.00,0.00,0.00,0,6
31494,0.00,0.00,0.00,0,5
31523,0.00,0.00,0.00,0,5
31553,0.00,0.00,0.00,0,6
31583,0.00,0.00,0.00,0,6
31612,0.00,0.00,0.00,0,5
31642,0.00,0.00,0.00,0,6
31672,0.00,0.00,0.00,0,6
31702,0.00,0.00,0.00,0,6,0
31731,0.00,0.00,0.00,0,6
31761,0.00,0.00,0.00,0,6
31791,0.00,0.00,0.00,0,6
31821,0.00,0.00,0.00,0,6,0
31850,0.00,0.00,0.00,0,5
31880,0.00,0.00,0.00,0,6,0
31910,0.00,0.00,0.00,0,6
31939,0.00,0.00,0.00,0,6,0
31969,0.00,0.00,0.00,0,6
31999,0.00,0.00,0.00,0,6,0
32029,0.00,0.00,0.00,0,6
32058,0.00,0.00,0.00,0,6
32088,0.00,0.00,0.00,0,6
32118,0.00,0.00,0.00,0,6
32147,0.00,0.00,0.00,0,5
32177,0.00,0.00,0.00,0,6
32207,0.00,0.00,0.00,0,6
32237,0.00,0.00,0.00,0,6
32266,0.00,0.00,0.00,0,6
32296,0.00,0.00,0.00,0,6
32326,0.00,0.00,0.00,0,6
32356,0.00,0.00,0.00,0,6
32385,0.00,0.00,0.00,0,6
32415,0.00,0.00,0.00,0,6
32445,0.00,0.00,0.00,0,5,0
32474,0.00,0.00,0.00,0,6
32504,0.00,0.00,0.00,0,6,0
32534,0.00,0.00,0.00,0,6
32564,0.00,0.00,0.00,0,6,0
32593,0.00,0.00,0.00,0,5
32623,0.00,0.00,0.00,0,6,0
32653,0.00,0.00,0.00,0,6
32682,0.00,0.00,0.00,0,6
32712,0.00,0.00,0.00,0,6
32742,0.00,0.00,0.00,0,6
32772,0.00,0.00,0.00,0,6
32801,0.00,0.00,0.00,0,6
32831,0.00,0.00,0.00,0,6
32861,0.00,0.00,0.00,0,6
32891,0.00,0.00,0.00,0,6
32920,0.00,0.00,0.00,0,6
32950,0.00,0.00,0.00,0,6
32980,0.00,0.00,0.00,0,6
33009,0.00,0.00,0.00,0,6
33039,0.00,0.00,0.00,0,6
33069,0.00,0.00,0.00,0,6,0
33099,0.00,0.00,0.00,0,6
33128,0.00,0.00,0.00,0,6,0
33158,0.00,0.00,0.00,0,6
33188,0.00,0.00,0.00,0,6,0
33217,0.00,0.00,0.00,0,6
33247,0.00,0.00,0.00,0,6,0
33277,0.00,0.00,0.00,0,6
33307,0.00,0.00,0.00,0,6
33336,0.00,0.00,0.00,0,6
33366,0.00,0.00,0.00,0,6
33396,0.00,0.00,0.00,0,6
33426,0.00,0.00,0.00,0,6
33455,0.00,0.00,0.00,0,5
33485,0.00,0.00,0.00,0,5
33515,0.00,0.00,0.00,0,6
33544,0.00,0.00,0.00,0,6
33574,0.00,0.00,0.00,0,6
33604,0.00,0.00,0.00,0,6
33634,0.00,0.00,0.00,0,6
33663,0.00,0.00,0.00,0,5
33693,0.00,0.00,0.00,0,5,0
33723,0.00,0.00,0.00,0,6
33753,0.00,0.00,0.00,0,6,0
33782,0.00,0.00,0.00,0,6
33812,0.00,0.00,0.00,0,6,0
33842,0.00,0.00,0.00,0,6
33871,0.00,0.00,0.00,0,5
33901,0.00,0.00,0.00,0,6
33931,0.00,0.00,0.00,0,6
33961,0.00,0.00,0.00,0,6
33990,0.00,0.00,0.00,0,6
34020,0.00,0.00,0.00,0,6
34050,0.00,0.00,0.00,0,6
34079,0.00,0.00,0.00,0,6
34109,0.00,0.00,0.00,0,6
34139,0.00,0.00,0.00,0,6
34169,0.00,0.00,0.00,0,6
34198,0.00,0.00,0.00,0,6
34228,0.00,0.00,0.00,0,6
34258,0.00,0.00,0.00,0,6,0
