trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon
0,6.78,10.72,6.78,10.72,3,3,0,1
1,6.78,10.72,10.72,6.78,1,1,0,1
2,10.75,10.72,10.72,10.75,3,1,0,1
3,10.75,10.72,10.75,10.72,1,2,0,2
4,17.04,10.72,17.04,10.72,1,1,1,3
5,10.75,10.72,10.72,10.75,3,2,1,2
6,21.45,10.72,21.45,10.72,1,1,2,3
7,10.75,10.72,10.75,10.72,1,3,2,1
8,12.06,10.72,12.06,10.72,1,2,2,2
9,12.06,10.72,10.72,12.06,3,3,3,3
10,12.06,10.72,12.06,10.72,1,1,4,3
11,12.06,10.72,10.72,12.06,3,3,5,3
12,12.06,10.72,12.06,10.72,1,2,5,2
13,12.23,10.72,12.23,10.72,1,1,6,3
14,12.06,10.72,12.06,10.72,1,1,7,3
15,12.23,10.72,12.23,10.72,1,3,7,1
16,12.23,10.72,12.23,10.72,1,1,8,3
17,12.23,10.72,10.72,12.23,3,3,9,3
18,12.23,10.72,12.23,10.72,1,1,10,3
19,12.23,10.72,10.72,12.23,3,1,10,1
20,12.24,10.72,12.24,10.72,1,2,10,2
21,12.24,10.72,12.24,10.72,1,3,10,1
22,12.24,10.72,12.24,10.72,1,1,11,3
23,12.24,10.72,10.72,12.24,3,3,12,3
24,12.24,10.72,12.24,10.72,1,1,13,3
25,12.24,10.72,12.24,10.72,1,1,14,3
26,12.24,10.72,12.24,10.72,1,3,14,1
27,12.24,10.72,10.72,12.24,3,3,15,3
28,12.24,10.72,10.72,12.24,3,3,16,3
29,12.24,10.72,10.72,12.24,3,3,17,3
30,12.24,10.72,12.24,10.72,1,1,18,3
31,12.24,10.72,10.72,12.24,3,3,19,3
32,12.24,10.72,10.72,12.24,3,3,20,3
33,12.24,10.72,10.72,12.24,3,3,21,3
34,12.24,10.72,10.72,12.24,3,3,22,3
35,12.24,10.72,10.72,12.24,3,3,23,3
36,12.24,10.72,12.24,10.72,1,1,24,3
37,12.24,10.72,12.24,10.72,1,1,25,3
38,12.24,10.72,12.24,10.72,1,1,26,3
39,12.24,10.72,12.24,10.72,1,1,27,3
