time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter



,0




40,-0.26




41,-0.26


,0
42,-0.26




ERROR43,-0.26

,0



45,-0.35




46,-0.26




47,-0.26




ERROR48,-0.26

,0




51,0.09




52,0.09




ERROR53,-0.18


,0




56,-0.18




57,-0.18


,0




61,-0.18




62,-0.09


,0
63,-0.18




ERROR64,0.09

,0



66,0.00




67,0.09




68,-0.09




ERROR69,-0.18

,0




72,-0.18




73,-0.18




ERROR74,-0.26


,0




77,-0.09




78,-0.09




ERROR79,-0.18




ERROR80,0.00
,0




82,-0.26




83,-0.26


,0
84,-0.18




ERROR85,-0.18

,0



87,-0.18




88,0.09




89,-0.18




ERROR90,-0.18

,0




93,0.00




94,-0.18




ERROR95,-0.18


,0




98,-0.18




99,-0.18


,0



102,-0.26




103,-0.53


,0
104,-0.53




ERROR105,-0.44
,0


106,-0.26




107,-0.26




108,-0.35




ERROR109,-0.26
,0




111,0.00




112,-0.18




ERROR113,-0.35

,0



115,-0.26




116,-0.26




ERROR117,-0.26

,0




120,-0.09




121,-0.18




ERROR122,-0.18
,0




124,-0.18




125,-0.18




ERROR126,0.00

,0



128,-0.18




129,-0.18


,0


132,-0.18




133,-0.18




134,-0.09




ERROR135,-0.18
,0




137,-0.35




138,-0.35




ERROR139,-0.44
,0




141,-0.53




142,-0.53




ERROR143,-0.35

,0




145,-0.26




146,-0.18




ERROR147,0.09


,0



149,0.00




150,-0.18




151,-0.18




ERROR152,0.09

,0



154,-0.18




155,-0.18




ERROR156,-0.35

,0



158,-0.18




159,-0.26


,0




163,-0.18




164,-0.18




ERROR165,-0.18

,0




167,-0.09




168,-0.44




ERROR169,-0.26

,0



171,-0.35




172,-0.26




ERROR173,-0.26

,0


175,-0.18




176,-0.18




177,-0.18




ERROR178,-0.35
,0




180,-0.44




181,-0.26




ERROR182,-0.26
,0




184,-0.26




185,-0.26




ERROR186,-0.26

,0




188,-0.18




189,-0.18




ERROR190,-0.18

,0



192,0.09




193,-0.09


,0



196,-0.26




197,-0.26


,0
198,-0.26




ERROR199,0.00
,0




201,0.00




202,0.00


,0
203,0.09




ERROR204,-0.18

,0




206,-0.18




207,0.00




