time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark'
17.127,180.0,3.6956521739130435,3.566058002148228,-0.53,0,180,1.5
17.58,180.0,3.6956521739130435,3.5875402792696036,-0.26,0,180,1.5
18.032,180.0,3.6956521739130435,3.566058002148228,-0.26,0,180,1.5
18.484,180.0,3.6956521739130435,3.544575725026853,-0.44,0,180,1.5
18.936,180.0,3.6956521739130435,3.5875402792696036,-0.26,0,180,1.5
19.388,180.0,3.6956521739130435,3.6519871106337263,-0.53,0,180,1.5
19.841,180.0,3.6956521739130435,3.6519871106337263,-0.53,0,180,1.5
20.293,180.0,3.6956521739130435,3.566058002148228,-0.79,0,180,1.5
20.745,180.0,3.6956521739130435,3.566058002148228,-0.7,0,180,1.5
21.198,180.0,3.6956521739130435,3.501611170784102,-0.53,0,180,1.5
21.65,180.0,3.6956521739130435,3.566058002148228,-0.62,0,180,1.5
22.102,180.0,3.6956521739130435,3.609022556390979,-0.7,0,180,1.5
22.554,180.0,3.6956521739130435,3.630504833512351,-0.62,0,180,1.5
23.007,180.0,3.6956521739130435,3.630504833512351,-0.62,0,180,1.5
23.459,180.0,3.6956521739130435,3.501611170784102,-0.7,0,180,1.5
23.911,180.0,3.6956521739130435,3.5875402792696036,-0.79,0,180,1.5
24.364,180.0,3.6956521739130435,3.566058002148228,-0.79,0,180,1.5
24.816,180.0,3.6956521739130435,3.609022556390979,-0.62,0,180,1.5
25.268,180.0,3.6956521739130435,3.630504833512351,-0.35,0,180,1.5
25.72,180.0,3.6956521739130435,3.630504833512351,-0.53,0,180,1.5
26.173,180.0,3.6956521739130435,3.609022556390979,-0.53,0,180,1.5
26.625,180.0,3.6956521739130435,3.630504833512351,-0.44,0,180,1.5
27.077,180.0,3.6956521739130435,3.630504833512351,-0.53,0,180,1.5
27.53,180.0,3.6956521739130435,3.5875402792696036,-0.88,0,180,1.5
27.982,180.0,3.6956521739130435,3.630504833512351,-0.79,0,180,1.5
28.434,180.0,3.6956521739130435,3.6519871106337263,-0.7,0,180,1.5
28.886,180.0,3.6956521739130435,3.566058002148228,-0.88,0,180,1.5
29.339,180.0,3.6956521739130435,3.566058002148228,-0.79,0,180,1.5
29.791,180.0,3.6956521739130435,3.501611170784102,-0.79,0,180,1.5
30.243,180.0,3.6956521739130435,3.609022556390979,-0.53,0,180,1.5
30.695,180.0,3.6956521739130435,3.609022556390979,-0.53,0,180,1.5
31.148,180.0,3.6956521739130435,3.544575725026853,-0.79,0,180,1.5
31.6,180.0,3.6956521739130435,3.630504833512351,-1.05,0,180,1.5
32.052,180.0,3.6956521739130435,3.630504833512351,-0.62,0,180,1.5
32.504,180.0,3.6956521739130435,3.5230934479054774,-0.62,0,180,1.5
32.957,180.0,3.6956521739130435,3.630504833512351,-0.79,0,180,1.5
33.409,180.0,3.6956521739130435,3.544575725026853,-0.79,0,180,1.5
33.861,180.0,3.6956521739130435,3.501611170784102,-0.79,0,180,1.5
34.313,180.0,3.6956521739130435,3.566058002148228,-0.62,0,180,1.5
34.766,180.0,3.6956521739130435,3.4586466165413547,-0.88,0,180,1.5
35.218,180.0,3.6956521739130435,3.566058002148228,-0.88,0,180,1.5
35.67,180.0,3.6956521739130435,3.544575725026853,-0.62,0,180,1.5
36.122,180.0,3.6956521739130435,3.609022556390979,-0.62,0,180,1.5
36.575,180.0,3.6956521739130435,3.544575725026853,-0.79,0,180,1.5
37.027,180.0,3.6956521739130435,3.6519871106337263,-0.79,0,180,1.5
37.479,180.0,3.6956521739130435,3.5875402792696036,-0.53,0,180,1.5
37.931,180.0,3.6956521739130435,3.5230934479054774,-0.79,0,180,1.5
38.384,180.0,3.6956521739130435,3.501611170784102,-0.7,0,180,1.5
38.836,180.0,3.6956521739130435,3.566058002148228,-0.88,0,180,1.5
39.288,180.0,3.6956521739130435,3.630504833512351,-0.53,0,180,1.5
39.74,180.0,3.6956521739130435,3.5230934479054774,-0.44,0,180,1.5
40.193,180.0,3.6956521739130435,3.566058002148228,-0.53,0,180,1.5
40.645,180.0,3.6956521739130435,3.5230934479054774,-0.53,0,180,1.5
41.097,180.0,3.6956521739130435,3.5230934479054774,-0.53,0,180,1.5
41.549,180.0,3.6956521739130435,3.4801288936627266,-0.35,0,180,1.5
42.002,180.0,3.6956521739130435,3.630504833512351,-0.35,0,180,1.5
42.454,180.0,3.6956521739130435,3.630504833512351,-0.26,0,180,1.5
42.906,180.0,3.6956521739130435,3.5875402792696036,-0.7,0,180,1.5
43.358,180.0,3.6956521739130435,3.566058002148228,-0.62,0,180,1.5
43.81,180.0,3.6956521739130435,3.566058002148228,-0.53,0,180,1.5
44.263,180.0,3.6956521739130435,3.6734693877551017,-0.7,0,180,1.5
44.715,180.0,3.6956521739130435,3.5230934479054774,-0.7,0,180,1.5
45.167,180.0,3.6956521739130435,3.5875402792696036,-0.53,0,180,1.5
45.619,180.0,3.6956521739130435,3.544575725026853,-0.62,0,180,1.5
46.072,180.0,3.6956521739130435,3.6734693877551017,-0.7,1,165,1.5
