time,force
3992.785,-0.09
3992.887,0.09
3992.989,0.09
3993.091,0.09
3993.192,0.35
3993.295,0.09
3993.397,0.18
3993.498,0.0
3993.601,0.26
3993.702,0.18
3993.804,0.18
3993.906,0.18
3994.008,0.09
3994.11,0.35
3994.212,0.18
3994.314,0.44
3994.416,0.09
3994.518,0.44
3994.62,0.09
3994.721,0.35
3994.824,0.18
3994.925,0.18
3995.027,0.44
3995.129,0.26
3995.231,0.44
3995.333,0.44
3995.435,1.49
3995.537,2.64
3995.638,4.22
3995.741,5.19
3995.842,7.03
3995.944,7.65
3996.047,6.24
3996.148,2.29
3996.25,0.88
3996.353,1.14
3996.454,1.67
3996.556,2.99
3996.658,5.01
3996.76,7.56
3996.862,8.7
3996.964,10.46
3997.066,11.51
3997.168,11.87
3997.27,11.6
3997.372,6.06
3997.474,2.72
3997.576,1.58
3997.678,2.9
3997.779,4.75
3997.882,7.47
3997.984,9.05
3998.085,10.9
3998.188,11.25
3998.289,11.6
3998.391,11.34
3998.494,6.15
3998.595,2.2
3998.697,1.41
3998.799,2.46
3998.901,4.92
3999.003,8.09
3999.105,9.49
3999.207,10.81
3999.308,11.6
3999.411,12.13
3999.513,13.45
3999.614,13.01
3999.717,10.63
3999.819,4.39
3999.92,2.81
4000.023,1.93
4000.125,4.66
4000.226,8.53
4000.329,10.99
4000.43,11.78
4000.532,12.74
4000.635,13.71
4000.736,13.36
4000.838,10.99
4000.941,6.68
4001.042,3.52
4001.144,1.76
4001.246,2.64
4001.348,5.62
4001.45,8.17
4001.552,9.93
4001.654,10.81
4001.756,11.43
4001.858,10.99
4001.96,11.43
4002.062,8.61
4002.164,4.75
4002.266,2.46
4002.367,2.64
4002.47,3.43
4002.572,4.83
4002.673,7.65
4002.776,9.32
