time,force
1213.145,0.26
1213.248,0.18
1213.35,0.18
1213.451,-0.18
1213.554,0.44
1213.655,0.0
1213.757,0.44
1213.86,0.09
1213.961,0.35
1214.063,0.18
1214.165,0.18
1214.267,0.26
1214.369,-0.18
1214.471,0.35
1214.573,0.09
1214.674,0.35
1214.777,-0.09
1214.879,0.26
1214.98,0.09
1215.083,0.26
1215.184,0.18
1215.286,-0.09
1215.389,0.53
1215.49,1.14
1215.592,2.99
1215.694,3.34
1215.796,5.1
1215.898,6.15
1216.0,7.56
1216.102,8.61
1216.204,9.58
1216.306,10.11
1216.408,10.37
1216.51,11.78
1216.612,10.63
1216.714,8.17
1216.816,3.08
1216.918,2.02
1217.02,1.93
1217.122,4.31
1217.224,6.59
1217.326,7.65
1217.428,10.46
1217.53,11.07
1217.632,13.18
1217.734,12.57
1217.836,12.74
1217.938,9.23
1218.04,6.86
1218.142,5.8
1218.244,6.94
1218.346,9.32
1218.448,9.84
1218.55,11.6
1218.652,11.43
1218.754,13.01
1218.856,11.95
1218.957,12.22
1219.06,9.05
1219.162,4.31
1219.264,3.34
1219.366,4.75
1219.468,7.56
1219.569,8.61
1219.672,10.81
1219.774,10.37
1219.876,11.51
1219.978,11.25
1220.08,11.69
1220.182,10.55
1220.284,7.47
1220.386,4.83
1220.488,4.22
1220.59,6.42
1220.692,7.73
1220.794,10.46
1220.896,10.72
1220.998,11.78
1221.1,11.78
1221.202,12.66
1221.304,12.39
1221.406,11.87
1221.508,11.16
1221.61,7.38
1221.712,6.15
1221.814,6.59
1221.916,9.49
1222.018,10.55
1222.12,11.51
1222.222,11.87
1222.324,12.04
1222.426,12.22
1222.528,11.43
1222.63,9.84
1222.732,6.94
1222.834,5.98
1222.936,4.92
1223.038,7.21
1223.14,8.79
