trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.86,5.98,2.86,5.98,3,3,0,1,1,0
1,4.53,5.98,4.53,5.98,3,3,0,1,2,0
2,7.18,5.98,7.18,5.98,1,1,1,3,3,0
3,4.53,5.98,4.53,5.98,3,3,1,1,4,0
4,5.7,5.98,5.98,5.7,1,1,1,1,5,0
5,7.18,5.98,7.18,5.98,1,1,2,3,6,0
6,5.7,5.98,5.7,5.98,3,2,2,2,6,1
7,6.4,5.98,6.4,5.98,1,1,3,3,7,1
8,5.7,5.98,5.7,5.98,3,1,3,3,7,2
9,5.7,5.98,5.98,5.7,1,2,3,2,7,3
10,6.04,5.98,6.04,5.98,1,3,3,1,7,4
11,6.4,5.98,6.4,5.98,1,3,3,1,7,5
12,6.78,5.98,5.98,6.78,3,3,4,3,8,5
13,6.4,5.98,6.4,5.98,1,1,4,3,9,5
14,6.04,5.98,6.04,5.98,1,2,4,2,9,6
15,6.22,5.98,6.22,5.98,1,1,5,3,10,6
