trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.86,5.98,2.86,5.98,3,3,0,1,1,0
1,4.53,5.98,4.53,5.98,3,3,0,1,2,0
2,7.18,5.98,5.98,7.18,3,3,1,3,3,0
3,4.53,5.98,5.98,4.53,1,1,1,1,4,0
4,5.7,5.98,5.7,5.98,3,1,2,3,4,1
5,4.53,5.98,5.98,4.53,1,1,2,1,5,1
6,5.08,5.98,5.08,5.98,3,2,2,2,5,2
7,5.08,5.98,5.98,5.08,1,1,2,1,6,2
8,5.7,5.98,5.98,5.7,1,3,3,3,6,3
9,5.08,5.98,5.08,5.98,3,3,3,1,7,3
10,5.38,5.98,5.38,5.98,3,3,3,1,8,3
11,5.7,5.98,5.7,5.98,3,2,3,2,8,4
12,5.7,5.98,5.7,5.98,3,2,3,2,8,5
